home,away,predict_kp,date,draft_kings,line,home_cover,percent_chance,bet,score
Samford,Western Carolina,-2,2021-01-18,-2.0,-2.06050227539723,0.0,0.6201952989459012,Western Carolina,4
Connecticut,St. John's,10,2021-01-18,7.0,9.535282574267054,1.0,0.5972354136208714,Connecticut,-4
Southern,Mississippi Valley St.,22,2021-01-18,22.5,22.57216767200625,1.0,0.5659501678750238,Southern,41
East Tennessee St.,VMI,7,2021-01-18,7.5,4.6786855208250095,0.0,0.551711055708616,VMI,11
Idaho St.,Sacramento St.,1,2021-01-18,1.5,-0.6025467664090947,1.0,0.5368963138698539,Idaho St.,-5
UNLV,New Mexico,11,2021-01-18,12.0,11.490591663575001,1.0,0.5327815947821467,UNLV,7
UNC Greensboro,The Citadel,14,2021-01-18,13.5,12.287811197912346,0.0,0.5284788239320841,The Citadel,14
La Salle,Saint Joseph's,2,2021-01-18,2.0,1.3459122344807317,0.0,0.5195735104395967,Saint Joseph's,7
Louisville,Florida St.,1,2021-01-18,2.5,-0.6318594560557678,0.0,0.5177317403366042,Florida St.,-13
Baylor,Kansas,10,2021-01-18,8.5,7.901942782270265,1.0,0.5170979077116159,Baylor,8
Prairie View A&M,Grambling St.,3,2021-01-18,5.0,2.8494221387054037,1.0,0.5169681982687134,Prairie View A&M,9
Alcorn St.,Arkansas Pine Bluff,3,2021-01-18,3.5,4.072595067138405,0.0,0.5112368404044758,Arkansas Pine Bluff,34
Towson,UNC Wilmington,-1,2021-01-18,-2.0,-0.6229752562073722,0.0,0.5091597381445069,UNC Wilmington,3
Air Force,Wyoming,-1,2021-01-18,-3.0,-1.6847266172948603,1.0,0.5041605346155883,Air Force,-19
