home,away,predict_kp,date,lasso,linear,rf,draft_kings
Louisville,Florida St.,1,2021-01-18,3.0,3.0,-2.0,2.5
Baylor,Kansas,10,2021-01-18,13.0,11.0,3.0,8.5
Connecticut,St. John's,10,2021-01-18,14.0,15.0,10.0,7.0
La Salle,Saint Joseph's,2,2021-01-18,4.0,2.0,11.0,2.0
Towson,UNC Wilmington,-1,2021-01-18,1.0,3.0,-6.0,-2.0
Samford,Western Carolina,-2,2021-01-18,-2.0,-3.0,9.0,-2.0
Air Force,Wyoming,-1,2021-01-18,1.0,3.0,7.0,-3.0
Idaho St.,Sacramento St.,1,2021-01-18,2.0,6.0,-13.0,1.5
East Tennessee St.,VMI,7,2021-01-18,8.0,9.0,10.0,7.5
Prairie View A&M,Grambling St.,3,2021-01-18,3.0,6.0,3.0,5.0
Alcorn St.,Arkansas Pine Bluff,3,2021-01-18,4.0,8.0,19.0,3.5
UNLV,New Mexico,11,2021-01-18,16.0,18.0,11.0,12.0
UNC Greensboro,The Citadel,14,2021-01-18,16.0,16.0,8.0,13.5
Southern,Mississippi Valley St.,22,2021-01-18,29.0,33.0,14.0,22.5
