home,away,predict_kp,date,lasso,linear,rf,draft_kings
Texas,West Virginia,2,2021-02-20,3.0,5.0,1.0,3.5
Duke,Virginia,-1,2021-02-20,0.0,1.0,1.0,-2.0
Kansas,Texas Tech,1,2021-02-20,3.0,2.0,5.0,1.5
Minnesota,Illinois,-5,2021-02-20,-4.0,-3.0,-0.0,-4.0
North Carolina,Louisville,1,2021-02-20,3.0,2.0,9.0,5.0
Syracuse,Notre Dame,2,2021-02-20,2.0,5.0,2.0,3.0
LSU,Auburn,5,2021-02-20,7.0,7.0,2.0,4.5
Villanova,Connecticut,6,2021-02-20,9.0,12.0,11.0,6.5
Pittsburgh,Florida St.,-7,2021-02-20,-5.0,-5.0,-2.0,-5.5
South Carolina,Missouri,-2,2021-02-20,-1.0,-2.0,-2.0,-3.0
USC,Arizona,7,2021-02-20,8.0,6.0,12.0,6.0
Washington St.,Stanford,-2,2021-02-20,-2.0,-3.0,-2.0,-5.5
Tennessee,Kentucky,7,2021-02-20,9.0,9.0,8.0,7.5
Oregon,Utah,6,2021-02-20,8.0,8.0,5.0,9.5
Oregon St.,Colorado,-7,2021-02-20,-8.0,-8.0,-4.0,-6.5
Loyola Marymount,BYU,-6,2021-02-20,-6.0,-6.0,-5.0,-8.0
Wake Forest,N.C. State,-1,2021-02-20,-1.0,-2.0,-5.0,-1.5
Mississippi,Mississippi St.,5,2021-02-20,7.0,8.0,2.0,7.0
Miami FL,Georgia Tech,-5,2021-02-20,-5.0,-5.0,-4.0,-3.5
Nebraska,Purdue,-8,2021-02-20,-9.0,-10.0,-8.0,-7.0
Florida,Georgia,9,2021-02-20,9.0,10.0,9.0,8.0
Mercer,Furman,-2,2021-02-20,-2.0,-4.0,-4.0,-3.0
UCLA,Arizona St.,8,2021-02-20,9.0,12.0,10.0,8.0
Tulane,UCF,-2,2021-02-20,-2.0,1.0,-6.0,-1.0
Richmond,Duquesne,7,2021-02-20,9.0,11.0,6.0,9.0
Santa Clara,Pepperdine,-2,2021-02-20,-3.0,-1.0,-9.0,-3.0
North Dakota St.,South Dakota St.,-1,2021-02-20,-1.0,-2.0,-2.0,-0.5
Montana,Eastern Washington,-3,2021-02-20,-4.0,-4.0,-7.0,-4.5
St. John's,DePaul,8,2021-02-20,10.0,11.0,10.0,11.0
Washington,California,1,2021-02-20,-0.0,-2.0,2.0,1.0
UC Santa Barbara,Cal St. Bakersfield,7,2021-02-20,8.0,11.0,8.0,7.5
South Dakota,Oral Roberts,2,2021-02-20,2.0,2.0,3.0,3.5
UNC Greensboro,Chattanooga,5,2021-02-20,5.0,8.0,6.0,6.5
