home,away,predict_kp,date,lasso,linear,rf,draft_kings
LSU,Alabama,1,2021-01-19,3.0,4.0,9.0,1.0
Florida,Tennessee,-3,2021-01-19,-2.0,-1.0,11.0,-7.0
Ohio St.,Purdue,4,2021-01-19,5.0,6.0,5.0,4.5
Pittsburgh,Duke,-3,2021-01-19,-4.0,-9.0,7.0,-3.5
Mississippi St.,Mississippi,1,2021-01-19,3.0,2.0,3.0,2.5
Missouri,South Carolina,5,2021-01-19,3.0,4.0,6.0,5.5
Illinois,Penn St.,8,2021-01-19,12.0,11.0,4.0,9.0
Michigan,Maryland,9,2021-01-19,12.0,11.0,14.0,10.0
Syracuse,Miami FL,6,2021-01-19,6.0,6.0,10.0,4.5
Utah St.,Colorado St.,6,2021-01-19,7.0,5.0,6.0,8.0
DePaul,Butler,2,2021-01-19,1.0,6.0,8.0,-0.5
Kent St.,Buffalo,2,2021-01-19,3.0,5.0,0.0,4.0
Bowling Green,Akron,5,2021-01-19,5.0,2.0,-4.0,5.0
Oregon St.,USC,-11,2021-01-19,-12.0,-13.0,-7.0,-10.0
Miami OH,Ball St.,-3,2021-01-19,-2.0,-2.0,-3.0,-3.0
Towson,UNC Wilmington,-1,2021-01-19,3.0,3.0,-6.0,-1.5
Gardner Webb,UNC Asheville,3,2021-01-19,2.0,-1.0,-2.0,-0.5
Campbell,Radford,1,2021-01-19,-3.0,-4.0,-2.0,-1.0
Loyola Marymount,San Diego,7,2021-01-19,12.0,14.0,3.0,9.5
Longwood,High Point,1,2021-01-19,-1.0,-4.0,-9.0,1.0
Charleston Southern,USC Upstate,-1,2021-01-19,-2.0,-1.0,6.0,-1.0
Oklahoma,Kansas St.,14,2021-01-19,18.0,17.0,20.0,14.0
Tennessee St.,Southeast Missouri St.,4,2021-01-19,-0.0,-3.0,-1.0,4.5
Toledo,Central Michigan,15,2021-01-19,20.0,21.0,6.0,15.0
Presbyterian,Winthrop,-17,2021-01-19,-19.0,-21.0,-10.0,-16.0
