home,away,predict_kp,date,lasso,linear,rf,draft_kings
Creighton,Villanova,-1,2021-02-13,-1.0,-2.0,2.0,-2.5
LSU,Tennessee,-1,2021-02-13,0.0,3.0,2.0,-3.0
Missouri,Arkansas,1,2021-02-13,1.0,0.0,2.0,3.5
West Virginia,Oklahoma,3,2021-02-13,5.0,5.0,7.0,2.5
Drake,Loyola Chicago,-3,2021-02-13,-1.0,-1.0,0.0,-3.5
Arizona,Oregon,2,2021-02-13,4.0,6.0,5.0,2.0
Xavier,Connecticut,2,2021-02-13,2.0,2.0,6.0,4.0
Michigan St.,Iowa,-7,2021-02-13,-7.0,-10.0,-2.0,-5.0
Ohio St.,Indiana,6,2021-02-13,8.0,8.0,1.0,6.5
N.C. State,Duke,-2,2021-02-13,-1.0,-3.0,-3.0,-3.5
Kentucky,Auburn,2,2021-02-13,2.0,0.0,-6.0,3.0
South Carolina,Mississippi,-1,2021-02-13,-1.0,-2.0,4.0,-1.5
Stanford,Utah,3,2021-02-13,3.0,4.0,3.0,4.5
Virginia,North Carolina,7,2021-02-13,9.0,9.0,10.0,6.0
DePaul,Providence,-2,2021-02-13,-2.0,-2.0,3.0,-2.5
Pepperdine,Saint Mary's,-2,2021-02-13,-2.0,-4.0,-4.0,-0.5
Louisiana Tech,UAB,3,2021-02-13,3.0,3.0,11.0,2.0
Washington St.,USC,-8,2021-02-13,-9.0,-10.0,-3.0,-8.0
Georgetown,Butler,2,2021-02-13,3.0,2.0,-1.0,1.0
Missouri St.,Bradley,2,2021-02-13,2.0,-0.0,-5.0,2.5
Loyola Marymount,Pacific,3,2021-02-13,4.0,5.0,4.0,2.0
UC Riverside,UC Irvine,3,2021-02-13,3.0,1.0,11.0,-1.0
Mercer,UNC Greensboro,-1,2021-02-13,-1.0,-1.0,2.0,-2.0
Oral Roberts,South Dakota St.,-4,2021-02-13,-4.0,-4.0,-6.0,-3.5
East Tennessee St.,Wofford,2,2021-02-13,3.0,3.0,6.0,2.0
San Francisco,Gonzaga,-17,2021-02-13,-15.0,-18.0,-16.0,-16.0
Army,Colgate,-4,2021-02-13,-4.0,-5.0,-9.0,-6.0
Iowa St.,Kansas,-10,2021-02-13,-11.0,-14.0,-7.0,-11.0
Syracuse,Boston College,9,2021-02-13,10.0,12.0,7.0,11.0
Washington,UCLA,-9,2021-02-13,-11.0,-14.0,-3.0,-9.5
James Madison,Hofstra,2,2021-02-13,2.0,2.0,4.0,1.5
Mississippi St.,Vanderbilt,8,2021-02-13,10.0,9.0,8.0,7.5
Cleveland St.,Detroit,2,2021-02-13,2.0,3.0,1.0,2.5
Texas,TCU,12,2021-02-13,13.0,12.0,7.0,12.0
Montana St.,Eastern Washington,-3,2021-02-13,-4.0,-4.0,-3.0,-3.5
California,Colorado,-12,2021-02-13,-13.0,-12.0,-6.0,-11.0
Alabama,Georgia,14,2021-02-13,13.0,14.0,10.0,13.0
Montana,Weber St.,2,2021-02-13,1.0,1.0,10.0,-1.5
Belmont,Morehead St.,8,2021-02-13,9.0,11.0,7.0,10.0
Hawaii,UC Santa Barbara,-6,2021-02-13,-7.0,-7.0,-10.0,-5.5
UTSA,Florida Atlantic,4,2021-02-13,4.0,4.0,-4.0,4.0
Florida St.,Wake Forest,13,2021-02-13,14.0,16.0,14.0,13.5
Toledo,Bowling Green,10,2021-02-13,11.0,12.0,13.0,8.0
Green Bay,Northern Kentucky,1,2021-02-13,0.0,0.0,4.0,0.5
Seattle,New Mexico St.,-4,2021-02-13,-4.0,-2.0,3.0,-6.5
Albany,UMass Lowell,2,2021-02-13,2.0,2.0,-6.0,5.0
Old Dominion,Charlotte,4,2021-02-13,6.0,4.0,2.0,4.5
Robert Morris,Oakland,-1,2021-02-13,-1.0,-2.0,4.0,-2.5
Cal Baptist,Sacramento St.,1,2021-02-13,1.0,3.0,-1.0,2.5
Western Kentucky,Rice,10,2021-02-13,11.0,10.0,12.0,10.0
Quinnipiac,Canisius,-1,2021-02-13,-2.0,-2.0,-5.0,1.0
Boise St.,UNLV,11,2021-02-13,12.0,13.0,15.0,9.0
Troy,South Alabama,-1,2021-02-13,-2.0,-1.0,-2.0,-2.0
Morgan St.,Norfolk St.,3,2021-02-13,3.0,3.0,5.0,4.0
North Alabama,Bellarmine,-4,2021-02-13,-4.0,-3.0,-1.0,-4.5
Lafayette,Loyola MD,3,2021-02-13,4.0,2.0,5.0,3.0
IUPUI,Illinois Chicago,2,2021-02-13,2.0,1.0,4.0,1.0
Southern Illinois,Illinois St.,4,2021-02-13,4.0,4.0,6.0,5.5
Northern Iowa,Valparaiso,6,2021-02-13,6.0,6.0,4.0,7.0
Little Rock,Arkansas St.,5,2021-02-13,6.0,8.0,15.0,6.0
Towson,Northeastern,-5,2021-02-13,-5.0,-5.0,-4.0,-2.5
Louisiana Monroe,Louisiana,-4,2021-02-13,-5.0,-6.0,-0.0,-3.0
Grambling St.,Texas Southern,-3,2021-02-13,-3.0,-4.0,6.0,-3.5
VMI,Samford,6,2021-02-13,6.0,5.0,6.0,5.5
Jacksonville,Lipscomb,-2,2021-02-13,-4.0,-4.0,6.0,-5.5
Tennessee Tech,Eastern Illinois,1,2021-02-13,0.0,1.0,-2.0,-1.0
Cal St. Bakersfield,UC San Diego,7,2021-02-13,9.0,11.0,16.0,8.0
UC Davis,Long Beach St.,6,2021-02-13,6.0,6.0,6.0,6.5
Houston Baptist,Lamar,2,2021-02-13,2.0,0.0,6.0,1.5
Texas St.,UT Arlington,7,2021-02-13,8.0,10.0,7.0,5.5
Holy Cross,Boston University,-4,2021-02-13,-5.0,-7.0,-3.0,-6.0
Youngstown St.,Purdue Fort Wayne,5,2021-02-13,7.0,6.0,8.0,6.0
Charleston,Elon,5,2021-02-13,6.0,5.0,10.0,7.5
Chattanooga,The Citadel,8,2021-02-13,8.0,9.0,7.0,10.0
Southern Miss,North Texas,-10,2021-02-13,-11.0,-10.0,-13.0,-9.5
