home,away,predict_kp,date,lasso,linear,rf,draft_kings
Indiana,Minnesota,3,2021-02-17,4.0,4.0,5.0,6.5
Boise St.,Utah St.,1,2021-02-17,2.0,2.0,5.0,1.5
VCU,Richmond,3,2021-02-17,3.0,5.0,1.0,1.5
Louisville,Syracuse,4,2021-02-17,5.0,5.0,1.0,4.5
Pittsburgh,N.C. State,3,2021-02-17,4.0,3.0,-0.0,4.0
Wake Forest,Duke,-5,2021-02-17,-5.0,-8.0,-7.0,-6.5
Vanderbilt,Kentucky,-3,2021-02-17,-2.0,-3.0,1.0,-3.5
Butler,Marquette,1,2021-02-17,1.0,-0.0,4.0,2.0
UCF,South Florida,3,2021-02-17,4.0,4.0,5.0,3.5
Tennessee,South Carolina,10,2021-02-17,11.0,11.0,8.0,12.0
VMI,UNC Greensboro,-3,2021-02-17,-2.0,-3.0,-1.0,-4.5
USC,Arizona St.,12,2021-02-17,13.0,14.0,9.0,10.0
Northern Iowa,Drake,-8,2021-02-17,-8.0,-8.0,-0.0,-6.0
East Tennessee St.,Mercer,5,2021-02-17,5.0,5.0,3.0,4.5
Maryland,Nebraska,10,2021-02-17,11.0,12.0,12.0,10.5
Southern Illinois,Missouri St.,-7,2021-02-17,-7.0,-6.0,-8.0,-5.5
Quinnipiac,Iona,-1,2021-02-17,-4.0,-5.0,-5.0,-6.5
Mount St. Mary's,Wagner,1,2021-02-17,1.0,2.0,-3.0,3.0
Kansas St.,Kansas,-13,2021-02-17,-13.0,-12.0,-3.0,-13.0
New Mexico,Wyoming,-4,2021-02-17,-3.0,-4.0,-0.0,-6.0
Holy Cross,Boston University,-2,2021-02-17,-3.0,-4.0,4.0,-3.5
Central Connecticut,Sacred Heart,-1,2021-02-17,-2.0,-1.0,-3.0,-1.0
Indiana St.,Evansville,8,2021-02-17,9.0,10.0,12.0,6.5
Wofford,The Citadel,9,2021-02-17,9.0,9.0,12.0,8.5
North Carolina,Northeastern,13,2021-02-17,15.0,16.0,7.0,16.5
Chattanooga,Western Carolina,8,2021-02-17,8.0,8.0,5.0,7.5
Furman,Samford,15,2021-02-17,15.0,15.0,13.0,15.5
Loyola Chicago,Valparaiso,21,2021-02-17,23.0,24.0,18.0,20.0
