home,away,predict_kp,date,lasso,linear,rf,draft_kings
Western Kentucky,Marshall,1,2021-01-15,8.0,-8.0,-8.0,3.5
Buffalo,Bowling Green,4,2021-01-15,5.0,17.0,2.0,4.5
St. Bonaventure,Duquesne,7,2021-01-15,6.0,9.0,13.0,8.5
Charlotte,UAB,-2,2021-01-15,-16.0,-24.0,-6.0,1.5
Rice,Old Dominion,-3,2021-01-15,0.0,3.0,-0.0,-3.0
Little Rock,Texas St.,4,2021-01-15,19.0,38.0,7.0,5.5
UT Arlington,Louisiana,2,2021-01-15,-2.0,-13.0,-11.0,3.5
Hawaii,Cal St. Bakersfield,-2,2021-01-15,-12.0,12.0,-6.0,2.0
North Texas,UTEP,6,2021-01-15,-1.0,-13.0,-6.0,6.0
Nevada,Fresno St.,6,2021-01-15,-3.0,-5.0,-12.0,6.5
St. Francis PA,Bryant,-3,2021-01-15,-1.0,9.0,0.0,-6.0
South Alabama,Appalachian St.,1,2021-01-15,9.0,7.0,-10.0,2.5
Milwaukee,Purdue Fort Wayne,2,2021-01-15,-16.0,-40.0,7.0,3.0
Oakland,Youngstown St.,-1,2021-01-15,4.0,-11.0,-7.0,2.5
Illinois Chicago,Robert Morris,2,2021-01-15,-7.0,12.0,13.0,3.5
Stetson,Liberty,-7,2021-01-15,-2.0,-13.0,-7.0,-10.0
Delaware,Hofstra,-4,2021-01-15,-7.0,-15.0,-7.0,-6.0
Long Beach St.,Cal St. Northridge,2,2021-01-15,-9.0,-28.0,-11.0,-1.5
Wagner,LIU,1,2021-01-15,-2.0,0.0,-6.0,-2.0
Seattle,Utah Valley,1,2021-01-15,-9.0,-21.0,-5.0,2.0
Detroit,Green Bay,3,2021-01-15,11.0,22.0,2.0,3.0
Southern Miss,Middle Tennessee,-2,2021-01-15,-14.0,-31.0,-11.0,-1.0
Wright St.,Cleveland St.,10,2021-01-15,3.0,9.0,-8.0,9.5
Arkansas St.,Louisiana Monroe,2,2021-01-15,11.0,-9.0,2.0,2.0
Louisiana Tech,UTSA,9,2021-01-15,2.0,-3.0,11.0,8.5
North Dakota,North Dakota St.,-5,2021-01-15,-4.0,-0.0,-15.0,-5.0
Florida Gulf Coast,Bellarmine,4,2021-01-15,13.0,9.0,11.0,3.0
Manhattan,Niagara,-3,2021-01-15,-4.0,1.0,4.0,-2.0
Georgia Southern,Troy,4,2021-01-15,17.0,25.0,-9.0,6.5
USC Upstate,Hampton,4,2021-01-15,3.0,-17.0,-9.0,4.0
Cal Baptist,Tarleton St.,5,2021-01-15,12.0,0.0,11.0,5.0
Lipscomb,North Florida,7,2021-01-15,4.0,-7.0,1.0,6.5
Northern Kentucky,IUPUI,6,2021-01-15,21.0,26.0,2.0,8.0
Kennesaw St.,North Alabama,-5,2021-01-15,-7.0,-11.0,-1.0,-3.5
Mount St. Mary's,Merrimack,6,2021-01-15,11.0,9.0,13.0,3.5
UT Rio Grande Valley,Dixie St.,8,2021-01-15,9.0,7.0,8.0,6.5
Cal Poly,UC Riverside,-8,2021-01-15,-11.0,-16.0,-14.0,-9.0
Marist,Fairfield,7,2021-01-15,-2.0,-7.0,-7.0,5.5
Denver,Oral Roberts,-10,2021-01-15,-13.0,-29.0,-0.0,-11.5
Campbell,Presbyterian,8,2021-01-15,6.0,10.0,-2.0,8.0
UNC Asheville,Charleston Southern,11,2021-01-15,16.0,24.0,17.0,12.5
Winthrop,Longwood,15,2021-01-15,6.0,1.0,-0.0,16.0
