home,away,predict_kp,date,lasso,linear,rf,draft_kings
Wichita St.,Tulsa,1,2021-01-13,-5.0,3.0,1.0,4.0
George Mason,La Salle,2,2021-01-13,-6.0,-2.0,-3.0,4.5
Southeastern Louisiana,Texas A&M Corpus Chris,-1,2021-01-13,-3.0,3.0,19.0,1.5
Chattanooga,Mercer,1,2021-01-13,-0.0,6.0,-1.0,-1.0
Dayton,Duquesne,5,2021-01-13,-7.0,-7.0,8.0,6.5
Stephen F. Austin,Central Arkansas,7,2021-01-13,6.0,-6.0,18.0,8.5
Fordham,St. Bonaventure,-10,2021-01-13,6.0,2.0,7.0,-11.5
Dixie St.,New Mexico,-1,2021-01-13,-12.0,-9.0,-5.0,-2.5
Texas,Texas Tech,4,2021-01-13,1.0,-27.0,13.0,2.5
LSU,Arkansas,3,2021-01-13,38.0,51.0,12.0,1.5
Northwestern St.,Nicholls St.,-4,2021-01-13,14.0,12.0,9.0,-5.5
George Washington,VCU,-10,2021-01-13,-10.0,6.0,-6.0,-11.5
The Citadel,Furman,-15,2021-01-13,-10.0,-3.0,3.0,-14.0
Incarnate Word,McNeese St.,-1,2021-01-13,-7.0,-21.0,4.0,-2.0
VMI,Wofford,-4,2021-01-13,-15.0,-28.0,0.0,-5.0
Sam Houston St.,Lamar,7,2021-01-13,5.0,8.0,8.0,8.0
Wyoming,Boise St.,-9,2021-01-13,5.0,-68.0,18.0,-10.0
Georgetown,DePaul,1,2021-01-13,16.0,2.0,10.0,2.0
Mississippi St.,Texas A&M,6,2021-01-13,-4.0,-0.0,11.0,6.5
Virginia,Notre Dame,10,2021-01-13,-16.0,16.0,-7.0,9.5
Wake Forest,Louisville,-8,2021-01-13,6.0,12.0,8.0,-7.5
Massachusetts,Rhode Island,-2,2021-01-13,-29.0,-78.0,1.0,-2.5
Ohio St.,Northwestern,8,2021-01-13,-7.0,-42.0,2.0,8.0
Georgia,Auburn,1,2021-01-13,-6.0,-30.0,-8.0,1.0
Florida St.,N.C. State,4,2021-01-13,-25.0,-10.0,15.0,4.0
