home,away,predict_kp,date,lasso,linear,rf,draft_kings
Illinois,Wisconsin,4,2021-02-06,5.0,6.0,3.0,3.5
Missouri,Alabama,-3,2021-02-06,-3.0,-3.0,4.0,-3.0
Oklahoma St.,Texas,-2,2021-02-06,-1.0,-3.0,4.0,-2.5
West Virginia,Kansas,2,2021-02-06,4.0,1.0,7.0,2.0
Kentucky,Tennessee,-3,2021-02-06,-2.0,-3.0,10.0,-3.5
USC,UCLA,4,2021-02-06,5.0,5.0,14.0,3.5
Duke,North Carolina,4,2021-02-06,5.0,5.0,6.0,4.0
Saint Louis,St. Bonaventure,2,2021-02-06,4.0,7.0,7.0,3.5
Colorado,Arizona,6,2021-02-06,7.0,6.0,3.0,6.0
Clemson,Syracuse,2,2021-02-06,3.0,4.0,3.0,4.0
Marquette,Creighton,-5,2021-02-06,-4.0,-5.0,-1.0,-4.5
Georgia Tech,Notre Dame,3,2021-02-06,4.0,5.0,10.0,4.0
Auburn,Mississippi,4,2021-02-06,4.0,5.0,8.0,4.0
Providence,St. John's,1,2021-02-06,2.0,4.0,5.0,1.0
South Carolina,Mississippi St.,2,2021-02-06,3.0,-1.0,8.0,2.0
Boston College,N.C. State,-1,2021-02-06,-1.0,-2.0,2.0,-5.0
Purdue,Northwestern,8,2021-02-06,10.0,7.0,13.0,8.0
Miami FL,Virginia Tech,-6,2021-02-06,-6.0,-8.0,-4.0,-4.5
North Texas,Louisiana Tech,3,2021-02-06,5.0,5.0,-1.0,4.5
Butler,DePaul,3,2021-02-06,4.0,3.0,-4.0,6.0
Old Dominion,Marshall,-4,2021-02-06,-3.0,-5.0,1.0,-7.0
Tulsa,UCF,5,2021-02-06,5.0,5.0,4.0,4.5
Oregon St.,Washington St.,2,2021-02-06,3.0,0.0,1.0,2.0
Virginia,Pittsburgh,10,2021-02-06,13.0,13.0,9.0,10.0
Rhode Island,Massachusetts,7,2021-02-06,7.0,10.0,11.0,7.5
Northern Iowa,Indiana St.,1,2021-02-06,1.0,5.0,8.0,2.0
Georgia,Vanderbilt,6,2021-02-06,6.0,4.0,10.0,5.5
Furman,Wofford,6,2021-02-06,7.0,7.0,6.0,5.5
Michigan St.,Nebraska,8,2021-02-06,9.0,7.0,9.0,13.0
