home,away,predict_kp,date,lasso,linear,rf,draft_kings
Texas,Kansas,2,2021-02-23,3.0,5.0,6.0,3.0
Auburn,Florida,-1,2021-02-23,1.0,1.0,1.0,1.0
Virginia Tech,Georgia Tech,2,2021-02-23,3.0,4.0,4.0,2.0
VCU,Saint Louis,3,2021-02-23,2.0,2.0,4.0,-3.0
Louisville,Notre Dame,3,2021-02-23,2.0,4.0,0.0,4.5
Georgia,LSU,-5,2021-02-23,-4.0,-6.0,-6.0,-6.0
Missouri,Mississippi,4,2021-02-23,4.0,3.0,5.0,4.0
Michigan St.,Illinois,-9,2021-02-23,-9.0,-10.0,-12.0,-7.0
Georgetown,Connecticut,-3,2021-02-23,-3.0,-4.0,-0.0,-4.5
Ohio,Akron,1,2021-02-23,2.0,4.0,2.0,1.5
Nebraska,Penn St.,-7,2021-02-23,-7.0,-8.0,-10.0,-6.5
Villanova,St. John's,11,2021-02-23,12.0,13.0,7.0,11.0
TCU,West Virginia,-9,2021-02-23,-9.0,-6.0,-3.0,-7.0
Richmond,Massachusetts,7,2021-02-23,8.0,9.0,8.0,8.5
San Diego,Pacific,-2,2021-02-23,-4.0,-4.0,-7.0,-3.5
Central Michigan,Miami OH,-3,2021-02-23,-3.0,-4.0,-3.0,-3.5
Arizona St.,Washington,8,2021-02-23,8.0,11.0,8.0,9.5
Kansas St.,Oklahoma,-12,2021-02-23,-13.0,-12.0,-10.0,-11.0
Eastern Michigan,Bowling Green,-7,2021-02-23,-7.0,-10.0,-5.0,-8.0
Georgia St.,Appalachian St.,7,2021-02-23,7.0,7.0,8.0,6.5
Campbell,High Point,4,2021-02-23,3.0,3.0,5.0,4.0
Baylor,Iowa St.,26,2021-02-23,28.0,30.0,24.0,23.0
Northern Illinois,Buffalo,-13,2021-02-23,-12.0,-13.0,-10.0,-12.5
Prairie View A&M,Arkansas Pine Bluff,15,2021-02-23,14.0,16.0,18.0,16.5
Texas Southern,Mississippi Valley St.,27,2021-02-23,26.0,30.0,17.0,28.0
