teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
VCU,A10,106.4,90.4,70.1,15.8,17.7,51.2,46.0,20.9,25.1,30.3,31.4,34.3,30.6,1.26,77.3,5,1
St. Bonaventure,A10,110.8,94.9,65.8,18.1,17.9,49.5,45.7,17.9,19.2,33.8,31.1,32.1,30.4,1.93,77.3,3,0
Memphis,Amer,103.9,88.1,71.4,16.0,17.1,50.6,44.4,22.0,23.1,33.6,25.2,35.7,27.3,1.12,77.8,4,1
Mississippi,SEC,106.5,90.8,65.3,17.9,17.1,49.1,49.4,20.0,24.5,34.1,26.3,28.5,37.3,1.98,77.1,3,1
Syracuse,ACC,112.5,96.9,69.3,15.7,17.6,50.3,48.0,16.0,21.5,29.2,32.2,32.1,30.9,1.56,78.0,3,1
Wright St.,Horz,108.7,93.4,70.8,16.2,17.0,54.9,43.8,18.0,17.3,34.1,25.0,36.8,29.0,1.32,77.4,5,1
SMU,Amer,110.8,95.6,68.7,16.1,17.7,52.0,46.0,19.7,19.9,29.9,28.8,34.0,33.5,2.19,77.3,3,1
Richmond,A10,112.9,97.7,69.0,16.3,17.7,54.6,53.0,15.1,22.3,20.8,28.4,34.9,33.2,2.46,76.2,3,1
Drake,MVC,111.1,96.2,67.9,17.3,17.5,55.3,45.9,16.5,19.8,34.5,22.3,37.5,29.6,2.05,76.2,4,1
Notre Dame,ACC,116.1,101.1,66.8,17.8,18.3,55.4,50.9,15.5,12.9,20.1,28.0,39.0,36.5,2.21,78.7,3,1
Stanford,P12,106.3,91.4,69.8,16.7,17.3,51.2,47.1,21.1,20.2,26.9,28.2,30.6,33.3,1.33,78.8,2,0
Georgia Tech,ACC,111.3,96.6,67.8,17.6,17.4,53.1,52.4,15.8,21.8,22.8,29.1,35.6,37.5,2.57,76.2,2,0
Auburn,SEC,111.9,97.2,71.9,16.1,16.3,52.6,49.1,21.9,19.2,33.8,30.5,33.5,31.3,0.76,78.7,2,1
Kentucky,SEC,106.1,91.5,67.4,17.3,17.1,46.3,46.4,20.9,16.6,33.0,29.2,31.8,31.2,0.95,78.9,1,0
