teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Gonzaga,WCC,124.7,90.0,74.8,14.1,17.5,61.0,47.1,15.7,20.1,32.7,23.5,35.4,34.4,1.5,78.2,5,1
Baylor,B12,121.3,87.0,69.3,16.0,17.5,58.6,46.0,17.3,26.0,38.6,29.9,43.4,30.8,1.96,76.6,5,1
Michigan,B10,116.7,88.6,68.1,16.8,17.7,57.6,43.0,18.4,15.5,30.4,25.1,37.7,32.2,2.08,77.9,4,1
Iowa,B10,124.3,97.4,70.7,15.8,17.1,55.9,49.1,13.5,18.0,34.1,30.2,38.5,35.1,1.68,77.8,3,0
Houston,Amer,114.2,87.3,65.9,19.2,16.5,49.1,41.1,18.1,23.2,41.3,27.7,34.5,25.4,1.75,77.0,5,1
Villanova,BE,119.8,93.3,65.0,18.3,17.3,54.8,52.6,12.3,19.6,27.5,22.2,37.5,36.5,1.89,77.9,5,1
Illinois,B10,116.7,91.0,70.5,16.5,16.7,57.3,46.6,18.6,16.0,33.3,22.8,39.9,34.0,1.63,77.0,3,1
Alabama,SEC,113.5,88.8,74.2,14.3,17.6,52.0,45.5,18.4,21.2,30.4,29.8,36.0,30.6,1.89,77.8,4,0
Virginia,ACC,115.4,90.9,60.0,19.8,18.9,57.7,48.3,14.0,16.3,23.1,20.1,39.3,34.4,1.86,77.7,4,0
Texas,B12,113.9,90.0,69.6,16.2,18.0,52.5,43.6,18.7,17.0,32.0,27.4,34.4,28.4,1.89,78.0,3,0
Ohio St.,B10,119.1,95.8,66.7,18.2,17.3,52.4,48.1,15.8,16.0,31.5,26.5,34.4,33.3,1.98,77.5,4,1
Texas Tech,B12,112.8,90.0,66.9,17.7,17.5,49.3,47.1,16.0,25.0,35.2,28.4,33.0,34.3,1.42,76.9,3,1
Tennessee,SEC,109.3,86.5,66.1,17.6,17.6,50.5,45.3,16.7,23.8,32.2,27.0,34.0,30.4,1.6,77.5,3,1
Wisconsin,B10,112.1,89.4,65.2,18.3,17.8,51.1,46.1,13.2,17.0,23.2,22.3,37.0,32.4,2.39,78.0,3,0
Creighton,BE,116.0,93.7,69.5,15.9,17.9,56.7,46.1,15.5,17.9,24.3,30.3,36.9,32.8,2.22,77.0,3,1
Florida St.,ACC,114.6,92.9,70.0,16.8,17.4,54.2,46.9,20.2,20.2,35.8,29.3,37.9,33.2,1.99,79.6,4,0
Colorado,P12,115.0,93.8,67.1,17.0,18.6,52.3,48.1,16.1,20.5,30.6,24.7,37.0,33.7,2.31,77.3,3,0
West Virginia,B12,114.5,93.5,68.8,17.4,16.7,48.1,48.7,16.6,20.1,36.3,31.0,35.8,30.3,1.87,77.2,3,0
Oklahoma,B12,112.8,92.1,68.7,17.0,17.2,51.0,48.8,15.0,20.1,29.1,26.5,34.2,35.8,2.09,77.0,5,1
USC,P12,112.0,91.5,68.3,17.2,17.9,52.0,43.6,18.1,17.3,37.2,27.9,33.9,32.2,1.74,79.6,4,1
Kansas,B12,111.4,91.3,68.4,16.3,17.9,49.8,49.3,18.1,19.6,31.2,26.4,34.5,35.4,1.47,78.2,1,0
Loyola Chicago,MVC,110.2,90.0,65.8,17.9,18.0,57.0,46.8,17.9,22.4,25.2,22.0,35.7,32.4,2.22,76.2,5,1
Florida,SEC,114.2,94.1,70.3,16.1,17.3,54.2,47.9,19.6,21.2,32.5,32.0,38.3,33.9,1.51,77.3,4,1
Purdue,B10,111.8,91.9,66.5,18.5,17.3,51.4,48.8,19.4,16.9,33.2,23.8,35.2,32.0,1.06,78.4,4,1
San Diego St.,MWC,110.9,91.5,66.3,16.7,18.6,54.8,48.8,18.7,23.2,30.6,24.0,39.8,33.7,2.43,76.6,4,1
Duke,ACC,112.6,93.3,69.4,16.7,16.9,51.4,51.2,18.9,20.0,32.4,24.0,33.0,35.7,0.88,77.0,2,1
Indiana,B10,111.2,91.9,66.4,17.7,17.4,51.6,48.4,16.8,18.2,23.4,26.2,34.9,33.3,1.36,77.2,2,0
Rutgers,B10,109.9,90.9,68.4,16.9,17.5,51.4,48.1,15.3,19.2,29.4,28.2,34.8,32.6,1.96,77.9,2,1
Virginia Tech,ACC,110.3,91.5,66.6,17.9,18.0,52.1,47.7,17.8,17.9,29.6,23.5,34.6,32.2,1.62,76.3,4,1
Connecticut,BE,110.7,92.1,64.4,19.2,17.3,49.0,46.8,18.9,21.0,38.2,29.0,36.0,30.7,1.98,77.8,3,1
