teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Gonzaga,WCC,123.8,88.3,74.7,14.2,17.5,60.5,47.2,15.8,20.3,31.5,23.3,34.9,34.3,1.51,78.2,5,1
Baylor,B12,122.5,87.3,68.8,16.2,17.4,59.1,47.0,17.4,25.9,37.9,29.8,43.9,31.8,1.96,76.6,5,1
Michigan,B10,117.3,89.0,67.7,16.8,17.7,57.6,43.0,18.4,15.5,30.4,25.1,37.7,32.2,2.08,77.9,4,1
Illinois,B10,117.2,89.9,70.4,16.6,16.9,56.6,46.4,18.7,16.2,33.3,22.2,39.3,33.2,1.64,77.0,4,1
Iowa,B10,125.5,99.2,70.2,15.8,17.4,55.3,49.1,13.1,17.0,32.9,31.2,38.5,35.6,1.66,77.9,1,0
Houston,Amer,114.1,88.1,65.7,19.1,16.6,48.5,41.8,17.9,22.2,40.3,27.1,34.1,26.4,1.78,77.0,4,1
Ohio St.,B10,120.8,95.2,67.1,18.1,17.2,52.8,47.8,15.2,15.6,29.9,25.9,35.2,33.1,1.99,77.5,5,1
Alabama,SEC,111.7,86.5,74.3,14.1,17.4,51.2,45.2,18.9,21.0,30.7,29.2,35.5,29.3,1.87,77.8,3,1
Virginia,ACC,116.3,91.4,59.9,19.9,18.9,58.0,48.1,14.6,16.4,22.2,22.3,39.8,33.9,1.87,77.8,4,1
Villanova,BE,119.2,94.7,64.6,18.4,17.2,54.0,52.8,13.6,19.7,28.8,24.6,37.5,36.8,1.89,77.9,4,1
Wisconsin,B10,112.6,89.4,65.2,18.4,17.8,51.0,46.6,13.8,17.6,23.0,23.7,36.5,31.9,2.38,78.0,2,0
Tennessee,SEC,109.1,85.9,66.6,17.5,17.6,50.2,44.8,17.0,23.5,31.0,27.0,34.0,29.9,1.58,77.5,3,1
USC,P12,112.7,89.9,67.7,17.3,18.1,51.8,43.8,18.0,17.5,37.0,28.0,33.4,31.9,1.72,79.5,4,1
