teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Gonzaga,WCC,125.8,89.2,75.0,14.1,17.6,61.1,47.5,16.2,20.7,30.8,23.7,36.1,33.0,1.52,78.1,0,0
Michigan,B10,121.4,87.6,67.5,17.2,18.0,56.5,43.9,17.0,14.8,30.9,24.2,39.0,32.7,2.14,77.9,5,1
Baylor,B12,121.9,90.5,68.5,16.3,17.5,57.6,47.9,16.8,25.7,36.9,30.6,42.1,32.1,1.97,76.6,4,0
Houston,Amer,116.8,88.1,65.8,18.9,17.0,49.7,42.4,17.0,22.5,39.6,27.6,34.7,27.6,1.81,77.1,4,1
Iowa,B10,125.5,97.0,69.8,16.2,17.5,55.0,48.3,13.6,16.0,32.2,30.4,40.1,35.1,1.7,78.0,4,0
Illinois,B10,117.9,90.5,70.8,16.6,17.0,56.1,46.7,18.8,16.5,32.5,22.4,38.1,33.2,1.63,77.0,4,1
Ohio St.,B10,124.1,97.4,67.3,18.1,17.3,53.6,48.8,15.3,15.9,29.9,26.7,36.6,34.1,1.99,77.5,3,0
Villanova,BE,120.9,95.9,65.1,18.4,17.1,54.4,52.3,13.8,19.5,28.7,24.8,37.7,35.5,1.9,77.9,4,1
Alabama,SEC,111.8,87.4,74.4,14.0,17.6,51.4,45.4,18.9,20.7,30.6,28.9,35.5,28.7,1.88,77.8,4,1
Florida St.,ACC,118.2,94.6,70.0,16.6,17.7,54.0,46.7,19.1,19.6,36.3,30.5,38.7,33.6,1.97,79.6,4,0
Loyola Chicago,MVC,109.6,86.4,64.4,18.3,19.0,55.8,46.8,18.3,22.2,26.1,21.3,33.9,32.5,2.26,76.2,0,0
Wisconsin,B10,111.9,88.8,65.2,18.6,17.5,49.2,47.4,13.4,18.2,23.8,23.8,35.7,33.9,2.37,78.0,2,0
Virginia,ACC,115.7,92.6,60.1,20.1,18.7,56.6,48.5,15.6,15.7,22.3,21.9,39.3,34.1,1.94,77.7,2,0
Purdue,B10,113.2,90.3,66.5,18.5,17.3,51.3,48.6,18.9,17.3,32.1,23.8,33.6,32.0,1.04,78.3,4,1
Creighton,BE,116.7,94.2,69.1,16.0,18.0,56.6,46.8,15.9,18.4,24.2,28.9,36.7,32.8,2.24,77.0,4,0
Colorado,P12,114.8,92.5,67.0,17.5,18.6,52.4,47.2,16.7,20.2,29.7,25.7,36.8,32.6,2.3,77.4,3,1
Arkansas,SEC,112.1,90.1,72.6,16.0,15.8,50.9,47.3,16.9,20.2,32.2,26.0,33.6,31.9,1.56,78.1,5,1
West Virginia,B12,117.1,95.1,69.5,17.4,16.7,49.0,49.6,16.5,20.2,35.4,30.1,36.5,32.1,1.84,77.2,4,1
Kansas,B12,111.0,89.0,68.4,16.5,17.9,49.7,46.8,17.7,19.7,31.9,26.8,33.6,32.0,1.47,78.3,4,1
San Diego St.,MWC,110.8,89.0,66.3,16.8,18.6,53.2,46.9,17.6,22.8,30.7,23.8,38.0,32.5,2.42,76.6,5,1
USC,P12,112.9,91.4,67.7,17.3,18.1,51.5,45.3,18.3,17.4,36.9,27.7,34.5,33.7,1.72,79.4,2,0
BYU,WCC,113.6,92.4,67.9,17.0,17.1,55.3,46.2,19.1,16.3,29.0,23.6,37.3,32.5,2.01,78.0,0,0
Texas Tech,B12,112.1,91.2,66.0,18.0,17.8,48.8,47.2,16.2,23.7,33.6,28.9,33.6,33.8,1.43,77.0,2,1
Tennessee,SEC,109.0,88.3,67.2,17.2,17.4,50.3,46.2,17.7,22.8,30.6,28.0,34.6,32.0,1.52,77.5,2,0
Texas,B12,113.5,93.1,69.1,16.3,18.2,51.7,46.0,19.4,17.4,31.2,26.6,34.0,32.3,1.92,77.8,3,0
Rutgers,B10,110.2,90.1,68.0,17.1,17.8,50.9,47.7,16.2,19.1,28.4,28.6,32.2,33.4,2.01,77.9,2,1
Florida,SEC,112.5,92.5,69.2,16.2,17.1,52.8,47.1,20.2,21.1,31.3,31.3,35.9,30.6,1.55,77.4,3,1
Connecticut,BE,112.1,92.7,65.6,18.9,17.4,49.3,46.5,18.1,19.6,36.6,29.8,33.8,31.2,1.84,77.9,4,1
Maryland,B10,111.7,92.5,65.5,18.2,18.3,52.6,48.8,16.6,16.8,21.8,24.2,34.7,34.4,1.88,78.3,4,1
LSU,SEC,119.9,101.1,71.1,16.0,16.8,53.3,49.0,16.4,19.1,30.9,32.6,34.5,30.1,1.06,77.6,3,0
St. Bonaventure,A10,111.8,93.2,65.2,18.6,18.3,51.4,45.8,17.3,18.9,33.1,28.8,37.1,30.2,1.93,77.3,4,1
Georgia Tech,ACC,114.2,95.6,67.6,17.7,17.5,54.1,51.9,15.9,22.2,24.1,29.7,35.6,36.9,2.56,76.3,4,1
Oklahoma,B12,112.0,93.6,67.9,17.2,17.4,50.7,48.1,15.5,19.0,28.1,27.9,33.2,35.4,2.09,76.9,3,0
North Carolina,ACC,109.6,91.4,71.7,15.6,17.9,48.3,49.2,20.6,19.2,40.1,25.6,30.9,35.4,1.06,78.8,3,1
Duke,ACC,115.8,98.1,68.8,17.2,17.3,54.0,52.1,18.4,19.5,32.2,28.2,35.7,37.4,0.86,77.1,4,0
Oklahoma St.,B12,108.7,91.2,71.6,15.8,17.4,51.1,46.4,21.2,19.6,31.7,29.2,33.7,31.8,1.1,77.5,4,1
Indiana,B10,111.2,93.9,66.3,18.1,17.4,49.7,49.1,17.5,17.5,25.9,26.8,34.7,34.2,1.36,77.3,1,0
Clemson,ACC,106.7,89.4,65.0,17.9,18.4,49.6,48.1,19.6,22.1,26.7,26.4,33.1,33.0,1.79,76.9,5,1
UCLA,P12,113.6,96.8,64.5,18.5,18.1,51.7,50.0,16.4,17.7,30.6,23.9,37.0,34.8,1.44,77.3,4,0
Penn St.,B10,111.8,95.1,69.6,16.6,17.9,47.8,53.7,16.5,20.5,31.3,26.4,33.8,34.2,2.23,76.1,1,0
Oregon,P12,111.8,95.3,67.5,17.2,17.7,52.7,48.8,17.2,20.7,29.0,27.2,35.5,33.0,2.26,77.5,4,1
Arizona,P12,113.6,97.1,68.3,16.8,18.3,50.5,48.9,17.3,18.2,34.8,24.1,37.3,33.3,1.21,78.7,3,1
Louisville,ACC,109.0,92.6,66.3,17.9,18.0,48.8,48.0,18.0,17.0,32.1,25.7,30.7,30.5,1.01,77.4,3,1
Seton Hall,BE,112.4,96.0,67.3,17.1,18.1,51.0,49.7,18.8,19.4,29.2,29.6,32.5,36.6,2.37,79.2,3,0
Virginia Tech,ACC,110.5,94.3,66.0,18.2,18.1,52.4,48.2,17.5,17.7,28.9,23.5,35.3,32.8,1.54,76.4,3,1
Memphis,Amer,102.8,86.9,72.1,16.0,17.0,50.3,43.5,22.6,23.0,33.8,24.4,35.4,26.6,1.12,77.8,4,1
Missouri,SEC,111.6,95.8,68.9,16.7,17.1,51.3,47.5,18.8,17.7,28.5,29.6,31.6,32.1,2.46,77.6,1,0
VCU,A10,105.8,90.1,69.7,16.0,17.8,50.8,46.0,20.9,24.0,29.4,31.1,33.1,29.4,1.24,77.3,0,0
SMU,Amer,111.3,95.6,68.7,16.1,17.7,52.0,46.0,19.7,19.9,29.9,28.8,34.0,33.5,2.19,77.3,3,1
Saint Louis,A10,110.4,94.7,68.4,16.8,17.9,52.1,47.6,17.4,20.0,36.0,21.9,34.7,34.0,1.9,76.3,3,1
Kentucky,SEC,107.7,92.0,68.0,17.2,17.2,46.6,46.5,20.6,17.3,33.5,30.1,32.6,31.2,0.99,78.9,3,0
Toledo,MAC,116.2,100.6,68.9,17.0,17.0,54.5,47.8,16.1,17.8,30.1,30.7,38.3,29.1,1.79,76.8,3,1
Drake,MVC,113.7,98.3,67.1,17.8,18.1,55.1,47.6,15.7,18.9,32.2,24.8,37.0,29.5,2.01,76.1,0,0
Boise St.,MWC,109.8,94.4,69.4,16.4,17.7,52.2,48.3,16.4,20.5,27.8,23.4,34.2,31.4,2.08,78.2,3,0
Richmond,A10,113.4,98.1,68.5,16.5,17.9,53.8,52.9,14.5,21.7,19.9,28.4,35.0,32.3,2.47,76.1,3,0
Utah St.,MWC,107.3,92.0,69.6,16.8,17.4,51.0,46.7,20.1,20.3,35.1,20.8,35.1,34.5,1.49,78.2,3,1
Xavier,BE,111.6,96.3,69.1,16.5,17.4,53.3,47.1,16.1,16.4,26.1,27.0,33.5,33.5,1.85,77.3,2,1
Minnesota,B10,111.3,96.4,69.9,16.7,17.0,45.9,50.0,15.5,19.3,29.4,32.0,28.9,35.0,1.84,77.9,0,0
Michigan St.,B10,108.2,93.4,69.1,17.0,17.2,49.1,47.9,19.2,15.5,30.8,26.5,33.3,31.4,1.71,78.0,3,1
Mississippi,SEC,106.4,91.7,65.6,18.0,17.2,48.7,49.5,20.2,24.0,34.3,27.5,28.5,37.0,1.98,77.1,3,0
Wright St.,Horz,109.7,95.2,71.1,16.3,17.0,54.4,44.9,17.9,16.8,34.4,25.3,37.2,30.1,1.35,77.4,0,0
Syracuse,ACC,112.6,98.1,69.6,15.8,17.7,50.3,49.1,16.2,21.0,29.9,32.3,33.3,31.8,1.55,78.0,3,0
Notre Dame,ACC,115.5,102.1,67.1,17.5,18.4,55.0,50.4,15.3,12.5,20.3,28.5,37.1,36.6,2.21,78.6,2,0
North Texas,CUSA,106.7,93.3,64.3,18.5,17.1,55.9,46.5,21.3,21.1,27.2,25.4,37.5,31.9,2.34,76.9,4,0
Auburn,SEC,111.8,98.4,72.0,16.3,16.4,51.4,49.8,21.8,19.0,34.9,31.6,32.9,33.2,0.77,78.7,2,1
Mississippi St.,SEC,106.4,93.3,66.0,18.2,17.2,50.0,46.7,21.9,18.6,35.6,26.8,35.0,32.3,1.21,78.9,2,0
Colorado St.,MWC,107.4,94.3,70.2,16.5,17.5,57.2,47.7,21.2,20.1,21.7,24.8,38.4,29.0,1.21,75.8,4,1
Davidson,A10,113.0,99.9,62.9,19.3,18.5,55.4,49.4,17.3,15.7,27.6,21.2,35.0,34.0,1.75,78.4,0,0
Stanford,P12,106.1,93.4,69.5,16.8,17.6,52.6,47.3,21.1,20.3,25.7,28.4,32.6,32.9,1.35,78.8,2,0
Providence,BE,109.6,97.1,66.5,18.2,17.4,48.9,48.9,17.1,16.8,29.9,29.7,33.3,30.4,1.87,78.1,3,1
N.C. State,ACC,110.1,97.6,68.4,16.9,17.9,53.1,51.8,19.1,22.6,30.0,31.2,36.2,34.9,1.66,77.1,3,1
Northwestern,B10,106.1,93.7,69.0,16.2,18.1,50.6,50.0,17.0,17.2,19.4,26.3,34.4,32.8,1.51,77.9,1,1
St. John's,BE,111.6,99.4,73.9,14.9,17.2,50.7,53.4,17.0,22.4,29.0,30.4,34.9,35.1,1.48,77.0,2,0
Buffalo,MAC,108.2,96.1,74.4,14.7,17.1,51.6,46.2,17.8,18.3,36.7,26.2,32.6,28.1,2.21,77.0,4,1
Wichita St.,Amer,110.6,98.5,67.7,17.4,17.8,46.5,46.9,16.1,17.5,31.0,34.4,33.1,30.3,1.88,76.5,5,1
UC Santa Barbara,BW,108.1,96.3,65.6,17.7,18.4,53.3,47.0,17.0,21.1,27.9,26.0,36.1,32.9,2.36,77.4,4,0
Marshall,CUSA,111.0,99.5,72.9,14.6,17.7,55.2,49.9,16.5,20.4,24.1,29.2,36.4,35.8,1.94,77.2,4,1
Saint Mary's,WCC,102.2,90.8,63.3,20.1,16.1,48.3,47.4,17.1,18.3,26.7,21.2,30.6,35.7,1.57,77.7,0,0
Marquette,BE,109.2,97.8,67.7,18.3,16.8,50.8,48.2,21.0,15.9,30.7,28.3,33.2,35.5,1.76,78.0,2,0
Louisiana Tech,CUSA,104.3,93.0,69.4,16.7,17.0,50.8,45.7,17.9,18.9,26.7,23.3,34.7,29.4,2.1,76.2,0,0
Utah,P12,109.1,98.4,67.5,18.0,17.7,51.4,50.6,18.5,20.1,24.6,30.2,34.2,35.7,1.35,77.7,1,1
Pittsburgh,ACC,108.4,97.8,69.2,17.2,17.3,48.6,49.8,17.8,18.3,34.3,27.1,32.4,31.6,1.28,77.6,1,0
Liberty,ASun,110.5,100.2,63.1,19.5,17.7,57.5,47.2,15.6,17.1,22.9,22.7,38.9,31.5,1.75,75.8,0,0
Belmont,OVC,110.1,100.4,71.2,15.7,17.4,56.8,48.8,16.3,20.4,25.4,26.7,34.7,34.1,1.37,77.0,0,0
Kent St.,MAC,107.7,98.0,70.2,17.5,16.7,51.5,48.6,19.2,17.2,35.3,28.2,34.2,34.8,2.15,77.5,4,1
Dayton,A10,108.4,98.7,66.0,18.6,17.5,55.5,48.0,20.8,17.5,22.5,29.0,36.2,31.6,1.93,77.8,2,0
Western Kentucky,CUSA,108.1,98.5,68.3,17.5,16.3,51.3,50.2,20.8,19.3,31.8,23.9,34.4,36.7,2.18,76.3,4,0
Georgia,SEC,108.5,99.2,73.4,15.6,16.3,50.6,52.5,21.5,21.6,33.7,32.1,31.3,33.7,1.83,75.8,2,0
