teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Gonzaga,WCC,125.0,90.4,74.8,14.1,17.6,60.7,47.1,15.5,20.2,33.5,23.6,35.7,34.6,1.48,78.3,5,1
Baylor,B12,121.7,87.1,69.5,15.9,17.5,59.2,46.0,17.6,26.5,38.5,29.1,44.0,31.4,1.95,76.6,5,1
Michigan,B10,117.2,89.0,68.3,16.8,17.7,57.6,43.0,18.4,15.5,30.4,25.1,37.7,32.2,2.08,77.9,4,1
Iowa,B10,124.9,97.8,70.9,15.8,17.1,55.9,49.1,13.5,18.0,34.1,30.2,38.5,35.1,1.68,77.8,3,0
Houston,Amer,114.6,87.8,66.3,19.2,16.5,49.1,41.1,18.1,23.2,41.3,27.7,34.5,25.4,1.75,77.0,5,1
Villanova,BE,119.6,93.5,64.9,18.2,17.4,54.8,52.9,11.9,19.9,27.2,21.2,36.9,36.2,1.88,77.9,5,1
Virginia,ACC,116.3,90.5,60.1,19.7,18.8,58.6,47.5,13.9,16.0,23.6,20.3,39.6,33.5,1.86,77.8,5,1
Illinois,B10,117.2,91.6,70.7,16.5,16.7,57.3,46.6,18.6,16.0,33.3,22.8,39.9,34.0,1.63,77.0,3,1
Alabama,SEC,114.8,90.0,74.6,14.3,17.5,52.2,45.4,18.2,21.2,31.1,29.6,36.0,30.2,1.89,77.8,5,1
Texas,B12,114.5,90.3,69.8,16.2,18.0,52.5,43.6,18.7,17.0,32.0,27.4,34.4,28.4,1.89,78.0,3,0
Wisconsin,B10,112.9,89.1,65.0,18.4,17.9,51.2,45.8,13.0,17.6,23.0,22.5,37.9,32.3,2.39,78.0,3,1
Ohio St.,B10,119.4,96.4,66.9,18.2,17.3,52.4,48.1,15.8,16.0,31.5,26.5,34.4,33.3,1.98,77.5,4,1
Texas Tech,B12,113.5,90.5,67.0,17.8,17.5,49.4,46.9,15.8,25.5,34.6,28.4,33.2,34.0,1.41,76.9,3,0
Florida St.,ACC,116.1,93.2,69.6,17.0,17.3,54.9,46.6,19.6,20.3,35.6,29.3,38.7,33.6,1.99,79.6,5,1
Creighton,BE,116.8,94.2,70.2,15.8,17.9,57.3,46.4,15.2,18.0,23.8,30.0,37.4,33.3,2.22,77.0,3,1
West Virginia,B12,114.7,92.7,68.9,17.3,16.7,48.3,48.3,16.8,20.2,36.2,30.9,36.6,29.5,1.87,77.3,3,1
Colorado,P12,115.2,93.2,67.2,17.1,18.5,52.0,47.5,16.1,20.7,31.0,25.0,36.3,33.0,2.31,77.3,4,1
Kansas,B12,112.0,90.3,68.4,16.3,17.7,50.2,48.6,18.6,19.5,32.4,26.3,35.2,34.4,1.46,78.2,2,1
Tennessee,SEC,108.7,87.5,66.2,17.4,17.8,49.8,45.4,16.4,24.7,32.4,28.0,32.5,30.8,1.62,77.5,3,1
USC,P12,112.3,91.9,68.5,17.2,17.9,52.0,43.6,18.1,17.3,37.2,27.9,33.9,32.2,1.74,79.6,4,1
Oklahoma,B12,114.0,93.6,69.2,16.9,17.4,51.3,48.9,14.6,19.9,28.8,27.1,33.9,35.8,2.12,77.0,4,1
Loyola Chicago,MVC,110.6,90.4,65.9,17.9,18.0,57.0,46.8,17.9,22.4,25.2,22.0,35.7,32.4,2.22,76.2,5,1
Indiana,B10,111.7,92.3,66.6,17.7,17.4,51.6,48.4,16.8,18.2,23.4,26.2,34.9,33.3,1.36,77.2,2,0
San Diego St.,MWC,110.3,91.3,66.6,16.8,18.6,53.7,48.5,19.1,23.6,30.2,24.3,39.3,33.7,2.44,76.6,3,1
