teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Gonzaga,WCC,127.1,88.7,74.3,14.2,17.6,61.2,47.1,16.0,20.6,31.1,23.6,36.3,33.1,1.51,78.2,5,1
Baylor,B12,123.6,88.6,68.3,16.2,17.4,59.1,47.0,17.4,25.9,37.9,29.8,43.9,31.8,1.96,76.6,5,1
Iowa,B10,128.4,98.1,69.3,16.0,17.6,55.7,48.2,13.2,16.4,32.9,30.9,40.4,34.8,1.7,78.0,3,1
Michigan,B10,119.1,89.4,67.2,17.1,17.8,56.6,43.1,17.8,14.9,30.5,24.6,38.0,32.0,2.13,77.9,4,1
Ohio St.,B10,124.2,96.4,66.8,18.1,17.3,53.4,48.1,15.3,15.8,30.4,26.3,36.2,33.7,1.99,77.5,5,1
Illinois,B10,117.9,90.7,69.7,16.8,17.0,56.7,46.2,18.7,16.3,32.4,22.8,38.9,32.8,1.63,77.0,5,1
Houston,Amer,116.3,89.9,65.1,19.0,17.0,49.1,42.6,17.5,22.3,40.2,28.2,34.0,28.0,1.81,77.1,3,0
Alabama,SEC,113.7,87.5,74.0,14.1,17.4,52.3,45.1,19.1,20.8,30.5,29.1,36.6,28.5,1.87,77.8,3,1
Loyola Chicago,MVC,111.7,87.1,64.0,18.2,18.8,56.8,46.0,18.3,21.4,25.8,21.6,35.8,30.4,2.25,76.3,4,1
Virginia,ACC,116.5,92.0,59.5,20.1,18.8,57.4,47.8,15.4,15.7,21.5,22.2,39.8,33.5,1.9,77.8,4,0
USC,P12,114.5,90.2,67.0,17.2,18.0,52.5,44.0,18.1,17.5,36.6,27.3,34.6,31.1,1.72,79.5,5,1
Villanova,BE,122.2,98.0,64.1,18.5,17.2,54.6,53.8,13.5,19.7,29.1,25.1,38.2,37.8,1.9,77.9,3,0
Florida St.,ACC,118.0,94.5,69.2,16.9,17.6,54.8,48.1,19.3,20.1,35.6,28.3,39.8,34.7,1.99,79.6,4,1
Creighton,BE,117.3,94.7,68.9,15.9,18.0,56.8,46.5,16.0,18.3,24.3,29.5,36.8,33.0,2.24,77.0,4,1
Wisconsin,B10,112.4,89.9,64.6,18.6,17.6,49.6,47.0,13.6,17.6,23.7,24.0,35.9,33.6,2.38,78.0,2,0
Tennessee,SEC,110.4,88.1,66.8,17.3,17.2,50.9,45.9,17.4,23.1,31.1,27.3,34.8,30.6,1.54,77.5,3,1
Colorado,P12,115.4,93.6,66.3,17.3,18.5,52.3,47.6,16.6,20.1,30.0,25.0,36.7,32.7,2.29,77.4,3,0
West Virginia,B12,117.7,96.1,68.8,17.4,16.6,48.9,49.2,16.5,19.8,36.2,30.6,36.9,31.3,1.84,77.2,3,0
Texas,B12,114.1,92.6,68.4,16.2,18.2,51.9,45.5,19.1,17.8,31.8,26.9,33.9,31.3,1.91,77.9,2,1
Texas Tech,B12,113.0,91.6,65.9,17.8,17.7,49.1,47.5,16.1,24.7,34.6,28.7,33.9,35.0,1.43,76.9,3,0
Purdue,B10,113.6,92.7,65.8,18.6,17.3,50.8,49.4,18.9,17.4,32.6,24.4,33.6,32.6,1.04,78.4,3,1
Arkansas,SEC,112.8,91.9,71.9,15.9,16.0,51.1,47.5,17.1,20.6,32.7,25.8,33.8,31.7,1.55,78.0,4,1
San Diego St.,MWC,111.9,91.1,65.7,16.6,18.6,53.2,47.3,17.3,22.9,31.4,23.1,38.0,33.9,2.42,76.6,5,1
Kansas,B12,111.0,90.3,68.3,16.2,17.8,49.9,47.4,18.0,20.3,31.9,26.5,34.4,33.3,1.48,78.3,4,1
Rutgers,B10,111.2,90.7,67.1,17.1,17.8,50.9,47.8,15.7,19.2,29.0,29.0,32.3,33.1,2.01,77.9,3,0
Oklahoma,B12,113.5,93.0,67.3,17.1,17.4,50.9,48.2,15.3,18.7,28.5,27.2,33.7,36.6,2.08,76.9,4,1
BYU,WCC,112.5,92.2,67.5,16.9,16.8,54.6,46.3,19.5,16.3,29.5,23.4,35.7,32.3,2.02,78.0,3,1
Indiana,B10,112.4,92.8,65.5,18.1,17.4,50.5,48.2,17.5,17.4,26.0,26.4,35.3,33.5,1.36,77.2,3,1
LSU,SEC,120.5,101.1,70.0,16.2,16.9,53.7,49.2,16.9,19.9,30.6,32.4,34.4,30.4,1.06,77.6,3,1
Duke,ACC,116.5,97.5,68.4,17.1,17.1,53.4,52.6,18.6,19.7,33.0,26.3,35.7,37.6,0.86,77.1,2,1
Florida,SEC,113.7,94.9,68.8,16.1,17.2,52.8,47.9,19.6,20.8,31.8,32.3,36.2,32.8,1.55,77.3,3,0
Louisville,ACC,111.1,93.0,65.6,17.7,18.4,50.2,46.8,18.1,17.6,31.2,25.5,31.9,30.9,0.98,77.5,2,1
Maryland,B10,111.6,93.6,65.1,18.2,18.3,52.5,49.1,16.6,16.6,21.8,24.2,34.8,34.9,1.87,78.3,3,1
Seton Hall,BE,114.0,95.9,66.6,17.1,18.1,51.5,49.3,18.8,18.8,28.9,29.3,33.3,36.1,2.37,79.2,4,1
Oregon,P12,111.7,93.9,67.9,16.9,17.3,52.7,47.5,17.8,20.8,29.5,26.0,35.2,31.6,2.25,77.5,4,1
Connecticut,BE,112.6,94.7,64.8,19.0,17.4,49.3,47.3,18.5,19.7,36.9,29.8,35.5,33.0,1.88,77.8,3,1
Virginia Tech,ACC,111.7,93.9,65.8,18.1,18.0,52.0,48.2,17.2,17.4,28.6,23.4,34.3,32.5,1.58,76.3,3,1
Penn St.,B10,113.7,96.1,68.6,16.7,18.1,48.3,52.8,16.5,20.4,32.7,27.5,34.4,32.7,2.22,76.1,1,0
VCU,A10,107.0,90.0,69.3,15.9,17.7,51.3,45.4,21.0,24.3,30.3,30.7,33.7,29.9,1.26,77.3,5,1
UCLA,P12,113.6,96.6,64.0,18.5,18.0,51.0,49.6,16.2,18.8,31.1,24.8,35.8,33.8,1.46,77.3,3,1
Minnesota,B10,113.3,96.3,69.3,16.6,17.1,46.3,48.9,15.0,18.9,29.8,32.5,29.1,33.6,1.86,78.0,2,0
North Carolina,ACC,109.8,92.9,70.4,15.8,17.9,47.7,50.0,20.3,18.7,39.5,23.9,31.0,36.5,1.1,78.9,3,1
Oklahoma St.,B12,108.3,91.6,70.9,15.7,17.4,51.0,45.9,20.9,19.8,31.4,29.9,34.0,31.1,1.11,77.5,3,1
Clemson,ACC,107.3,91.0,65.1,17.8,18.1,49.1,48.9,19.7,22.3,27.4,27.5,32.3,33.8,1.77,76.9,4,1
Arizona,P12,114.1,97.9,67.6,16.7,18.3,50.8,49.3,17.6,18.3,34.4,23.7,37.5,34.0,1.24,78.7,1,0
Memphis,Amer,104.8,88.6,71.1,16.0,17.1,50.6,44.4,22.0,23.1,33.6,25.2,35.7,27.3,1.12,77.8,4,1
Mississippi,SEC,107.3,91.3,65.4,17.8,17.0,49.4,49.1,20.4,24.5,33.8,27.1,28.6,37.1,1.98,77.1,4,1
Drake,MVC,112.6,96.6,66.7,17.7,17.8,54.1,46.7,15.8,19.9,33.0,24.6,35.9,29.2,2.04,76.1,3,1
Missouri,SEC,111.8,96.0,68.5,16.7,17.0,51.1,47.9,19.0,17.8,28.9,28.9,31.0,32.4,2.47,77.6,2,0
St. Bonaventure,A10,111.6,95.7,65.5,18.1,17.9,49.5,45.7,17.9,19.2,33.8,31.1,32.1,30.4,1.93,77.3,3,0
Saint Louis,A10,110.5,94.7,68.5,16.4,17.9,52.1,47.0,16.9,21.1,35.5,23.0,34.3,32.9,1.84,76.2,4,0
Utah St.,MWC,107.4,91.8,69.3,16.7,17.4,50.8,46.4,20.0,20.5,35.2,20.9,34.2,33.6,1.5,78.2,2,0
SMU,Amer,111.6,96.1,68.4,16.1,17.7,52.0,46.0,19.7,19.9,29.9,28.8,34.0,33.5,2.19,77.3,3,1
Boise St.,MWC,111.6,96.2,68.7,16.3,17.7,53.1,48.4,15.9,20.6,28.3,23.1,35.4,31.5,2.07,78.3,4,1
Notre Dame,ACC,116.6,101.3,66.6,17.7,18.3,55.1,50.0,15.5,12.6,20.5,28.1,38.1,35.8,2.21,78.7,4,1
Georgia Tech,ACC,112.2,96.8,67.3,17.6,17.4,53.1,52.6,16.0,22.2,22.6,29.4,35.4,37.5,2.56,76.2,2,1
Stanford,P12,106.9,91.7,69.8,16.6,17.2,52.1,47.2,20.9,20.7,26.2,27.6,31.1,32.9,1.35,78.8,4,1
Syracuse,ACC,112.6,97.5,69.3,15.7,17.6,50.4,47.7,16.4,21.4,28.9,31.8,32.5,30.8,1.56,78.0,3,1
Auburn,SEC,113.2,98.1,71.5,16.2,16.3,52.4,49.2,22.0,19.1,34.6,30.9,33.7,32.0,0.75,78.7,1,0
Xavier,BE,112.2,97.2,68.7,16.3,17.4,53.7,46.8,16.4,16.5,27.1,27.3,35.5,33.4,1.91,77.2,3,0
Richmond,A10,112.9,98.3,68.5,16.4,17.8,53.3,53.0,14.7,22.4,20.6,28.5,33.8,32.6,2.47,76.2,3,0
