teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Gonzaga,WCC,124.0,91.1,75.2,14.2,17.4,60.6,48.2,15.4,20.2,33.9,23.9,34.3,35.0,1.5,78.3,5,1
Baylor,B12,120.0,87.2,69.3,16.0,17.5,58.6,46.4,17.9,26.7,38.4,29.1,42.6,31.7,1.95,76.7,5,1
Iowa,B10,125.2,96.4,71.0,15.5,17.1,57.4,48.2,13.4,18.2,33.7,30.5,39.5,34.2,1.67,77.8,5,1
Michigan,B10,116.9,90.2,68.3,16.7,17.7,58.2,43.9,18.2,15.1,30.3,23.6,37.6,32.9,2.07,77.9,4,1
Villanova,BE,120.1,94.0,64.0,18.3,17.4,55.9,53.8,11.8,19.1,26.6,21.0,37.8,36.6,1.88,77.9,5,1
Houston,Amer,114.2,88.4,66.4,19.3,16.4,47.9,41.9,18.1,24.2,42.1,26.9,33.2,26.2,1.76,77.0,5,1
Virginia,ACC,115.3,90.4,59.2,19.7,19.2,58.6,47.6,13.3,16.4,23.9,22.1,38.5,33.1,1.86,77.8,5,1
Wisconsin,B10,113.7,89.0,64.4,18.4,17.9,51.7,45.3,12.5,17.9,23.4,23.4,39.0,32.6,2.34,78.1,4,1
Texas,B12,114.3,89.7,69.5,16.3,18.0,52.8,43.3,18.8,17.3,32.0,27.4,35.2,28.7,1.91,77.9,4,1
Illinois,B10,116.5,92.1,71.1,16.5,16.7,57.3,46.4,18.5,16.3,33.3,22.2,39.7,33.6,1.62,77.0,3,1
Alabama,SEC,114.8,90.7,74.5,14.3,17.4,52.2,45.5,17.9,21.0,32.2,30.1,35.9,29.8,1.9,77.9,5,1
Tennessee,SEC,110.3,87.5,66.0,17.3,17.7,50.4,45.7,15.5,25.1,32.9,26.0,33.2,30.4,1.62,77.6,3,0
Texas Tech,B12,111.6,88.8,66.9,17.8,17.6,49.1,45.4,16.7,26.1,35.1,28.9,32.6,32.1,1.41,76.9,3,0
Kansas,B12,113.6,91.2,68.1,16.4,17.6,50.4,48.7,18.6,18.9,34.9,26.5,35.8,33.9,1.44,78.2,2,0
Creighton,BE,115.2,93.1,70.3,15.8,17.7,57.1,46.0,15.6,18.0,24.2,28.8,36.7,33.3,2.21,77.0,3,0
Ohio St.,B10,117.8,96.2,66.3,18.2,17.4,51.9,47.9,15.2,16.1,31.9,26.8,34.6,33.2,1.97,77.5,3,0
Colorado,P12,114.4,92.8,67.7,16.9,18.4,51.6,47.3,15.8,20.4,32.3,24.8,34.9,32.3,2.3,77.3,4,0
West Virginia,B12,113.5,92.0,68.5,17.4,16.5,46.8,48.2,16.7,20.0,38.3,30.8,34.3,29.1,1.83,77.5,2,0
Florida St.,ACC,114.9,93.7,69.5,17.1,17.2,54.3,47.9,19.3,20.7,34.4,30.8,38.6,35.2,1.98,79.6,4,1
Oregon,P12,113.1,92.5,69.5,16.3,17.1,53.6,47.6,17.6,21.5,29.3,23.2,35.5,29.3,2.32,77.5,4,1
USC,P12,111.3,91.3,68.5,17.1,17.8,52.4,43.4,18.0,17.5,35.1,27.5,33.2,32.2,1.75,79.6,4,0
Minnesota,B10,112.5,92.7,71.4,16.1,16.7,47.4,47.1,14.8,18.7,29.1,31.5,29.9,32.1,1.89,78.0,2,1
Florida,SEC,112.0,92.5,71.0,16.0,17.3,52.6,46.7,19.6,21.9,31.5,30.9,37.0,34.8,1.5,77.3,2,1
Loyola Chicago,MVC,110.8,91.3,65.3,17.9,18.0,57.6,46.9,17.3,21.9,25.3,21.3,37.0,33.8,2.19,76.2,4,1
Purdue,B10,111.4,92.2,66.9,18.4,17.2,52.5,48.8,19.5,16.6,31.5,23.3,35.1,31.5,1.08,78.4,4,1
Oklahoma,B12,112.7,93.6,68.8,16.7,17.7,51.4,48.5,14.6,20.5,29.6,28.2,34.4,36.8,2.11,77.1,3,1
UCLA,P12,116.4,97.3,64.8,18.5,17.6,52.7,49.5,16.1,18.1,33.9,24.9,38.6,31.0,1.55,77.5,5,1
Connecticut,BE,110.8,92.2,64.5,18.9,17.2,49.1,46.5,19.2,22.5,39.2,31.1,35.7,30.4,1.97,77.9,4,0
Duke,ACC,112.5,94.0,69.0,16.2,17.0,51.1,52.6,19.0,20.5,33.4,24.1,33.3,37.3,0.86,76.9,3,0
Arizona,P12,113.7,95.4,69.7,16.3,17.9,51.1,47.1,16.4,19.4,37.1,23.6,36.3,31.2,1.34,78.6,3,1
