teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Gonzaga,WCC,123.4,91.6,75.3,14.2,17.3,60.8,48.9,14.7,20.6,34.8,24.5,33.7,34.5,1.48,78.3,5,1
Baylor,B12,119.2,87.4,69.4,15.6,17.6,59.0,46.1,16.7,26.8,38.7,27.5,42.8,30.5,1.88,76.8,5,1
Iowa,B10,123.2,95.9,71.4,15.5,17.2,56.7,48.1,13.5,19.0,34.2,31.6,39.3,34.9,1.67,77.8,4,1
Michigan,B10,117.2,90.0,68.1,16.7,17.7,59.0,43.2,17.7,15.2,30.7,24.3,37.3,34.5,2.11,77.9,5,1
Villanova,BE,119.6,92.8,63.6,18.3,17.5,56.0,52.8,11.6,19.0,27.3,21.4,37.5,36.2,1.87,77.9,5,1
Texas,B12,113.0,87.8,69.1,16.3,17.9,51.8,42.3,19.0,17.7,32.6,27.5,33.2,27.1,1.88,78.0,5,1
Illinois,B10,115.9,91.2,71.0,16.5,16.6,57.9,45.7,18.7,15.6,34.0,20.7,41.2,31.7,1.63,77.0,4,0
Tennessee,SEC,111.7,87.0,65.8,17.4,17.7,51.7,44.9,14.7,25.6,33.4,24.5,34.9,31.2,1.62,77.5,4,1
Wisconsin,B10,113.8,89.8,65.0,18.2,17.9,52.4,45.7,12.3,17.8,24.0,22.2,40.5,34.6,2.33,78.1,3,0
Creighton,BE,116.3,92.3,70.7,15.7,17.3,58.3,46.0,15.6,18.5,24.9,28.7,38.8,33.8,2.2,77.0,5,1
Houston,Amer,112.4,88.4,65.9,19.1,16.5,47.4,41.1,18.2,23.4,40.4,26.4,32.5,26.0,1.77,77.1,4,1
Kansas,B12,112.5,90.0,68.7,16.3,17.5,49.9,47.7,18.2,18.2,35.1,25.7,34.6,33.0,1.43,78.2,3,0
Texas Tech,B12,110.8,88.3,66.7,17.7,17.7,50.0,44.3,16.3,26.7,35.1,28.0,33.1,29.5,1.4,76.9,4,1
West Virginia,B12,112.9,91.6,68.9,17.4,16.5,46.8,48.2,16.7,20.0,38.3,30.8,34.3,29.1,1.83,77.5,2,0
Virginia,ACC,110.8,89.8,58.7,19.3,19.4,56.0,47.8,13.5,17.1,24.5,23.3,34.7,35.5,1.88,77.7,4,1
Ohio St.,B10,115.7,94.9,66.2,18.0,17.6,50.4,47.2,14.5,17.2,34.4,27.0,32.1,34.4,1.99,77.3,3,1
Clemson,ACC,107.6,86.9,66.3,17.3,17.9,49.7,44.7,18.9,26.4,28.6,27.6,33.9,29.9,1.75,76.8,4,1
Colorado,P12,111.9,91.2,68.0,17.0,18.5,51.2,46.8,17.0,20.5,31.9,24.4,35.4,30.6,2.31,77.3,3,1
Oregon,P12,112.8,92.2,69.9,16.3,17.1,53.7,47.6,17.6,21.5,29.1,23.2,35.5,29.4,2.32,77.5,4,1
Alabama,SEC,112.4,92.1,74.6,14.2,17.6,49.9,46.6,17.8,21.4,32.8,30.4,33.3,31.1,1.92,78.0,5,1
USC,P12,110.4,90.3,68.0,17.1,17.8,52.6,41.9,18.8,17.1,34.9,28.7,33.3,30.9,1.75,79.7,4,1
Connecticut,BE,110.7,90.8,65.0,18.7,17.6,49.5,45.4,19.1,22.1,39.5,30.9,35.5,28.7,1.91,77.8,4,1
Duke,ACC,112.3,93.0,69.2,16.3,17.1,52.0,52.6,19.5,21.0,33.9,24.3,34.0,37.7,0.9,76.9,3,0
