teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Gonzaga,WCC,126.0,89.2,75.0,14.1,17.6,61.1,47.5,16.2,20.7,30.8,23.7,36.1,33.0,1.52,78.1,0,0
Michigan,B10,119.5,86.9,67.5,17.2,18.1,55.7,44.0,17.2,15.1,29.8,24.7,39.0,32.5,2.14,77.9,4,1
Baylor,B12,123.6,91.8,68.4,16.4,17.5,57.8,48.7,17.0,25.5,37.1,30.9,42.0,32.8,1.99,76.6,4,1
Iowa,B10,125.1,95.0,70.1,16.2,17.3,55.3,48.1,13.2,16.5,31.2,29.2,39.9,34.8,1.67,77.9,4,1
Illinois,B10,118.4,88.8,70.8,16.6,17.0,55.9,46.3,18.7,16.3,32.6,22.1,38.3,33.1,1.63,77.0,4,1
Houston,Amer,117.7,88.1,65.7,18.9,17.1,50.8,42.4,16.6,22.6,39.6,27.9,35.3,28.1,1.8,77.1,4,1
Ohio St.,B10,122.6,96.9,67.3,18.1,17.4,53.5,49.1,15.5,15.6,29.0,26.3,36.4,34.4,1.99,77.5,2,0
Alabama,SEC,111.6,86.8,74.1,14.0,17.7,51.2,45.4,18.6,21.1,30.5,29.2,35.2,28.6,1.88,77.7,4,1
Florida St.,ACC,118.5,94.4,70.4,16.4,17.7,54.6,46.7,19.2,20.2,35.9,30.7,39.3,33.9,1.97,79.6,4,1
Villanova,BE,120.2,96.0,65.4,18.4,17.1,53.6,52.3,13.7,19.1,28.4,24.8,36.0,35.5,1.91,77.9,3,1
Wisconsin,B10,112.8,89.5,65.2,18.7,17.5,49.1,47.6,13.3,18.2,23.9,24.3,35.2,34.0,2.37,78.0,1,0
Loyola Chicago,MVC,109.6,86.3,64.5,18.3,19.0,55.8,46.8,18.3,22.2,26.1,21.3,33.9,32.5,2.26,76.2,0,0
Arkansas,SEC,113.0,89.8,72.9,16.0,15.7,51.6,47.1,16.9,20.0,31.7,26.0,34.2,31.6,1.57,78.1,5,1
Purdue,B10,114.1,91.1,66.6,18.5,17.4,51.3,48.5,18.8,17.0,32.3,24.0,33.7,31.7,1.04,78.4,4,1
