teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Gonzaga,WCC,123.9,91.0,75.3,14.2,17.4,60.6,48.2,15.4,20.2,33.9,23.9,34.3,35.0,1.5,78.3,5,1
Baylor,B12,119.0,86.5,69.8,15.8,17.5,58.4,45.6,17.2,26.9,38.2,28.9,42.3,30.0,1.94,76.7,5,1
Iowa,B10,125.1,96.2,71.2,15.5,17.1,57.4,48.2,13.4,18.2,33.7,30.5,39.5,34.2,1.67,77.8,5,1
Villanova,BE,119.9,93.2,63.7,18.3,17.5,56.0,52.8,11.6,19.0,27.3,21.4,37.5,36.2,1.87,77.9,5,1
Michigan,B10,116.2,90.5,68.1,16.7,17.6,57.8,43.8,18.6,15.0,30.6,24.1,36.4,33.7,2.06,77.9,4,0
Tennessee,SEC,112.4,87.2,65.9,17.2,17.8,52.0,44.8,14.6,25.4,32.5,24.5,34.7,30.3,1.61,77.5,4,1
Virginia,ACC,115.3,90.3,59.5,19.7,19.2,58.6,47.6,13.3,16.4,23.9,22.1,38.5,33.1,1.86,77.8,5,1
Texas,B12,114.3,89.5,69.8,16.3,18.0,52.8,43.3,18.8,17.3,32.0,27.4,35.2,28.7,1.91,77.9,4,1
Houston,Amer,113.3,88.7,65.8,19.3,16.5,47.5,41.7,17.8,24.0,40.6,27.5,32.4,25.6,1.78,77.1,4,1
Wisconsin,B10,113.5,89.3,64.9,18.2,17.9,51.6,45.1,12.4,18.0,23.7,24.1,39.1,32.8,2.34,78.1,3,1
Illinois,B10,116.7,92.7,71.0,16.5,16.7,57.7,46.9,18.4,15.9,33.9,21.0,40.5,33.2,1.63,77.0,3,0
Creighton,BE,115.8,92.9,70.2,15.9,17.6,57.8,45.7,15.8,17.9,24.3,28.5,38.0,33.7,2.2,77.0,4,0
Colorado,P12,113.4,90.6,68.1,16.8,18.4,51.9,46.5,16.3,20.7,31.5,24.1,36.7,30.9,2.3,77.3,4,1
Texas Tech,B12,111.4,88.6,67.1,17.8,17.6,49.1,45.4,16.7,26.1,35.1,28.9,32.6,32.1,1.41,76.9,3,0
Kansas,B12,112.8,90.4,68.6,16.3,17.5,49.9,47.7,18.2,18.2,35.1,25.7,34.6,33.0,1.43,78.2,3,0
Ohio St.,B10,117.8,95.7,66.5,18.2,17.3,51.9,47.6,15.0,16.1,32.7,26.7,34.1,33.8,1.98,77.4,4,1
Alabama,SEC,113.1,91.2,74.3,14.2,17.5,50.7,45.9,17.8,21.5,32.4,29.8,34.1,30.6,1.91,77.9,5,1
West Virginia,B12,113.3,91.8,68.6,17.4,16.5,46.8,48.2,16.7,20.0,38.3,30.8,34.3,29.1,1.83,77.5,2,0
USC,P12,112.4,91.4,69.0,17.0,17.6,52.7,43.2,17.8,17.8,35.8,28.5,33.5,31.8,1.75,79.7,5,1
Oregon,P12,113.1,92.6,69.7,16.3,17.1,53.7,47.6,17.6,21.5,29.1,23.2,35.5,29.4,2.32,77.5,4,1
