teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Baylor,B12,122.5,87.2,68.9,16.2,17.4,59.1,47.0,17.4,25.9,37.9,29.8,43.9,31.8,1.96,76.6,5,1
Gonzaga,WCC,123.9,89.1,74.7,14.1,17.6,60.7,46.8,15.8,20.1,32.1,23.5,34.9,34.0,1.5,78.2,5,1
Michigan,B10,116.7,88.6,67.9,16.8,17.7,57.6,43.0,18.4,15.5,30.4,25.1,37.7,32.2,2.08,77.9,4,1
Iowa,B10,125.9,99.7,70.3,15.8,17.3,55.8,49.6,13.0,17.2,33.7,31.1,38.5,36.1,1.73,78.0,2,0
Illinois,B10,116.7,90.6,70.1,16.6,16.9,56.6,46.5,18.3,16.3,33.0,23.2,39.7,34.4,1.63,77.0,3,1
Houston,Amer,114.0,88.0,65.7,19.1,16.6,48.5,41.8,17.9,22.2,40.3,27.1,34.1,26.4,1.78,77.0,4,0
Alabama,SEC,113.0,87.6,74.3,14.3,17.5,52.0,44.8,18.6,20.9,30.3,29.0,35.5,30.3,1.88,77.8,4,1
Ohio St.,B10,120.6,95.7,66.9,18.2,17.1,52.7,47.9,15.2,15.5,30.7,26.2,35.0,33.4,1.98,77.5,4,1
Virginia,ACC,115.6,90.8,59.8,19.9,18.9,57.5,48.2,14.3,16.6,22.5,21.1,39.1,34.2,1.86,77.7,4,1
Villanova,BE,118.2,93.5,64.8,18.2,17.2,53.5,52.4,13.2,19.5,28.2,23.0,36.6,36.9,1.89,77.9,4,0
Wisconsin,B10,112.7,88.9,64.9,18.5,17.8,51.4,46.0,13.8,17.2,24.1,23.0,37.6,31.9,2.39,78.0,3,1
Loyola Chicago,MVC,111.1,88.2,65.1,17.9,18.2,57.5,45.5,17.9,22.2,24.4,22.4,36.1,30.3,2.22,76.2,5,1
Texas,B12,114.1,91.3,69.3,16.2,18.1,53.2,45.3,19.1,17.0,31.8,27.1,35.0,30.2,1.9,78.0,2,0
Texas Tech,B12,112.2,89.4,66.2,17.9,17.7,48.8,46.7,16.1,24.7,35.4,28.5,33.1,33.9,1.42,76.9,3,1
Tennessee,SEC,108.2,86.0,65.9,17.6,17.7,50.2,45.1,17.1,23.9,31.2,27.1,34.5,30.2,1.59,77.5,2,0
Florida St.,ACC,114.7,93.2,69.7,16.8,17.4,54.2,46.9,20.2,20.2,35.8,29.3,37.9,33.2,1.99,79.6,4,0
USC,P12,112.7,91.5,67.8,17.2,18.0,52.0,44.3,18.0,17.6,36.8,27.7,33.3,32.7,1.73,79.6,4,1
Colorado,P12,115.0,93.9,66.9,17.0,18.6,52.3,48.1,16.1,20.5,30.6,24.7,37.0,33.7,2.31,77.3,3,0
Creighton,BE,115.9,95.1,69.7,15.8,17.9,56.7,46.7,15.7,17.9,24.1,30.1,37.0,33.6,2.22,77.0,3,0
Oklahoma,B12,112.2,91.6,68.0,17.2,17.4,50.4,48.2,15.2,19.9,29.1,27.1,33.8,35.8,2.07,77.0,4,0
West Virginia,B12,114.1,93.8,68.9,17.3,16.6,48.2,48.9,16.9,20.1,36.5,30.5,35.9,31.0,1.87,77.2,3,1
Kansas,B12,111.3,91.2,68.1,16.3,18.0,49.9,48.7,17.7,19.6,31.4,26.3,34.2,34.8,1.47,78.2,2,1
Purdue,B10,111.5,91.4,66.3,18.7,17.3,51.2,49.0,19.6,16.9,33.1,23.4,34.7,32.2,1.06,78.3,3,0
San Diego St.,MWC,111.2,91.3,66.2,16.7,18.6,54.8,48.8,18.7,23.2,30.6,24.0,39.8,33.7,2.43,76.6,4,1
Rutgers,B10,109.9,90.4,68.1,16.9,17.6,51.9,47.8,16.1,19.7,29.4,28.6,34.2,31.9,2.01,77.9,4,1
Arkansas,SEC,110.0,90.9,72.9,15.8,15.9,51.1,47.2,17.5,20.8,34.0,24.9,33.7,30.3,1.56,78.0,4,1
Indiana,B10,110.9,91.9,66.1,17.9,17.4,51.2,48.1,17.1,17.9,23.8,26.4,35.3,33.5,1.35,77.3,2,0
Florida,SEC,113.3,94.5,69.9,16.1,17.2,53.6,47.9,19.4,21.0,31.7,32.1,37.5,33.1,1.51,77.3,4,0
Connecticut,BE,110.6,92.1,64.1,19.2,17.3,49.0,46.8,18.9,21.0,38.2,29.0,36.0,30.7,1.98,77.8,3,1
Duke,ACC,112.6,94.3,69.3,16.6,17.1,51.2,51.8,18.9,20.0,32.6,24.8,32.7,36.7,0.88,77.0,2,0
