teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Gonzaga,WCC,126.9,88.6,74.4,14.2,17.6,61.2,47.1,16.0,20.6,31.1,23.6,36.3,33.1,1.51,78.2,5,1
Baylor,B12,123.5,88.5,68.4,16.2,17.4,59.1,47.0,17.4,25.9,37.9,29.8,43.9,31.8,1.96,76.6,5,1
Iowa,B10,128.4,98.0,69.4,16.0,17.6,55.7,48.2,13.2,16.4,32.9,30.9,40.4,34.8,1.7,78.0,3,1
Michigan,B10,119.1,89.3,67.3,17.1,17.8,56.6,43.1,17.8,14.9,30.5,24.6,38.0,32.0,2.13,77.9,4,1
Ohio St.,B10,124.1,96.2,66.9,18.1,17.3,53.4,48.1,15.3,15.8,30.4,26.3,36.2,33.7,1.99,77.5,5,1
Illinois,B10,117.9,90.6,69.8,16.8,17.0,56.7,46.2,18.7,16.3,32.4,22.8,38.9,32.8,1.63,77.0,5,1
Alabama,SEC,113.6,87.3,74.1,14.1,17.4,52.3,45.1,19.1,20.8,30.5,29.1,36.6,28.5,1.87,77.8,3,1
Houston,Amer,116.2,89.9,65.2,19.0,17.0,49.1,42.6,17.5,22.3,40.2,28.2,34.0,28.0,1.81,77.1,3,0
Loyola Chicago,MVC,111.6,86.9,64.1,18.2,18.8,56.8,46.0,18.3,21.4,25.8,21.6,35.8,30.4,2.25,76.3,4,1
Virginia,ACC,116.5,91.9,59.6,20.1,18.8,57.4,47.8,15.4,15.7,21.5,22.2,39.8,33.5,1.9,77.8,4,0
Villanova,BE,122.1,97.9,64.2,18.5,17.2,54.6,53.8,13.5,19.7,29.1,25.1,38.2,37.8,1.9,77.9,3,0
USC,P12,114.4,90.2,67.2,17.2,18.0,52.5,44.0,18.1,17.5,36.6,27.3,34.6,31.1,1.72,79.5,5,1
Florida St.,ACC,117.9,94.4,69.3,16.9,17.6,54.8,48.1,19.3,20.1,35.6,28.3,39.8,34.7,1.99,79.6,4,1
Creighton,BE,117.1,94.6,69.1,15.9,18.0,56.8,46.5,16.0,18.3,24.3,29.5,36.8,33.0,2.24,77.0,4,1
Wisconsin,B10,112.3,89.8,64.7,18.6,17.6,49.6,47.0,13.6,17.6,23.7,24.0,35.9,33.6,2.38,78.0,2,0
Tennessee,SEC,110.3,88.0,66.9,17.3,17.2,50.9,45.9,17.4,23.1,31.1,27.3,34.8,30.6,1.54,77.5,3,1
Colorado,P12,115.2,93.4,66.5,17.3,18.5,52.3,47.6,16.6,20.1,30.0,25.0,36.7,32.7,2.29,77.4,3,0
West Virginia,B12,117.6,96.0,68.9,17.4,16.6,48.9,49.2,16.5,19.8,36.2,30.6,36.9,31.3,1.84,77.2,3,0
Texas,B12,114.0,92.5,68.5,16.2,18.2,51.9,45.5,19.1,17.8,31.8,26.9,33.9,31.3,1.91,77.9,2,1
Texas Tech,B12,112.9,91.5,66.0,17.8,17.7,49.1,47.5,16.1,24.7,34.6,28.7,33.9,35.0,1.43,76.9,3,0
Purdue,B10,113.6,92.5,65.9,18.6,17.3,50.8,49.4,18.9,17.4,32.6,24.4,33.6,32.6,1.04,78.4,3,1
Arkansas,SEC,112.7,91.8,72.0,15.9,16.0,51.1,47.5,17.1,20.6,32.7,25.8,33.8,31.7,1.55,78.0,4,1
San Diego St.,MWC,111.8,91.0,65.9,16.6,18.6,53.2,47.3,17.3,22.9,31.4,23.1,38.0,33.9,2.42,76.6,5,1
Kansas,B12,110.9,90.2,68.4,16.2,17.8,49.9,47.4,18.0,20.3,31.9,26.5,34.4,33.3,1.48,78.3,4,1
Rutgers,B10,111.1,90.6,67.1,17.1,17.8,50.9,47.8,15.7,19.2,29.0,29.0,32.3,33.1,2.01,77.9,3,0
Oklahoma,B12,113.4,92.9,67.4,17.1,17.4,50.9,48.2,15.3,18.7,28.5,27.2,33.7,36.6,2.08,76.9,4,1
BYU,WCC,112.4,92.3,67.6,16.9,16.8,54.6,46.3,19.5,16.3,29.5,23.4,35.7,32.3,2.02,78.0,3,1
Indiana,B10,112.3,92.7,65.7,18.1,17.4,50.5,48.2,17.5,17.4,26.0,26.4,35.3,33.5,1.36,77.2,3,1
LSU,SEC,120.4,100.9,70.1,16.2,16.9,53.7,49.2,16.9,19.9,30.6,32.4,34.4,30.4,1.06,77.6,3,1
Duke,ACC,116.4,97.4,68.5,17.1,17.1,53.4,52.6,18.6,19.7,33.0,26.3,35.7,37.6,0.86,77.1,2,1
Florida,SEC,113.7,94.8,68.9,16.1,17.2,52.8,47.9,19.6,20.8,31.8,32.3,36.2,32.8,1.55,77.3,3,0
Maryland,B10,111.6,93.4,65.2,18.2,18.3,52.5,49.1,16.6,16.6,21.8,24.2,34.8,34.9,1.87,78.3,3,1
Louisville,ACC,111.0,92.9,65.7,17.7,18.4,50.2,46.8,18.1,17.6,31.2,25.5,31.9,30.9,0.98,77.5,2,1
Seton Hall,BE,113.8,95.8,66.8,17.1,18.1,51.5,49.3,18.8,18.8,28.9,29.3,33.3,36.1,2.37,79.2,4,1
Saint Louis,A10,112.1,94.2,68.3,16.4,18.0,53.8,46.2,16.6,21.3,35.2,23.5,35.7,32.6,1.84,76.2,4,1
Connecticut,BE,112.5,94.7,64.9,19.0,17.4,49.3,47.3,18.5,19.7,36.9,29.8,35.5,33.0,1.88,77.8,3,1
Virginia Tech,ACC,111.6,93.8,66.0,18.1,18.0,52.0,48.2,17.2,17.4,28.6,23.4,34.3,32.5,1.58,76.3,3,1
Oregon,P12,111.6,93.8,68.0,16.9,17.3,52.7,47.5,17.8,20.8,29.5,26.0,35.2,31.6,2.25,77.5,4,1
Penn St.,B10,113.6,96.0,68.7,16.7,18.1,48.3,52.8,16.5,20.4,32.7,27.5,34.4,32.7,2.22,76.1,1,0
Minnesota,B10,113.2,96.0,69.4,16.6,17.1,46.3,48.9,15.0,18.9,29.8,32.5,29.1,33.6,1.86,78.0,2,0
UCLA,P12,113.4,96.5,64.1,18.4,18.1,51.0,49.6,16.2,18.8,31.1,24.8,35.8,33.8,1.46,77.3,3,1
North Carolina,ACC,109.7,92.7,70.5,15.8,17.9,47.7,50.0,20.3,18.7,39.5,23.9,31.0,36.5,1.1,78.9,3,1
VCU,A10,106.8,90.0,69.5,15.9,17.7,51.3,45.4,21.0,24.3,30.3,30.7,33.7,29.9,1.26,77.3,5,1
Oklahoma St.,B12,108.2,91.6,71.0,15.7,17.4,51.0,45.9,20.9,19.8,31.4,29.9,34.0,31.1,1.11,77.5,3,1
Clemson,ACC,107.2,90.9,65.2,17.8,18.1,49.1,48.9,19.7,22.3,27.4,27.5,32.3,33.8,1.77,76.9,4,1
Arizona,P12,114.0,97.9,67.7,16.6,18.3,50.8,49.3,17.6,18.3,34.4,23.7,37.5,34.0,1.24,78.7,1,0
Memphis,Amer,104.7,88.5,71.2,16.0,17.1,50.6,44.4,22.0,23.1,33.6,25.2,35.7,27.3,1.12,77.8,4,1
Drake,MVC,112.5,96.4,66.8,17.7,17.8,54.1,46.7,15.8,19.9,33.0,24.6,35.9,29.2,2.04,76.1,3,1
Mississippi,SEC,107.2,91.2,65.5,17.8,17.0,49.4,49.1,20.4,24.5,33.8,27.1,28.6,37.1,1.98,77.1,4,1
Missouri,SEC,111.7,95.9,68.6,16.7,17.0,51.1,47.9,19.0,17.8,28.9,28.9,31.0,32.4,2.47,77.6,2,0
St. Bonaventure,A10,111.5,95.6,65.7,18.1,17.9,49.5,45.7,17.9,19.2,33.8,31.1,32.1,30.4,1.93,77.3,3,0
Utah St.,MWC,106.6,90.9,69.3,16.7,17.5,50.7,45.7,20.0,20.7,34.9,20.9,34.4,33.3,1.5,78.2,2,0
Wright St.,Horz,110.4,94.9,70.3,16.3,17.0,54.9,44.2,18.0,16.9,34.7,25.1,37.5,29.2,1.35,77.4,5,1
SMU,Amer,111.4,96.0,68.5,16.1,17.7,52.0,46.0,19.7,19.9,29.9,28.8,34.0,33.5,2.19,77.3,3,1
Notre Dame,ACC,116.5,101.1,66.7,17.7,18.3,55.1,50.0,15.5,12.6,20.5,28.1,38.1,35.8,2.21,78.7,4,1
Georgia Tech,ACC,112.1,96.7,67.4,17.6,17.4,53.1,52.6,16.0,22.2,22.6,29.4,35.4,37.5,2.56,76.2,2,1
Syracuse,ACC,112.5,97.4,69.4,15.7,17.6,50.4,47.7,16.4,21.4,28.9,31.8,32.5,30.8,1.56,78.0,3,1
Stanford,P12,106.8,91.7,69.8,16.6,17.2,52.1,47.2,20.9,20.7,26.2,27.6,31.1,32.9,1.35,78.8,4,1
Auburn,SEC,113.0,98.0,71.6,16.2,16.3,52.4,49.2,22.0,19.1,34.6,30.9,33.7,32.0,0.75,78.7,1,0
Boise St.,MWC,110.5,95.5,68.8,16.3,17.7,52.8,48.2,15.9,20.6,28.6,22.1,35.2,31.6,2.07,78.3,3,1
Xavier,BE,112.1,97.2,68.8,16.3,17.4,53.7,46.8,16.4,16.5,27.1,27.3,35.5,33.4,1.91,77.2,3,0
Richmond,A10,112.8,98.2,68.5,16.4,17.8,53.3,53.0,14.7,22.4,20.6,28.5,33.8,32.6,2.47,76.2,3,0
Kentucky,SEC,107.3,92.9,67.8,17.1,17.1,46.7,46.4,20.7,17.1,33.7,30.8,32.6,30.8,0.96,78.9,2,1
St. John's,BE,112.8,99.4,73.0,14.9,17.3,51.6,52.7,16.8,22.1,29.0,30.5,35.9,34.4,1.49,77.0,4,1
Toledo,MAC,116.1,102.6,68.3,17.0,17.0,54.1,48.9,16.3,17.5,30.7,30.4,37.9,30.2,1.79,76.8,3,1
Davidson,A10,113.7,100.7,63.2,19.1,18.2,55.9,49.4,17.5,15.2,29.3,18.8,35.8,32.4,1.76,78.4,4,1
Colorado St.,MWC,107.9,95.1,69.8,16.4,17.3,56.5,47.7,20.6,19.8,21.2,25.3,38.3,29.3,1.2,75.8,4,1
Northwestern,B10,107.5,94.8,69.0,16.2,18.0,50.9,50.7,16.1,17.2,19.2,26.3,34.4,33.7,1.53,77.9,0,0
Michigan St.,B10,107.1,94.5,68.7,16.8,17.2,48.2,48.1,19.5,15.3,30.8,25.9,32.9,32.1,1.7,77.9,2,0
Marshall,CUSA,111.8,99.3,72.3,14.5,17.6,55.4,48.9,16.1,19.8,24.7,29.4,35.5,34.7,1.96,77.2,4,1
Wichita St.,Amer,111.0,99.2,67.5,17.4,17.8,46.5,46.9,16.1,17.5,31.0,34.4,33.1,30.3,1.88,76.5,5,1
Providence,BE,109.0,97.3,65.9,18.2,17.4,48.3,49.0,17.1,17.1,30.4,30.2,32.4,30.9,1.86,78.1,2,0
Belmont,OVC,112.5,101.1,70.4,15.8,17.5,58.5,48.9,16.3,21.0,24.5,27.1,36.0,34.9,1.38,77.0,5,1
North Texas,CUSA,106.1,94.7,63.9,18.5,17.2,55.4,45.6,20.8,21.4,27.2,26.2,36.5,30.1,2.33,77.0,4,1
Pittsburgh,ACC,109.2,97.9,68.7,17.1,17.4,49.1,49.8,18.2,18.5,34.4,26.7,32.8,31.7,1.27,77.6,1,0
Saint Mary's,WCC,104.9,93.6,62.6,20.1,16.1,49.4,47.9,17.3,18.3,26.8,21.2,31.6,35.8,1.54,77.7,2,0
Rhode Island,A10,105.0,93.8,69.0,16.9,17.0,49.0,46.3,20.4,17.6,29.6,26.2,31.5,31.2,1.91,76.4,1,1
Utah,P12,109.5,98.5,67.2,17.8,17.6,51.1,50.2,18.3,20.5,25.0,29.9,32.8,35.1,1.37,77.7,3,0
N.C. State,ACC,109.5,98.7,68.0,16.9,17.8,53.0,52.4,19.5,22.8,30.1,31.5,35.7,36.0,1.7,77.0,2,1
Western Kentucky,CUSA,108.8,98.1,67.9,17.5,16.2,51.5,49.9,20.4,19.5,31.7,23.3,35.0,36.4,2.17,76.3,5,1
Mississippi St.,SEC,106.9,96.2,65.7,18.1,17.4,50.3,48.0,21.5,18.5,35.7,26.3,36.3,33.5,1.22,78.9,2,0
UC Santa Barbara,BW,107.6,97.0,66.0,17.4,18.1,53.5,46.2,16.1,21.7,26.7,24.7,35.8,32.2,2.32,77.3,5,1
Marquette,BE,108.7,98.1,67.0,18.3,17.0,50.7,47.9,20.8,15.6,30.5,27.9,33.3,36.1,1.76,78.0,2,1
Dayton,A10,108.7,98.8,65.1,18.9,17.4,55.0,48.2,21.2,17.6,22.6,28.4,35.9,31.1,1.94,77.9,2,0
Buffalo,MAC,108.1,98.4,73.6,14.5,17.3,51.5,45.6,17.7,18.8,35.0,27.7,34.1,26.9,2.26,77.0,4,1
Georgia,SEC,110.3,100.6,72.7,15.6,16.5,51.4,52.4,22.1,21.9,34.8,33.1,32.0,34.0,1.85,75.8,3,1
Missouri St.,MVC,107.8,98.2,68.7,17.5,17.3,54.0,47.1,18.3,15.1,23.3,22.1,33.8,32.6,1.66,77.5,5,1
South Carolina,SEC,107.0,97.4,74.2,15.5,16.6,48.0,51.7,21.2,22.8,35.1,32.3,31.9,35.0,1.66,77.5,1,0
Louisiana Tech,CUSA,103.5,94.2,69.2,16.7,17.0,49.9,46.1,18.2,18.9,26.5,23.7,33.2,29.9,2.11,76.2,4,1
Kent St.,MAC,108.5,99.6,71.1,17.4,16.4,51.8,48.5,18.9,17.5,34.9,29.5,35.0,34.5,2.16,77.4,4,1
Abilene Christian,Slnd,102.0,93.1,69.1,16.8,16.6,51.9,44.2,19.0,28.6,29.8,29.8,35.3,29.1,2.26,75.1,5,1
UAB,CUSA,104.8,96.0,66.8,17.3,17.9,49.9,45.0,15.0,23.4,28.5,25.5,30.6,29.3,2.28,76.8,3,0
Furman,SC,110.1,101.3,68.3,16.3,17.2,56.4,51.2,18.5,21.9,28.5,29.0,34.9,34.5,1.91,76.6,3,1
Cincinnati,Amer,104.9,96.3,70.1,16.8,17.0,48.3,48.8,20.9,19.1,29.4,24.7,28.6,31.6,1.6,77.4,4,1
Nevada,MWC,106.9,98.3,69.7,16.7,17.5,51.0,47.7,18.2,18.1,24.4,23.1,33.9,33.1,1.03,78.2,4,1
UCF,Amer,106.4,98.0,66.4,17.9,17.5,49.2,49.5,21.9,19.9,29.8,33.0,35.6,32.2,1.55,77.7,3,1
Akron,MAC,108.8,100.4,68.5,17.2,17.4,53.9,47.9,18.2,16.9,29.4,26.5,35.0,30.7,1.93,75.6,4,1
Georgetown,BE,106.2,97.8,69.6,16.4,16.9,49.7,48.9,22.2,15.2,32.1,25.2,35.8,34.4,2.15,78.1,3,1
Arizona St.,P12,108.8,100.4,72.5,16.0,17.1,49.4,52.3,15.2,21.6,21.3,31.3,32.7,36.2,1.85,76.5,3,0
Colgate,Pat,109.9,101.5,71.9,15.6,17.1,56.7,44.7,13.6,17.1,26.5,25.5,38.7,27.2,1.84,76.4,5,1
San Francisco,WCC,106.4,98.2,68.2,17.6,16.5,51.4,49.0,17.7,20.2,25.0,24.4,34.5,32.0,2.01,77.8,1,0
Washington St.,P12,102.4,94.2,68.3,17.8,16.8,48.7,45.9,21.2,18.3,30.1,26.5,34.8,31.4,1.08,78.7,2,1
Liberty,ASun,107.9,100.6,62.7,19.2,17.9,56.1,47.1,15.8,17.4,23.3,23.0,36.5,32.3,1.75,75.8,5,1
Winthrop,BSth,105.5,98.2,73.5,14.7,18.0,52.7,50.3,19.5,22.7,35.8,21.0,35.2,33.0,1.97,76.7,4,1
Ohio,MAC,111.0,104.0,68.8,16.9,16.7,55.5,52.2,17.0,20.7,28.1,26.9,35.2,35.5,1.45,77.0,4,1
Massachusetts,A10,106.3,99.5,72.2,16.5,16.1,48.4,51.0,16.2,21.3,25.6,23.5,32.4,33.0,1.05,76.9,4,1
Tulsa,Amer,103.0,96.1,65.2,17.7,18.2,48.8,48.0,20.2,22.7,26.5,32.9,28.3,34.6,2.29,77.2,2,1
Yale,Ivy,108.6,101.7,67.8,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0,0
Oregon St.,P12,106.9,100.1,65.5,18.6,17.2,47.0,49.3,16.9,17.9,29.2,29.2,34.2,30.5,2.01,78.3,2,1
TCU,B12,108.5,101.7,66.8,18.4,16.7,51.0,50.2,20.3,16.7,29.7,28.0,35.1,32.1,1.16,77.7,2,0
Duquesne,A10,102.9,96.2,67.7,17.7,17.8,47.5,45.2,18.9,19.3,30.2,29.4,29.3,26.8,1.71,76.2,4,1
Vermont,AE,107.6,100.9,66.3,17.9,17.8,54.7,45.7,18.3,19.0,27.8,23.5,36.0,30.0,2.46,76.4,5,1
Pepperdine,WCC,106.0,99.4,71.0,15.6,17.5,49.5,50.2,17.6,18.0,22.9,26.2,31.9,28.1,1.94,76.8,4,1
Loyola Marymount,WCC,105.7,99.1,67.0,18.0,17.0,51.4,48.9,23.4,17.7,32.1,20.5,34.1,33.0,1.84,78.4,4,1
Vanderbilt,SEC,108.9,102.6,68.8,17.8,16.2,51.1,53.0,19.9,19.7,31.0,27.0,34.4,35.0,1.44,77.1,2,0
UC Irvine,BW,102.8,96.5,66.6,18.3,17.4,46.7,46.9,19.9,19.0,32.9,24.7,33.2,34.5,0.99,77.5,2,1
Nebraska,B10,101.1,95.1,71.2,15.2,18.0,46.2,49.4,18.9,18.7,24.4,28.4,31.8,31.8,1.93,78.3,1,0
UNC Greensboro,SC,102.5,96.6,68.3,16.6,16.9,47.7,47.9,16.5,21.3,33.0,26.6,28.8,31.5,1.72,77.2,3,0
Eastern Washington,BSky,109.8,103.9,72.7,15.4,17.7,54.8,48.9,16.9,16.6,23.9,26.5,37.2,34.2,1.63,77.2,5,1
Indiana St.,MVC,105.7,99.9,67.5,17.6,17.6,50.3,52.3,19.2,21.9,26.0,28.5,35.5,33.3,1.78,76.7,4,1
UC Riverside,BW,102.6,97.0,66.7,19.3,16.6,53.6,43.1,18.6,16.5,27.0,24.7,39.2,30.9,1.99,78.7,3,0
South Dakota St.,Sum,109.0,103.5,71.5,15.7,16.9,54.9,49.2,16.5,14.7,23.2,22.3,40.7,33.2,1.57,77.3,3,1
Boston College,ACC,105.8,100.3,70.8,16.5,16.7,49.8,54.1,18.8,19.1,24.1,28.3,32.7,33.9,1.8,76.8,1,0
Wake Forest,ACC,106.0,100.5,67.1,18.7,16.6,51.1,53.1,20.0,18.3,27.3,25.5,36.1,37.0,1.7,77.5,2,0
Butler,BE,102.5,97.5,64.7,19.2,17.5,47.6,53.2,17.1,19.6,25.1,23.7,33.7,36.7,1.77,76.5,2,0
Grand Canyon,WAC,105.4,100.5,64.1,18.3,17.3,54.5,45.9,20.8,17.2,31.9,21.8,31.0,31.3,2.13,77.4,5,1
DePaul,BE,99.3,94.5,70.0,16.0,18.0,45.6,47.6,22.2,20.6,33.4,30.1,31.4,30.1,1.87,76.9,0,0
Miami FL,ACC,102.2,97.4,67.8,18.2,16.5,47.4,50.9,18.9,18.4,27.4,26.1,29.0,36.2,1.58,78.6,1,0
Texas A&M,SEC,101.6,96.9,63.8,17.8,18.4,47.9,52.3,23.4,23.5,32.0,29.8,30.2,33.3,1.57,77.4,2,1
Bowling Green,MAC,107.7,103.0,70.3,16.1,16.8,48.2,52.0,14.0,19.5,29.5,29.7,32.3,34.2,1.81,76.3,2,1
East Tennessee St.,SC,102.9,98.2,65.2,17.9,17.6,50.4,50.6,20.2,20.9,30.6,26.4,35.1,34.2,1.95,77.2,1,0
South Florida,Amer,102.8,98.4,66.7,18.0,17.1,46.0,50.1,21.6,18.7,34.9,25.5,32.9,30.2,1.89,78.3,1,0
Pacific,WCC,104.0,100.0,65.8,18.8,16.9,46.4,53.3,16.6,19.2,28.1,25.1,29.2,37.5,2.27,77.0,1,0
East Carolina,Amer,101.6,98.4,68.1,17.5,17.2,46.0,48.0,19.3,21.1,27.6,28.2,30.5,31.2,2.0,77.7,1,0
Morehead St.,OVC,99.9,96.8,65.4,18.3,17.0,51.1,47.8,23.5,18.9,31.7,24.8,33.3,30.3,1.69,77.3,4,0
Wofford,SC,105.9,102.8,66.3,18.0,17.2,54.3,52.3,19.7,18.8,26.6,28.2,35.6,34.8,1.45,75.5,2,1
Temple,Amer,102.4,99.3,68.5,17.4,17.7,45.7,48.5,19.9,16.2,26.2,26.6,31.8,34.2,1.57,77.6,0,0
Cal St. Bakersfield,BW,103.8,100.9,64.4,19.1,17.2,46.6,49.3,19.2,20.6,39.0,24.8,32.8,33.8,2.7,77.0,4,1
Murray St.,OVC,104.5,101.8,66.3,17.4,17.9,54.9,49.1,19.7,20.0,27.4,25.3,36.0,31.0,1.48,76.8,4,0
George Mason,A10,101.6,99.0,67.8,16.9,17.7,48.9,49.9,18.4,19.4,29.5,24.3,32.9,35.3,1.61,76.1,3,1
Weber St.,BSky,107.9,105.4,71.8,15.9,17.4,57.5,49.3,17.6,18.9,23.4,26.3,38.7,35.8,2.07,77.5,4,1
Tulane,Amer,98.8,96.4,66.0,17.7,18.2,43.5,47.8,17.0,22.8,24.8,29.7,29.4,33.8,1.05,76.4,2,1
Bradley,MVC,103.0,100.8,65.9,17.0,18.9,49.7,50.5,19.3,18.6,28.1,26.8,31.5,38.3,1.53,77.3,1,0
Mercer,SC,108.4,106.2,68.6,17.0,17.0,55.3,51.0,18.6,17.2,26.8,27.6,37.4,32.7,1.92,77.2,3,1
Siena,MAAC,102.8,100.6,65.6,19.2,17.2,51.5,45.6,18.0,17.5,26.4,25.7,36.3,33.7,1.83,76.4,3,1
Princeton,Ivy,105.5,103.6,66.5,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0,0
UNLV,MWC,106.4,104.6,66.0,18.2,17.4,50.7,53.0,19.4,18.5,27.2,26.0,35.1,39.4,1.48,77.5,2,0
Georgia St.,SB,105.1,103.3,69.9,15.6,18.1,50.3,48.7,17.5,19.7,31.1,34.8,31.1,33.2,1.68,76.4,2,1
California,P12,105.3,103.7,64.9,18.8,17.2,50.1,53.9,19.4,17.7,23.6,25.7,33.5,39.7,1.99,77.4,1,0
Old Dominion,CUSA,102.2,100.9,67.3,17.8,17.2,48.0,52.3,18.5,19.4,29.6,25.2,27.9,36.5,2.28,76.9,4,1
Chattanooga,SC,104.6,103.3,66.6,18.1,16.7,51.0,52.0,15.5,19.1,22.0,25.2,35.7,34.5,2.01,77.1,5,1
VMI,SC,109.1,107.8,70.1,16.6,16.8,54.5,50.2,17.8,14.0,23.3,26.5,38.8,33.5,1.59,76.4,3,1
Cleveland St.,Horz,100.5,99.2,66.5,17.6,17.3,50.7,48.0,19.9,20.5,30.5,32.5,32.5,30.0,2.06,77.0,4,1
North Dakota St.,Sum,101.4,100.3,63.6,19.3,16.7,49.5,48.2,19.5,13.7,28.0,20.4,32.4,32.4,1.46,78.1,3,0
New Mexico St.,WAC,104.6,103.5,66.0,19.7,16.9,48.6,52.3,17.7,14.9,34.3,23.9,30.3,35.3,2.44,76.3,2,1
Iowa St.,B12,102.0,101.1,69.8,17.0,16.7,48.4,51.5,21.5,18.6,23.3,35.5,32.6,32.5,1.84,76.3,0,0
