teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Gonzaga,WCC,123.9,88.5,74.7,14.2,17.5,60.5,47.2,15.8,20.3,31.5,23.3,34.9,34.3,1.51,78.2,5,1
Baylor,B12,122.7,87.4,68.7,16.2,17.4,59.1,47.0,17.4,25.9,37.9,29.8,43.9,31.8,1.96,76.6,5,1
Michigan,B10,117.4,89.1,67.6,16.8,17.7,57.6,43.0,18.4,15.5,30.4,25.1,37.7,32.2,2.08,77.9,4,1
Illinois,B10,117.4,90.0,70.3,16.6,16.9,56.6,46.4,18.7,16.2,33.3,22.2,39.3,33.2,1.64,77.0,4,1
Iowa,B10,125.6,99.3,70.1,15.8,17.4,55.3,49.1,13.1,17.0,32.9,31.2,38.5,35.6,1.66,77.9,1,0
Houston,Amer,114.3,88.2,65.6,19.1,16.6,48.5,41.8,17.9,22.2,40.3,27.1,34.1,26.4,1.78,77.0,4,1
Ohio St.,B10,121.0,95.3,67.0,18.1,17.2,52.8,47.8,15.2,15.6,29.9,25.9,35.2,33.1,1.99,77.5,5,1
Alabama,SEC,112.2,86.8,74.0,14.2,17.5,51.4,45.0,18.5,20.9,30.0,28.7,35.5,29.6,1.87,77.8,3,0
Virginia,ACC,116.6,91.8,59.8,19.9,18.9,58.0,48.1,14.6,16.4,22.2,22.3,39.8,33.9,1.87,77.8,4,1
Villanova,BE,119.3,94.7,64.6,18.4,17.2,54.0,52.8,13.6,19.7,28.8,24.6,37.5,36.8,1.89,77.9,4,1
Wisconsin,B10,112.7,89.5,65.0,18.4,17.8,51.0,46.6,13.8,17.6,23.0,23.7,36.5,31.9,2.38,78.0,2,0
Tennessee,SEC,109.3,86.1,66.6,17.5,17.6,50.2,44.8,17.0,23.5,31.0,27.0,34.0,29.9,1.58,77.5,3,1
USC,P12,112.8,90.0,67.7,17.3,18.1,51.8,43.8,18.0,17.5,37.0,28.0,33.4,31.9,1.72,79.5,4,1
Colorado,P12,116.5,93.8,67.0,17.1,18.6,53.3,47.9,16.2,20.6,29.9,25.6,37.9,33.7,2.27,77.4,4,1
Loyola Chicago,MVC,111.3,88.7,65.6,17.8,18.6,57.8,46.3,17.8,22.3,24.2,21.8,35.8,31.5,2.23,76.2,5,1
Texas Tech,B12,112.4,89.9,66.1,17.9,17.7,49.1,47.1,16.0,24.9,34.7,28.4,34.1,34.5,1.43,76.9,3,1
Texas,B12,112.7,90.4,69.1,16.2,18.0,51.1,44.8,19.4,17.6,32.3,27.4,33.2,30.6,1.89,77.9,1,0
Florida St.,ACC,115.0,93.0,69.5,16.8,17.4,54.2,46.9,20.2,20.2,35.8,29.3,37.9,33.2,1.99,79.6,4,0
West Virginia,B12,115.5,94.6,69.1,17.3,16.5,48.8,49.0,16.9,20.4,36.5,31.1,36.9,31.2,1.87,77.2,4,1
Creighton,BE,115.7,95.0,69.4,15.9,18.0,56.5,47.1,15.7,17.9,24.6,29.3,36.9,33.4,2.23,77.0,4,1
San Diego St.,MWC,112.0,91.3,66.0,16.7,18.7,53.8,48.4,18.0,23.2,32.5,23.8,38.7,33.7,2.42,76.6,5,1
Purdue,B10,112.2,91.9,66.3,18.6,17.3,51.1,49.2,19.5,17.1,32.7,23.4,34.7,32.4,1.05,78.4,3,1
Oklahoma,B12,112.6,92.3,67.9,17.1,17.4,50.9,48.3,15.5,19.6,29.0,26.9,33.7,37.0,2.07,77.0,4,1
Rutgers,B10,110.6,90.8,67.9,16.9,17.6,51.9,47.8,16.1,19.7,29.4,28.6,34.2,31.9,2.01,77.9,4,1
Kansas,B12,111.5,91.8,68.8,16.2,17.8,49.7,48.8,18.4,19.7,32.2,26.6,34.2,35.2,1.48,78.2,3,1
Indiana,B10,110.8,91.3,66.0,18.0,17.3,50.5,48.0,16.9,17.8,24.4,25.9,34.7,33.8,1.35,77.3,2,1
Arkansas,SEC,110.5,91.1,72.8,15.8,15.9,51.1,47.2,17.5,20.8,34.0,24.9,33.7,30.3,1.56,78.0,4,1
Florida,SEC,113.7,94.6,69.7,16.1,17.2,53.6,47.9,19.4,21.0,31.7,32.1,37.5,33.1,1.51,77.3,4,0
Missouri,SEC,111.5,92.8,69.7,16.6,16.9,50.8,46.2,18.9,17.6,29.5,29.0,30.0,30.9,2.5,77.6,4,1
Penn St.,B10,113.2,94.9,69.4,16.6,17.9,49.1,52.3,16.7,20.6,33.2,28.1,34.9,31.3,2.21,76.1,3,1
Seton Hall,BE,115.0,97.0,67.4,17.2,17.9,52.5,50.7,18.7,18.2,29.0,28.5,33.8,37.8,2.43,79.2,2,1
Louisville,ACC,110.3,92.3,66.0,17.7,18.4,50.2,46.8,18.1,17.6,31.2,25.5,31.9,30.9,0.98,77.5,2,1
BYU,WCC,110.8,92.9,68.1,16.8,16.7,54.3,46.4,19.7,16.2,29.5,23.5,35.0,33.2,2.02,78.0,3,0
Connecticut,BE,111.6,93.8,64.1,19.3,17.4,49.4,47.7,18.8,21.0,37.7,29.7,35.7,32.3,1.93,77.8,2,0
Duke,ACC,113.5,95.7,69.5,16.7,16.9,52.1,52.5,19.0,20.1,32.4,26.0,33.5,38.4,0.88,77.0,2,0
Virginia Tech,ACC,111.1,93.4,66.3,18.1,18.0,52.0,48.2,17.2,17.4,28.6,23.4,34.3,32.5,1.58,76.3,3,1
UCLA,P12,113.5,95.9,63.6,18.6,18.2,50.6,49.5,16.4,18.5,33.2,25.0,36.1,32.1,1.49,77.4,3,0
Arizona,P12,114.2,96.7,68.5,16.5,18.0,51.4,49.2,17.5,19.2,35.2,23.3,38.0,34.4,1.29,78.7,2,0
Oklahoma St.,B12,108.8,91.5,71.3,15.7,17.3,51.0,46.4,20.8,19.6,31.9,30.3,33.7,31.6,1.14,77.6,3,0
Minnesota,B10,111.3,94.1,70.0,16.4,16.9,46.6,47.8,15.3,18.8,29.2,32.1,29.4,33.0,1.89,78.0,2,1
North Carolina,ACC,110.0,92.8,70.5,15.8,17.7,48.4,50.3,21.0,18.9,40.0,24.5,32.0,36.3,1.12,78.9,4,1
Oregon,P12,111.9,94.9,68.9,16.5,17.3,53.2,48.9,17.8,21.2,30.1,24.2,35.4,31.6,2.24,77.4,2,1
