teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Gonzaga,WCC,123.7,91.5,75.6,14.3,17.1,60.7,48.7,15.4,20.6,35.3,23.8,34.2,34.6,1.48,78.3,5,1
Baylor,B12,119.3,87.5,69.4,15.6,17.6,59.0,46.1,16.7,26.8,38.7,27.5,42.8,30.5,1.88,76.8,5,1
Iowa,B10,123.5,96.0,71.3,15.5,17.2,56.7,48.1,13.5,19.0,34.2,31.6,39.3,34.9,1.67,77.8,4,1
Michigan,B10,117.4,90.3,68.1,16.7,17.7,59.0,43.2,17.7,15.2,30.7,24.3,37.3,34.5,2.11,77.9,5,1
Villanova,BE,119.7,93.0,63.6,18.3,17.5,56.0,52.8,11.6,19.0,27.3,21.4,37.5,36.2,1.87,77.9,5,1
Tennessee,SEC,111.9,87.2,65.8,17.4,17.7,51.7,44.9,14.7,25.6,33.4,24.5,34.9,31.2,1.62,77.5,4,1
Texas,B12,113.8,89.1,69.4,16.4,18.0,52.0,42.8,19.2,17.0,32.8,27.6,34.8,28.0,1.89,77.9,4,0
Illinois,B10,116.0,91.4,70.9,16.5,16.6,57.9,45.7,18.7,15.6,34.0,20.7,41.2,31.7,1.63,77.0,4,0
Houston,Amer,112.7,88.6,65.8,19.1,16.5,47.4,41.1,18.2,23.4,40.4,26.4,32.5,26.0,1.77,77.1,4,1
Creighton,BE,116.5,92.5,70.7,15.7,17.3,58.3,46.0,15.6,18.5,24.9,28.7,38.8,33.8,2.2,77.0,5,1
Wisconsin,B10,113.9,90.0,64.9,18.2,17.9,52.4,45.7,12.3,17.8,24.0,22.2,40.5,34.6,2.33,78.1,3,0
Texas Tech,B12,112.1,89.0,67.0,17.8,17.7,49.8,45.1,15.9,26.3,34.6,28.6,33.3,31.6,1.41,76.9,4,1
Kansas,B12,112.6,90.1,68.6,16.3,17.5,49.9,47.7,18.2,18.2,35.1,25.7,34.6,33.0,1.43,78.2,3,0
Colorado,P12,112.9,90.8,68.2,16.8,18.6,52.3,47.0,16.5,20.7,31.1,23.9,37.0,31.1,2.31,77.3,4,1
West Virginia,B12,113.0,91.7,68.8,17.4,16.5,46.8,48.2,16.7,20.0,38.3,30.8,34.3,29.1,1.83,77.5,2,0
Virginia,ACC,111.8,90.6,59.3,19.4,19.2,57.0,47.8,13.4,16.5,23.7,22.7,36.4,34.2,1.87,77.6,4,1
USC,P12,111.6,90.4,68.3,17.0,17.8,52.9,42.2,18.4,17.6,35.7,28.9,33.6,31.6,1.75,79.7,5,1
Ohio St.,B10,116.2,95.0,66.3,18.2,17.4,51.1,46.9,14.6,16.2,33.0,26.3,32.8,33.7,1.98,77.3,3,1
Clemson,ACC,107.7,86.8,66.4,17.3,17.9,49.7,44.7,18.9,26.4,28.6,27.6,33.9,29.9,1.75,76.8,4,1
Oregon,P12,112.9,92.4,69.8,16.3,17.1,53.7,47.6,17.6,21.5,29.1,23.2,35.5,29.4,2.32,77.5,4,1
Alabama,SEC,112.6,92.3,74.5,14.2,17.6,49.9,46.6,17.8,21.4,32.8,30.4,33.3,31.1,1.92,78.0,5,1
LSU,SEC,118.0,97.7,70.2,16.1,16.7,56.6,46.8,18.7,21.3,34.7,31.4,36.5,27.6,1.07,77.5,4,1
Connecticut,BE,110.9,91.0,64.9,18.7,17.6,49.5,45.4,19.1,22.1,39.5,30.9,35.5,28.7,1.91,77.8,4,1
UCLA,P12,116.0,96.1,64.8,18.6,17.7,53.2,48.6,16.8,18.3,33.6,25.8,38.0,30.0,1.56,77.5,5,1
Florida St.,ACC,113.1,93.3,70.0,16.6,17.4,53.8,47.5,18.8,21.1,34.3,29.4,37.2,35.3,1.94,79.5,3,1
Duke,ACC,112.4,93.2,69.1,16.3,17.1,52.0,52.6,19.5,21.0,33.9,24.3,34.0,37.7,0.9,76.9,3,0
Louisville,ACC,111.0,92.1,66.3,17.6,18.4,53.0,45.5,19.4,17.6,30.5,25.2,35.2,30.7,0.96,77.7,5,1
Purdue,B10,111.3,92.6,66.7,18.4,17.3,53.1,49.7,20.0,17.1,31.3,21.3,37.4,31.3,1.09,78.4,3,1
Oklahoma,B12,112.7,94.3,68.7,17.0,17.4,51.4,49.5,15.1,19.7,30.4,27.2,34.3,37.7,2.11,77.1,2,1
Arizona,P12,113.6,95.3,70.0,16.3,17.9,51.1,47.1,16.4,19.4,37.1,23.6,36.3,31.2,1.34,78.6,3,1
Virginia Tech,ACC,111.8,93.6,67.5,17.8,17.8,53.2,48.6,17.6,18.4,30.9,23.1,35.7,33.1,1.62,76.3,4,1
Saint Louis,A10,110.9,92.8,68.6,16.1,17.3,56.8,47.2,17.9,24.0,38.1,22.9,41.0,32.9,1.84,76.2,4,1
Oklahoma St.,B12,110.2,92.1,71.6,15.8,17.6,51.5,47.0,19.2,19.7,31.6,30.0,32.5,32.6,1.12,77.6,3,1
Minnesota,B10,111.9,93.9,71.7,16.0,16.8,47.3,47.3,15.0,18.0,29.6,31.7,30.3,32.5,1.88,78.0,2,0
North Carolina,ACC,108.9,91.0,70.9,16.1,17.5,45.8,49.2,21.5,18.9,41.9,24.2,29.3,34.7,1.09,78.8,3,1
Arkansas,SEC,111.2,93.3,74.0,15.3,16.0,52.1,46.0,16.3,19.8,34.7,24.0,34.7,30.4,1.57,77.9,2,0
Indiana,B10,109.6,91.8,67.1,17.7,17.4,51.3,48.2,17.1,18.5,23.3,25.1,32.4,34.0,1.38,77.2,3,0
Florida,SEC,111.8,94.3,70.0,16.0,17.1,53.4,48.1,19.9,21.6,32.2,28.9,38.8,37.8,1.51,77.4,3,1
Rutgers,B10,110.5,93.4,69.3,16.8,17.3,52.5,49.2,14.4,18.4,28.0,28.1,37.1,32.6,1.91,77.9,1,0
Syracuse,ACC,110.3,93.5,70.3,15.2,17.2,51.7,45.9,17.7,22.1,29.6,30.8,32.8,29.1,1.5,77.9,3,0
San Diego St.,MWC,108.4,91.8,64.9,17.1,18.7,51.0,48.2,18.9,22.7,27.0,26.2,36.6,34.1,2.52,76.7,3,0
Michigan St.,B10,110.2,94.0,70.6,16.1,17.3,51.2,47.6,19.0,16.2,30.7,24.4,34.7,32.9,1.7,77.9,2,0
Maryland,B10,112.7,96.7,66.7,17.5,18.7,54.0,50.7,16.2,16.2,24.5,25.8,36.5,35.8,1.83,78.4,2,1
Seton Hall,BE,111.8,95.8,67.8,17.1,17.7,52.0,49.8,19.2,18.6,28.4,29.1,33.1,36.4,2.35,79.2,4,1
Stanford,P12,106.7,90.7,71.6,16.2,16.8,51.0,45.6,21.8,21.1,29.4,28.8,31.4,33.0,1.37,78.8,3,0
Missouri,SEC,108.2,92.2,69.7,16.4,17.2,49.4,44.1,19.7,16.4,29.7,28.7,27.3,27.0,2.5,77.6,3,0
Penn St.,B10,112.5,96.6,68.3,16.8,17.8,52.3,53.7,16.1,21.0,31.8,29.3,37.6,31.6,2.2,76.0,1,0
Loyola Chicago,MVC,108.5,93.2,66.2,17.9,17.6,56.9,49.5,19.0,20.5,26.0,19.4,36.9,38.1,2.21,76.3,4,1
