teams,conf,adj_off,adj_def,adj_tempo,poss_off,poss_def,fg_off,fg_def,turnover_off,turnover_def,reb_off,reb_def,three_off,three_def,experience,height,wins_five,wins_last
Gonzaga,WCC,124.4,90.4,75.2,14.2,17.5,60.4,46.9,15.4,20.0,34.0,24.3,35.3,33.9,1.48,78.3,5,1
Baylor,B12,120.7,87.0,69.1,16.1,17.5,58.4,46.4,17.7,26.5,38.3,30.0,42.6,32.0,1.96,76.6,5,1
Michigan,B10,116.9,88.8,68.6,16.8,17.7,57.6,43.0,18.4,15.5,30.4,25.1,37.7,32.2,2.08,77.9,4,1
Iowa,B10,124.6,97.5,71.3,15.7,17.1,56.4,48.6,13.7,17.8,34.3,30.1,38.4,34.8,1.68,77.8,4,0
Villanova,BE,119.3,93.0,65.0,18.2,17.4,54.8,52.9,11.9,19.9,27.2,21.2,36.9,36.2,1.88,77.9,5,1
Houston,Amer,113.7,87.5,66.5,19.2,16.5,48.4,41.6,18.2,23.8,41.0,26.6,33.9,26.1,1.77,77.0,5,1
Illinois,B10,116.6,91.9,71.3,16.5,16.7,57.3,46.4,18.5,16.3,33.3,22.2,39.7,33.6,1.62,77.0,3,1
Texas,B12,114.3,89.6,69.6,16.3,18.0,52.8,43.3,18.8,17.3,32.0,27.4,35.2,28.7,1.91,77.9,4,1
Virginia,ACC,115.4,90.8,59.6,19.9,19.2,58.3,48.1,13.5,15.9,23.7,21.2,38.9,34.6,1.85,77.8,5,1
Alabama,SEC,114.6,90.3,74.8,14.2,17.4,52.5,45.6,18.1,21.1,31.8,30.2,36.2,29.7,1.9,77.9,5,1
Wisconsin,B10,112.9,89.3,65.0,18.3,17.9,51.4,45.9,12.6,17.8,23.1,23.2,37.9,32.6,2.39,78.0,3,0
Ohio St.,B10,118.4,95.5,66.9,18.2,17.4,52.1,47.8,15.2,16.0,31.2,26.3,34.5,32.6,1.97,77.5,4,1
Texas Tech,B12,111.5,88.7,67.1,17.8,17.6,49.1,45.4,16.7,26.1,35.1,28.9,32.6,32.1,1.41,76.9,3,0
Creighton,BE,115.5,93.1,70.3,15.8,17.9,57.1,45.7,15.5,18.1,23.8,29.9,36.4,33.1,2.21,77.0,3,1
Florida St.,ACC,115.3,93.0,69.8,17.1,17.1,54.7,46.7,19.4,20.4,34.5,30.3,39.1,33.1,1.98,79.6,4,1
West Virginia,B12,112.9,90.8,68.8,17.4,16.6,47.1,47.9,16.8,21.4,37.1,31.2,34.7,28.7,1.83,77.4,3,1
Kansas,B12,113.3,91.4,68.4,16.4,17.6,50.6,49.0,18.4,18.7,33.1,26.1,35.8,34.2,1.44,78.2,2,0
Tennessee,SEC,110.0,88.1,66.3,17.3,17.7,50.5,46.1,16.4,24.4,32.8,26.8,33.9,31.2,1.63,77.5,3,0
