home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
Utah St.,Nevada,7,2021-02-28,7.5,0.0,0.8707,Nevada
Delaware St.,Coppin St.,-8,2021-02-28,-7.5,0.0,0.7703,Coppin St.
Oral Roberts,Western Illinois,10,2021-02-28,9.0,0.0,0.7192,Western Illinois
Maryland,Michigan St.,5,2021-02-28,2.5,1.0,0.6682,Maryland
Idaho,Montana St.,-11,2021-02-28,-10.5,1.0,0.659,Idaho
Army,Boston University,6,2021-02-28,3.5,0.0,0.6519,Boston University
Hartford,Albany,3,2021-02-28,1.0,0.0,0.6285,Albany
UTEP,Charlotte,7,2021-02-28,6.0,1.0,0.6195,UTEP
American,Bucknell,2,2021-02-28,4.0,0.0,0.6165,Bucknell
South Carolina St.,Florida A&M,-8,2021-02-28,-7.5,1.0,0.6081,South Carolina St.
Marist,Quinnipiac,2,2021-02-28,2.5,0.0,0.5554,Quinnipiac
Lehigh,Lafayette,-4,2021-02-28,-3.0,0.0,0.5392,Lafayette
N.C. State,Pittsburgh,4,2021-02-28,7.0,0.0,0.5346,Pittsburgh
Navy,Loyola MD,7,2021-02-28,3.5,0.0,0.5292,Loyola MD
Cincinnati,Memphis,-4,2021-02-28,-4.5,1.0,0.5277,Cincinnati
Ohio St.,Iowa,2,2021-02-28,3.0,1.0,0.5229,Ohio St.
New Hampshire,UMass Lowell,1,2021-02-28,2.5,1.0,0.5179,New Hampshire
South Dakota,North Dakota St.,2,2021-02-28,-1.0,1.0,0.5164,South Dakota
Western Kentucky,FIU,17,2021-02-28,16.5,0.0,0.5116,FIU
Houston,South Florida,18,2021-02-28,18.5,1.0,0.5102,Houston
