home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
Utah St.,Nevada,8,2021-02-26,7.5,0.0,0.7633,Nevada
Bryant,LIU,9,2021-02-26,6.0,1.0,0.7477,Bryant
Central Connecticut,Wagner,-8,2021-02-26,-9.5,0.0,0.729,Wagner
Georgia Southern,Appalachian St.,-1,2021-02-26,1.5,0.0,0.6971,Appalachian St.
Loyola Chicago,Southern Illinois,21,2021-02-26,19.0,0.0,0.694,Southern Illinois
Merrimack,St. Francis NY,2,2021-02-26,2.5,0.0,0.6823,St. Francis NY
Akron,Bowling Green,5,2021-02-26,4.0,0.0,0.6734,Bowling Green
Texas St.,Louisiana Monroe,10,2021-02-26,9.5,1.0,0.6544,Texas St.
Troy,Coastal Carolina,-6,2021-02-26,-5.5,1.0,0.6543,Troy
UNLV,Fresno St.,5,2021-02-26,6.0,0.0,0.6539,Fresno St.
Cincinnati,Tulane,5,2021-02-26,5.5,0.0,0.6531,Tulane
UT Arlington,Arkansas St.,2,2021-02-26,4.0,1.0,0.6474,UT Arlington
Cal Poly,UC Davis,-8,2021-02-26,-6.5,1.0,0.6437,Cal Poly
James Madison,Drexel,2,2021-02-26,2.0,1.0,0.6399,James Madison
St. Bonaventure,George Washington,16,2021-02-26,14.0,1.0,0.628,St. Bonaventure
UTSA,UAB,-4,2021-02-26,-4.0,1.0,0.6206,UTSA
Seattle,Grand Canyon,-6,2021-02-26,-6.0,0.0,0.6154,Grand Canyon
UC Irvine,UC San Diego,10,2021-02-26,11.5,1.0,0.6086,UC Irvine
Louisiana Tech,Rice,10,2021-02-26,9.5,1.0,0.6041,Louisiana Tech
Little Rock,Louisiana,1,2021-02-26,1.5,1.0,0.6004,Little Rock
Saint Louis,Richmond,3,2021-02-26,4.5,0.0,0.5885,Richmond
Hawaii,Long Beach St.,8,2021-02-26,6.5,1.0,0.5763,Hawaii
Penn St.,Purdue,-1,2021-02-26,-0.5,1.0,0.574,Penn St.
Valparaiso,Indiana St.,-3,2021-02-26,-3.5,0.0,0.5563,Indiana St.
Southern Miss,Florida Atlantic,1,2021-02-26,-1.0,1.0,0.5562,Southern Miss
UC Riverside,UC Santa Barbara,-2,2021-02-26,-3.0,0.0,0.5501,UC Santa Barbara
Marshall,North Texas,3,2021-02-26,4.5,0.0,0.5441,North Texas
Idaho,Montana St.,-12,2021-02-26,-12.0,0.0,0.544,Montana St.
Siena,Manhattan,11,2021-02-26,10.0,1.0,0.5435,Siena
Bradley,Drake,-7,2021-02-26,-9.0,1.0,0.5375,Bradley
South Alabama,Georgia St.,-1,2021-02-26,-2.0,1.0,0.5341,South Alabama
Illinois St.,Northern Iowa,2,2021-02-26,-4.0,1.0,0.5281,Illinois St.
South Dakota St.,UMKC,9,2021-02-26,8.5,1.0,0.523,South Dakota St.
Denver,Nebraska Omaha,-1,2021-02-26,2.0,0.0,0.5147,Nebraska Omaha
Evansville,Missouri St.,-6,2021-02-26,-5.0,0.0,0.5132,Missouri St.
Cal St. Bakersfield,Cal St. Northridge,10,2021-02-26,8.5,1.0,0.51,Cal St. Bakersfield
Northern Arizona,Southern Utah,-7,2021-02-26,-8.0,0.0,0.5095,Southern Utah
Tarleton St.,New Mexico St.,-5,2021-02-26,-8.5,0.0,0.5085,New Mexico St.
Stetson,North Florida,5,2021-02-26,4.0,0.0,0.5063,North Florida
Old Dominion,Middle Tennessee,10,2021-02-26,10.0,0.0,0.5007,Middle Tennessee
