home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
Manhattan,Fairfield,5,2021-03-05,5.0,1.0,0.7728,Manhattan
Siena,Canisius,6,2021-03-05,6.0,1.0,0.7717,Siena
Belmont,Jacksonville St.,5,2021-03-05,7.5,0.0,0.7529,Jacksonville St.
Buffalo,Kent St.,4,2021-03-05,5.5,0.0,0.7496,Kent St.
UC San Diego,Cal St. Fullerton,4,2021-03-05,3.0,0.0,0.716,Cal St. Fullerton
Loyola Chicago,Southern Illinois,16,2021-03-05,15.5,0.0,0.7104,Southern Illinois
Grand Canyon,Utah Valley,9,2021-03-05,9.0,1.0,0.6989,Grand Canyon
Mississippi Valley St.,Arkansas Pine Bluff,-9,2021-03-05,-10.0,1.0,0.6624,Mississippi Valley St.
Eastern Washington,Idaho St.,12,2021-03-05,12.0,0.0,0.6554,Idaho St.
UC Davis,Hawaii,1,2021-03-05,3.0,0.0,0.6542,Hawaii
The Citadel,Western Carolina,-1,2021-03-05,-3.0,1.0,0.6436,The Citadel
Montana St.,Sacramento St.,4,2021-03-05,4.5,0.0,0.6349,Sacramento St.
Nevada,Colorado St.,-2,2021-03-05,-1.0,1.0,0.6346,Nevada
Long Beach St.,UC Irvine,-10,2021-03-05,-8.5,0.0,0.6272,UC Irvine
Davidson,George Mason,5,2021-03-05,5.5,1.0,0.6064,Davidson
UT Rio Grande Valley,Tarleton St.,5,2021-03-05,4.0,0.0,0.5992,Tarleton St.
South Alabama,Louisiana Monroe,5,2021-03-05,5.0,0.0,0.5969,Louisiana Monroe
Loyola Marymount,San Francisco,-1,2021-03-05,-1.0,0.0,0.5963,San Francisco
Appalachian St.,Little Rock,-1,2021-03-05,1.5,1.0,0.5955,Appalachian St.
Western Kentucky,Old Dominion,8,2021-03-05,7.5,1.0,0.594,Western Kentucky
North Texas,UAB,7,2021-03-05,5.5,1.0,0.5706,North Texas
Cal Baptist,Seattle,2,2021-03-05,3.5,1.0,0.5692,Cal Baptist
Saint Louis,Massachusetts,7,2021-03-05,7.5,0.0,0.5649,Massachusetts
Miami FL,Boston College,1,2021-03-05,3.5,1.0,0.5601,Miami FL
UT Arlington,Troy,4,2021-03-05,7.0,0.0,0.5523,Troy
Marshall,Charlotte,14,2021-03-05,12.5,1.0,0.5499,Marshall
Morehead St.,Eastern Kentucky,2,2021-03-05,1.0,1.0,0.5495,Morehead St.
North Alabama,Florida Gulf Coast,-2,2021-03-05,-2.0,1.0,0.5487,North Alabama
Mercer,Samford,8,2021-03-05,7.5,1.0,0.5452,Mercer
Missouri St.,Valparaiso,8,2021-03-05,7.0,0.0,0.5439,Valparaiso
Liberty,Stetson,11,2021-03-05,10.0,1.0,0.5409,Liberty
Drake,Northern Iowa,10,2021-03-05,6.5,1.0,0.5406,Drake
Wake Forest,Georgia Tech,-10,2021-03-05,-8.0,1.0,0.5379,Wake Forest
Florida Atlantic,Middle Tennessee,10,2021-03-05,10.0,1.0,0.5365,Florida Atlantic
Delaware St.,Morgan St.,-11,2021-03-05,-12.0,1.0,0.5321,Delaware St.
Cal St. Northridge,UC Riverside,-10,2021-03-05,-9.5,1.0,0.53,Cal St. Northridge
Dixie St.,New Mexico St.,-10,2021-03-05,-11.5,0.0,0.5287,New Mexico St.
Indiana St.,Evansville,6,2021-03-05,5.5,1.0,0.5215,Indiana St.
Pacific,Santa Clara,3,2021-03-05,3.0,0.0,0.5206,Santa Clara
Arkansas St.,Georgia Southern,1,2021-03-05,1.5,0.0,0.5184,Georgia Southern
UC Santa Barbara,Cal Poly,22,2021-03-05,19.0,0.0,0.5127,Cal Poly
Toledo,Ball St.,11,2021-03-05,9.0,1.0,0.5099,Toledo
Western Michigan,Eastern Michigan,3,2021-03-05,2.0,1.0,0.5034,Western Michigan
Central Michigan,Northern Illinois,8,2021-03-05,5.5,1.0,0.503,Central Michigan
VCU,Dayton,6,2021-03-05,3.5,1.0,0.502,VCU
