home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
Minnesota,Purdue,1,2021-02-11,3.0,1.0,0.7888,Minnesota
Arizona St.,Oregon,-3,2021-02-11,2.0,1.0,0.7197,Arizona St.
UT Arlington,Texas St.,-2,2021-02-11,-1.5,0.0,0.6921,Texas St.
Campbell,USC Upstate,5,2021-02-11,4.5,0.0,0.6791,USC Upstate
Kansas,Iowa St.,13,2021-02-11,15.5,0.0,0.6651,Iowa St.
South Alabama,Troy,6,2021-02-11,6.5,1.0,0.6568,South Alabama
Stanford,Colorado,-2,2021-02-11,-0.5,1.0,0.6433,Stanford
Mount St. Mary's,LIU,4,2021-02-11,4.0,1.0,0.6424,Mount St. Mary's
Murray St.,Southeast Missouri St.,11,2021-02-11,12.0,1.0,0.6249,Murray St.
Jacksonville St.,Eastern Illinois,9,2021-02-11,9.0,0.0,0.6041,Eastern Illinois
Austin Peay,Tennessee Martin,13,2021-02-11,16.0,0.0,0.593,Tennessee Martin
Montana,Weber St.,1,2021-02-11,-1.0,1.0,0.587,Montana
Pacific,Portland,15,2021-02-11,15.5,1.0,0.5835,Pacific
Louisiana,Louisiana Monroe,10,2021-02-11,9.5,0.0,0.5774,Louisiana Monroe
St. Francis PA,St. Francis NY,3,2021-02-11,2.5,0.0,0.5769,St. Francis NY
Hampton,Presbyterian,5,2021-02-11,4.0,0.0,0.5655,Presbyterian
Air Force,Fresno St.,-5,2021-02-11,-4.5,1.0,0.5613,Air Force
Central Connecticut,Merrimack,-1,2021-02-11,-3.0,0.0,0.5598,Merrimack
Montana St.,Eastern Washington,-3,2021-02-11,-2.5,1.0,0.5537,Montana St.
Georgia St.,Georgia Southern,10,2021-02-11,7.5,1.0,0.5492,Georgia St.
Tennessee St.,Morehead St.,-8,2021-02-11,-7.0,0.0,0.5471,Morehead St.
Tennessee Tech,SIU Edwardsville,1,2021-02-11,2.5,0.0,0.5446,SIU Edwardsville
Arizona,Oregon St.,10,2021-02-11,11.5,0.0,0.5386,Oregon St.
Belmont,Eastern Kentucky,11,2021-02-11,12.0,0.0,0.5353,Eastern Kentucky
Idaho St.,Idaho,10,2021-02-11,9.0,0.0,0.5341,Idaho
Radford,Winthrop,-2,2021-02-11,-3.5,0.0,0.5331,Winthrop
Washington St.,UCLA,-5,2021-02-11,-4.0,0.0,0.523,UCLA
California,Utah,-5,2021-02-11,-4.0,1.0,0.5104,California
Boise St.,UNLV,11,2021-02-11,10.0,1.0,0.5029,Boise St.
Washington,USC,-13,2021-02-11,-11.5,0.0,0.5024,USC
