home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
Chattanooga,East Tennessee St.,-1,2021-02-15,1.0,0.0,0.656,East Tennessee St.
New Orleans,Stephen F. Austin,-8,2021-02-15,-9.5,0.0,0.6346,Stephen F. Austin
Tennessee Tech,Eastern Kentucky,-8,2021-02-15,-8.0,1.0,0.5981,Tennessee Tech
SIU Edwardsville,Murray St.,-7,2021-02-15,-11.5,1.0,0.5737,SIU Edwardsville
Longwood,Hampton,7,2021-02-15,5.0,1.0,0.5733,Longwood
Washington St.,Washington,7,2021-02-15,7.0,1.0,0.5626,Washington St.
Florida St.,Virginia,-1,2021-02-15,1.5,0.0,0.5171,Virginia
Presbyterian,USC Upstate,1,2021-02-15,1.0,0.0,0.5107,USC Upstate
Jackson St.,Texas Southern,-1,2021-02-15,0.0,0.0,0.5063,Texas Southern
