home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
New Mexico St.,Cal Baptist,11,2021-02-05,10.5,1.0,0.806,New Mexico St.
UAB,UTEP,8,2021-02-05,7.0,1.0,0.8,UAB
Illinois Chicago,Wright St.,-11,2021-02-05,-10.5,0.0,0.7975,Wright St.
Dayton,George Mason,8,2021-02-05,6.0,1.0,0.7825,Dayton
South Alabama,Coastal Carolina,-2,2021-02-05,-1.0,1.0,0.7179,South Alabama
Texas St.,Little Rock,3,2021-02-05,3.0,1.0,0.7132,Texas St.
Rice,Southern Miss,5,2021-02-05,4.0,0.0,0.6859,Southern Miss
Middle Tennessee,Charlotte,-4,2021-02-05,-4.0,0.0,0.6727,Charlotte
Florida Gulf Coast,North Alabama,1,2021-02-05,2.0,0.0,0.6699,North Alabama
Detroit,Purdue Fort Wayne,7,2021-02-05,7.0,0.0,0.6578,Purdue Fort Wayne
Cal St. Northridge,UC Davis,-3,2021-02-05,-2.5,1.0,0.6542,Cal St. Northridge
Stetson,Lipscomb,2,2021-02-05,-1.5,0.0,0.6479,Lipscomb
Milwaukee,Northern Kentucky,3,2021-02-05,1.5,0.0,0.6467,Northern Kentucky
UC Irvine,Cal St. Bakersfield,5,2021-02-05,6.0,1.0,0.6358,UC Irvine
New Hampshire,UMass Lowell,-1,2021-02-05,1.0,1.0,0.6289,New Hampshire
Nevada,Boise St.,-3,2021-02-05,-4.5,1.0,0.6114,Nevada
North Texas,Louisiana Tech,5,2021-02-05,4.5,1.0,0.6064,North Texas
Dixie St.,Seattle,-2,2021-02-05,-3.0,0.0,0.5868,Seattle
Troy,Georgia Southern,3,2021-02-05,1.0,1.0,0.586,Troy
Bellarmine,Jacksonville,7,2021-02-05,7.0,1.0,0.5691,Bellarmine
Oakland,Cleveland St.,-1,2021-02-05,1.5,0.0,0.5636,Cleveland St.
Kent St.,Akron,2,2021-02-05,2.0,1.0,0.5321,Kent St.
South Dakota St.,South Dakota,7,2021-02-05,7.0,0.0,0.5294,South Dakota
Nebraska Omaha,Western Illinois,5,2021-02-05,5.0,1.0,0.5275,Nebraska Omaha
FIU,UTSA,1,2021-02-05,2.5,1.0,0.5257,FIU
Arkansas St.,Louisiana,-4,2021-02-05,-3.5,1.0,0.5196,Arkansas St.
Denver,North Dakota,-1,2021-02-05,-2.5,0.0,0.5186,North Dakota
Penn St.,Maryland,3,2021-02-05,3.5,1.0,0.516,Penn St.
Robert Morris,Youngstown St.,1,2021-02-05,-1.0,0.0,0.5146,Youngstown St.
North Dakota St.,Oral Roberts,4,2021-02-05,4.5,1.0,0.5104,North Dakota St.
Old Dominion,Marshall,-4,2021-02-05,-5.5,1.0,0.5089,Old Dominion
UT Arlington,Louisiana Monroe,9,2021-02-05,9.0,0.0,0.5023,Louisiana Monroe
Green Bay,IUPUI,5,2021-02-05,6.0,0.0,0.5012,IUPUI
