home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
Western Michigan,Kent St.,-9,2021-02-16,-9.5,0.0,0.717,Kent St.
Toledo,Miami OH,11,2021-02-16,11.5,0.0,0.6789,Miami OH
Oklahoma St.,Iowa St.,13,2021-02-16,10.5,0.0,0.6754,Iowa St.
Saint Louis,La Salle,15,2021-02-16,16.0,1.0,0.6682,Saint Louis
Akron,Northern Illinois,17,2021-02-16,16.5,1.0,0.6646,Akron
Santa Clara,Loyola Marymount,-1,2021-02-16,-3.5,0.0,0.6402,Loyola Marymount
Purdue,Michigan St.,7,2021-02-16,6.0,1.0,0.6376,Purdue
Maryland,Nebraska,10,2021-02-16,10.0,1.0,0.6118,Maryland
Illinois,Northwestern,13,2021-02-16,12.5,0.0,0.6106,Northwestern
Mount St. Mary's,Wagner,4,2021-02-16,3.5,0.0,0.6079,Wagner
Arkansas,Florida,3,2021-02-16,4.5,1.0,0.5862,Arkansas
Rhode Island,Dayton,3,2021-02-16,3.0,1.0,0.5858,Rhode Island
Connecticut,Providence,6,2021-02-16,5.5,1.0,0.5594,Connecticut
Southeast Missouri St.,Austin Peay,-4,2021-02-16,-6.5,1.0,0.5416,Southeast Missouri St.
Ball St.,Bowling Green,1,2021-02-16,-2.0,1.0,0.5251,Ball St.
St. John's,Xavier,1,2021-02-16,1.0,0.0,0.5193,Xavier
Tulsa,Temple,5,2021-02-16,4.0,0.0,0.5134,Temple
Jackson St.,Texas Southern,-1,2021-02-16,-1.0,1.0,0.5076,Jackson St.
Georgia,Missouri,-3,2021-02-16,-3.5,1.0,0.5048,Georgia
