home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
Murray St.,Tennessee Martin,17,2021-02-13,18.0,1.0,0.7465,Murray St.
UMKC,Nebraska Omaha,7,2021-02-13,7.5,1.0,0.7406,UMKC
Air Force,Fresno St.,-5,2021-02-13,-4.5,0.0,0.7364,Fresno St.
Jacksonville,Lipscomb,-2,2021-02-13,-5.5,1.0,0.7333,Jacksonville
Abilene Christian,Texas A&M Corpus Chris,19,2021-02-13,20.0,1.0,0.7306,Abilene Christian
UTEP,FIU,9,2021-02-13,8.5,1.0,0.724,UTEP
Louisiana Tech,UAB,3,2021-02-13,2.0,1.0,0.7236,Louisiana Tech
Louisiana Monroe,Louisiana,-4,2021-02-13,-3.0,1.0,0.7122,Louisiana Monroe
UC Davis,Long Beach St.,6,2021-02-13,6.5,0.0,0.7036,Long Beach St.
Austin Peay,Southeast Missouri St.,8,2021-02-13,10.0,1.0,0.7003,Austin Peay
Syracuse,Boston College,9,2021-02-13,11.0,0.0,0.6986,Boston College
Loyola Marymount,Pacific,3,2021-02-13,2.0,1.0,0.6984,Loyola Marymount
Missouri St.,Bradley,2,2021-02-13,2.5,1.0,0.6911,Missouri St.
Youngstown St.,Purdue Fort Wayne,5,2021-02-13,6.0,1.0,0.691,Youngstown St.
Southern Miss,North Texas,-10,2021-02-13,-9.5,0.0,0.6909,North Texas
Florida St.,Wake Forest,13,2021-02-13,13.5,0.0,0.6846,Wake Forest
Texas,TCU,12,2021-02-13,12.0,0.0,0.6836,TCU
Utah Valley,Dixie St.,10,2021-02-13,10.0,1.0,0.6827,Utah Valley
North Alabama,Bellarmine,-4,2021-02-13,-4.5,1.0,0.6812,North Alabama
Little Rock,Arkansas St.,5,2021-02-13,6.0,1.0,0.6757,Little Rock
Montana,Weber St.,2,2021-02-13,-1.5,1.0,0.6749,Montana
Southern Illinois,Illinois St.,4,2021-02-13,5.5,1.0,0.6733,Southern Illinois
South Carolina,Mississippi,-1,2021-02-13,-1.5,1.0,0.6731,South Carolina
LSU,Tennessee,-1,2021-02-13,-3.0,0.0,0.6687,Tennessee
San Francisco,Gonzaga,-17,2021-02-13,-16.0,1.0,0.6547,San Francisco
Arizona,Oregon,2,2021-02-13,2.0,1.0,0.6533,Arizona
Marshall,Middle Tennessee,18,2021-02-13,17.0,1.0,0.6526,Marshall
Old Dominion,Charlotte,4,2021-02-13,4.5,0.0,0.6505,Charlotte
Idaho St.,Idaho,12,2021-02-13,10.5,1.0,0.65,Idaho St.
Arkansas Pine Bluff,Southern,-7,2021-02-13,-7.5,0.0,0.6482,Southern
Lafayette,Loyola MD,3,2021-02-13,3.0,1.0,0.6478,Lafayette
Alabama,Georgia,14,2021-02-13,13.0,0.0,0.6469,Georgia
Iona,Manhattan,9,2021-02-13,8.0,1.0,0.6461,Iona
Montana St.,Eastern Washington,-3,2021-02-13,-3.5,0.0,0.6424,Eastern Washington
