home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
Dayton,VCU,-1,2021-02-09,-1.5,1.0,0.7704,Dayton
Bowling Green,Kent St.,-1,2021-02-09,-1.0,0.0,0.7059,Kent St.
Kansas St.,Texas,-15,2021-02-09,-14.0,1.0,0.6919,Kansas St.
St. Bonaventure,La Salle,13,2021-02-09,13.0,1.0,0.6758,St. Bonaventure
Duke,Notre Dame,5,2021-02-09,7.5,0.0,0.6606,Notre Dame
Butler,St. John's,-2,2021-02-09,1.0,0.0,0.6248,St. John's
Kentucky,Arkansas,-1,2021-02-09,1.0,1.0,0.6234,Kentucky
Elon,James Madison,-3,2021-02-09,-5.0,1.0,0.5985,Elon
Michigan St.,Penn St.,-1,2021-02-09,3.0,1.0,0.5818,Michigan St.
N.C. State,Syracuse,1,2021-02-09,1.5,1.0,0.5706,N.C. State
Georgia St.,South Alabama,7,2021-02-09,5.5,1.0,0.5442,Georgia St.
TCU,Iowa St.,5,2021-02-09,6.5,1.0,0.543,TCU
South Carolina,Alabama,-10,2021-02-09,-6.0,0.0,0.5397,Alabama
Georgetown,Creighton,-7,2021-02-09,-7.5,1.0,0.5234,Georgetown
Florida A&M,North Carolina Central,3,2021-02-09,-2.0,1.0,0.5202,Florida A&M
Vanderbilt,Auburn,-5,2021-02-09,-5.5,1.0,0.5076,Vanderbilt
Texas Tech,West Virginia,4,2021-02-09,5.5,1.0,0.5022,Texas Tech
Colorado St.,New Mexico,17,2021-02-09,17.5,0.0,0.5006,New Mexico
