home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
Radford,Campbell,2,2021-03-04,1.0,0.0,0.749,Campbell
Grambling St.,Alabama St.,9,2021-03-04,8.0,0.0,0.7209,Alabama St.
Oklahoma,Texas,1,2021-03-04,2.0,1.0,0.6785,Oklahoma
Texas Tech,Iowa St.,17,2021-03-04,17.0,1.0,0.6677,Texas Tech
Lipscomb,Florida Gulf Coast,3,2021-03-04,5.0,1.0,0.6577,Lipscomb
Utah St.,Wyoming,15,2021-03-04,16.0,1.0,0.6423,Utah St.
Weber St.,Northern Colorado,11,2021-03-04,9.5,1.0,0.6395,Weber St.
Portland St.,Southern Utah,-2,2021-03-04,-2.5,0.0,0.6196,Southern Utah
North Florida,North Alabama,2,2021-03-04,3.0,1.0,0.6162,North Florida
Massachusetts,Saint Joseph's,5,2021-03-04,4.0,0.0,0.6144,Saint Joseph's
Bellarmine,Stetson,4,2021-03-04,5.5,1.0,0.6062,Bellarmine
Kansas,UTEP,15,2021-03-04,17.5,1.0,0.5799,Kansas
Jackson St.,Alabama A&M,9,2021-03-04,8.0,0.0,0.5754,Alabama A&M
Northern Iowa,Illinois St.,3,2021-03-04,6.5,1.0,0.5736,Northern Iowa
Florida Atlantic,Middle Tennessee,8,2021-03-04,8.5,0.0,0.573,Middle Tennessee
McNeese St.,Nicholls St.,-7,2021-03-04,-5.0,0.0,0.5704,Nicholls St.
Santa Clara,Portland,13,2021-03-04,13.5,1.0,0.5643,Santa Clara
East Carolina,UCF,-1,2021-03-04,-2.5,0.0,0.5635,UCF
Colorado,Arizona St.,12,2021-03-04,10.0,1.0,0.5635,Colorado
Eastern Kentucky,Austin Peay,4,2021-03-04,2.0,0.0,0.5581,Austin Peay
Texas Southern,Alcorn St.,10,2021-03-04,12.0,1.0,0.5568,Texas Southern
West Virginia,TCU,14,2021-03-04,13.0,1.0,0.5541,West Virginia
Jacksonville St.,Murray St.,-1,2021-03-04,-2.5,1.0,0.5517,Jacksonville St.
Siena,Canisius,6,2021-03-04,6.0,1.0,0.5482,Siena
Baylor,Oklahoma St.,12,2021-03-04,11.5,0.0,0.5422,Oklahoma St.
San Francisco,San Diego,8,2021-03-04,8.0,1.0,0.532,San Francisco
Bradley,Southern Illinois,5,2021-03-04,-2.0,1.0,0.5227,Bradley
Dayton,Rhode Island,1,2021-03-04,4.0,1.0,0.5206,Dayton
Delaware St.,Morgan St.,-11,2021-03-04,-11.0,1.0,0.5201,Delaware St.
Winthrop,Longwood,12,2021-03-04,12.5,1.0,0.5184,Winthrop
Iowa,Nebraska,17,2021-03-04,16.5,1.0,0.5164,Iowa
Manhattan,Fairfield,5,2021-03-04,4.5,1.0,0.5141,Manhattan
Michigan,Michigan St.,15,2021-03-04,12.0,0.0,0.5098,Michigan St.
Liberty,Kennesaw St.,18,2021-03-04,16.5,1.0,0.5086,Liberty
Cincinnati,Vanderbilt,2,2021-03-04,6.5,0.0,0.5026,Vanderbilt
Prairie View A&M,Southern,6,2021-03-04,6.5,0.0,0.5025,Southern
