home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
UC Davis,UC Santa Barbara,-6,2021-01-29,-8.5,0.0,0.7145,UC Santa Barbara
Grand Canyon,New Mexico St.,1,2021-01-29,4.0,1.0,0.7111,Grand Canyon
Georgia Southern,Coastal Carolina,-4,2021-01-29,-1.5,1.0,0.6942,Georgia Southern
Gardner Webb,High Point,9,2021-01-29,7.0,0.0,0.6808,High Point
Arkansas St.,UT Arlington,-3,2021-01-29,-3.5,1.0,0.655,Arkansas St.
Wright St.,Robert Morris,17,2021-01-29,14.0,1.0,0.6508,Wright St.
Colorado St.,Boise St.,2,2021-01-29,-1.5,1.0,0.6506,Colorado St.
Rice,North Texas,-5,2021-01-29,-7.5,0.0,0.6493,North Texas
Charlotte,FIU,5,2021-01-29,7.0,1.0,0.6381,Charlotte
North Dakota,Western Illinois,5,2021-01-29,4.0,0.0,0.6313,Western Illinois
Cleveland St.,Green Bay,6,2021-01-29,3.5,1.0,0.625,Cleveland St.
Purdue Fort Wayne,Oakland,3,2021-01-29,1.5,1.0,0.6211,Purdue Fort Wayne
IUPUI,Milwaukee,-2,2021-01-29,-4.0,0.0,0.6099,Milwaukee
Jacksonville,Liberty,-10,2021-01-29,-10.5,0.0,0.6057,Liberty
Winthrop,UNC Asheville,11,2021-01-29,12.5,0.0,0.6001,UNC Asheville
Florida Gulf Coast,Stetson,1,2021-01-29,1.5,0.0,0.594,Stetson
Troy,Appalachian St.,-4,2021-01-29,-4.5,1.0,0.5932,Troy
Cal St. Bakersfield,Cal St. Fullerton,12,2021-01-29,9.0,1.0,0.5911,Cal St. Bakersfield
Cal Poly,Cal St. Northridge,-2,2021-01-29,-5.5,1.0,0.5874,Cal Poly
Long Beach St.,UC San Diego,-2,2021-01-29,2.0,1.0,0.5871,Long Beach St.
Little Rock,Louisiana Monroe,10,2021-01-29,10.5,0.0,0.5768,Louisiana Monroe
Kennesaw St.,Bellarmine,-8,2021-01-29,-7.0,1.0,0.5757,Kennesaw St.
Buffalo,Ohio,3,2021-01-29,2.5,0.0,0.5747,Ohio
Richmond,Saint Louis,1,2021-01-29,1.0,1.0,0.5668,Richmond
Hawaii,UC Irvine,-5,2021-01-29,-2.5,1.0,0.5655,Hawaii
North Florida,North Alabama,-1,2021-01-29,2.0,1.0,0.564,North Florida
UMKC,North Dakota St.,-2,2021-01-29,-3.0,0.0,0.5545,North Dakota St.
Youngstown St.,Detroit,-1,2021-01-29,1.5,1.0,0.5465,Youngstown St.
Illinois,Iowa,1,2021-01-29,2.0,0.0,0.5364,Iowa
Northern Kentucky,Illinois Chicago,2,2021-01-29,2.5,1.0,0.5361,Northern Kentucky
Presbyterian,Longwood,-4,2021-01-29,-1.5,1.0,0.5303,Presbyterian
Texas St.,Louisiana,4,2021-01-29,4.0,1.0,0.5241,Texas St.
South Dakota,Nebraska Omaha,8,2021-01-29,8.0,1.0,0.5201,South Dakota
Utah Valley,Tarleton St.,8,2021-01-29,7.0,0.0,0.5152,Tarleton St.
Cal Baptist,Dixie St.,7,2021-01-29,9.5,1.0,0.5112,Cal Baptist
