home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
Buffalo,Akron,6,2021-03-02,6.0,0.0,0.748,Akron
Kent St.,Ohio,4,2021-03-02,2.0,0.0,0.6948,Ohio
Iowa St.,Texas,-12,2021-03-02,-11.5,1.0,0.6818,Iowa St.
Bowling Green,Miami OH,5,2021-03-02,5.5,0.0,0.6616,Miami OH
South Florida,Memphis,-8,2021-03-02,-9.0,0.0,0.6474,Memphis
Mississippi,Kentucky,2,2021-03-02,3.0,1.0,0.6449,Mississippi
Texas Tech,TCU,12,2021-03-02,12.5,1.0,0.6348,Texas Tech
Central Michigan,Toledo,-15,2021-03-02,-16.0,1.0,0.6327,Central Michigan
Georgia Tech,Duke,3,2021-03-02,1.5,1.0,0.6322,Georgia Tech
Boise St.,Fresno St.,15,2021-03-02,13.5,1.0,0.6272,Boise St.
Michigan St.,Indiana,-1,2021-03-02,3.0,1.0,0.6236,Michigan St.
UCF,Tulsa,4,2021-03-02,3.0,0.0,0.6184,Tulsa
Cleveland St.,Purdue Fort Wayne,10,2021-03-02,8.0,1.0,0.6175,Cleveland St.
Michigan,Illinois,7,2021-03-02,6.5,0.0,0.6053,Illinois
Alabama,Auburn,11,2021-03-02,11.0,1.0,0.6048,Alabama
LSU,Vanderbilt,10,2021-03-02,14.0,0.0,0.5979,Vanderbilt
West Virginia,Baylor,-5,2021-03-02,-4.5,0.0,0.5924,Baylor
DePaul,Marquette,-3,2021-03-02,-5.5,0.0,0.589,Marquette
Purdue,Wisconsin,2,2021-03-02,2.0,0.0,0.5757,Wisconsin
Oakland,Youngstown St.,4,2021-03-02,3.5,1.0,0.5697,Oakland
Northern Illinois,Western Michigan,-2,2021-03-02,1.5,0.0,0.5692,Western Michigan
Ball St.,Eastern Michigan,9,2021-03-02,7.5,1.0,0.5602,Ball St.
Wright St.,Milwaukee,16,2021-03-02,13.5,0.0,0.5355,Milwaukee
Georgetown,Xavier,-2,2021-03-02,-2.5,1.0,0.5329,Georgetown
Northern Kentucky,Detroit,-1,2021-03-02,-1.5,0.0,0.5232,Detroit
Pittsburgh,Wake Forest,9,2021-03-02,5.0,1.0,0.5098,Pittsburgh
Wagner,Merrimack,6,2021-03-02,5.0,0.0,0.5067,Merrimack
South Carolina,Arkansas,-8,2021-03-02,-6.5,0.0,0.5062,Arkansas
