home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
Missouri St.,Loyola Chicago,-10,2021-02-01,-7.5,0.0,0.7441,Loyola Chicago
Texas Southern,Alabama A&M,9,2021-02-01,7.5,0.0,0.6945,Alabama A&M
Western Carolina,The Citadel,5,2021-02-01,6.5,1.0,0.6604,Western Carolina
Louisville,Georgia Tech,3,2021-02-01,4.0,1.0,0.6351,Louisville
Eastern Washington,Sacramento St.,8,2021-02-01,9.5,0.0,0.6284,Sacramento St.
SIU Edwardsville,Austin Peay,-2,2021-02-01,-6.0,1.0,0.6241,SIU Edwardsville
Prairie View A&M,Alabama St.,13,2021-02-01,16.0,1.0,0.6203,Prairie View A&M
Grambling St.,Mississippi Valley St.,21,2021-02-01,24.5,1.0,0.6194,Grambling St.
Wofford,East Tennessee St.,3,2021-02-01,1.5,1.0,0.6092,Wofford
Evansville,Valparaiso,1,2021-02-01,2.5,1.0,0.6018,Evansville
Southeast Missouri St.,Murray St.,-5,2021-02-01,-8.0,0.0,0.5663,Murray St.
Memphis,UCF,7,2021-02-01,8.5,1.0,0.5557,Memphis
Indiana St.,Bradley,1,2021-02-01,-1.0,1.0,0.5537,Indiana St.
Texas Tech,Oklahoma,3,2021-02-01,6.5,1.0,0.5461,Texas Tech
Jackson St.,Arkansas Pine Bluff,12,2021-02-01,11.5,0.0,0.5419,Arkansas Pine Bluff
Miami FL,Duke,-8,2021-02-01,-11.0,0.0,0.5368,Duke
Drake,Illinois St.,16,2021-02-01,17.5,0.0,0.5246,Illinois St.
North Carolina Central,South Carolina St.,15,2021-02-01,16.5,0.0,0.5099,South Carolina St.
