home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
Boise St.,Utah St.,2,2021-02-19,1.0,1.0,0.7504,Boise St.
New Mexico St.,Utah Valley,7,2021-02-19,9.0,1.0,0.6953,New Mexico St.
UAB,Old Dominion,7,2021-02-19,6.5,1.0,0.682,UAB
Nebraska Omaha,North Dakota,2,2021-02-19,2.0,0.0,0.6794,North Dakota
New Mexico,Wyoming,-5,2021-02-19,-6.5,0.0,0.6687,Wyoming
Stetson,Jacksonville,6,2021-02-19,6.0,0.0,0.6673,Jacksonville
Dayton,Saint Louis,-3,2021-02-19,-5.5,1.0,0.6583,Dayton
Buffalo,Toledo,-1,2021-02-19,2.0,0.0,0.6444,Toledo
UMKC,Denver,11,2021-02-19,10.0,1.0,0.6407,UMKC
Georgia St.,Troy,11,2021-02-19,9.5,0.0,0.6313,Troy
Cal St. Fullerton,UC Irvine,-9,2021-02-19,-9.5,0.0,0.6267,UC Irvine
UC Santa Barbara,Cal St. Bakersfield,7,2021-02-19,7.0,0.0,0.6262,Cal St. Bakersfield
Cal St. Northridge,Hawaii,-4,2021-02-19,-3.5,1.0,0.6199,Cal St. Northridge
Dixie St.,Tarleton St.,1,2021-02-19,0.0,0.0,0.6153,Tarleton St.
Illinois Chicago,Green Bay,2,2021-02-19,-0.5,0.0,0.614,Green Bay
Lipscomb,Kennesaw St.,13,2021-02-19,12.5,1.0,0.5939,Lipscomb
Fairfield,Canisius,-6,2021-02-19,-4.5,1.0,0.5912,Fairfield
Grand Canyon,Cal Baptist,10,2021-02-19,10.0,1.0,0.5845,Grand Canyon
Charleston Southern,Longwood,-5,2021-02-19,-4.0,0.0,0.5605,Longwood
UC San Diego,UC Riverside,-6,2021-02-19,-9.0,1.0,0.5601,UC San Diego
Hampton,Campbell,-3,2021-02-19,-3.5,0.0,0.5579,Campbell
Ball St.,Akron,-3,2021-02-19,-4.0,1.0,0.5572,Ball St.
FIU,Southern Miss,1,2021-02-19,3.0,0.0,0.5513,Southern Miss
Detroit,Robert Morris,9,2021-02-19,9.5,1.0,0.5449,Detroit
High Point,Winthrop,-9,2021-02-19,-9.0,0.0,0.5424,Winthrop
North Dakota St.,South Dakota St.,-1,2021-02-19,-1.0,1.0,0.5384,North Dakota St.
Long Beach St.,Cal Poly,10,2021-02-19,7.5,0.0,0.5328,Cal Poly
Purdue Fort Wayne,Cleveland St.,-6,2021-02-19,-4.0,0.0,0.5211,Cleveland St.
Appalachian St.,South Alabama,3,2021-02-19,1.0,0.0,0.5191,South Alabama
Northern Kentucky,Wright St.,-11,2021-02-19,-9.5,1.0,0.5169,Northern Kentucky
Milwaukee,Oakland,2,2021-02-19,2.0,1.0,0.5165,Milwaukee
San Jose St.,UNLV,-9,2021-02-19,-14.5,0.0,0.512,UNLV
UMBC,Vermont,-2,2021-02-19,-3.5,0.0,0.5074,Vermont
