home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
Richmond,Massachusetts,7,2021-02-23,8.5,0.0,0.7695,Massachusetts
Texas,Kansas,2,2021-02-23,3.0,1.0,0.756,Texas
Georgia St.,Appalachian St.,7,2021-02-23,6.5,1.0,0.6816,Georgia St.
Michigan St.,Illinois,-9,2021-02-23,-7.0,0.0,0.6787,Illinois
Virginia Tech,Georgia Tech,2,2021-02-23,2.0,1.0,0.6634,Virginia Tech
Baylor,Iowa St.,26,2021-02-23,23.0,1.0,0.6618,Baylor
Nebraska,Penn St.,-7,2021-02-23,-6.5,0.0,0.6453,Penn St.
Auburn,Florida,-1,2021-02-23,1.0,1.0,0.6231,Auburn
Prairie View A&M,Arkansas Pine Bluff,15,2021-02-23,16.5,1.0,0.6164,Prairie View A&M
Georgia,LSU,-5,2021-02-23,-6.0,0.0,0.6126,LSU
San Diego,Pacific,-2,2021-02-23,-3.5,0.0,0.6034,Pacific
Georgetown,Connecticut,-3,2021-02-23,-4.5,1.0,0.6005,Georgetown
Central Michigan,Miami OH,-3,2021-02-23,-3.5,1.0,0.5889,Central Michigan
Texas Southern,Mississippi Valley St.,27,2021-02-23,28.0,1.0,0.5856,Texas Southern
TCU,West Virginia,-9,2021-02-23,-7.0,0.0,0.5836,West Virginia
Ohio,Akron,1,2021-02-23,1.5,0.0,0.5733,Akron
VCU,Saint Louis,3,2021-02-23,-3.0,1.0,0.5452,VCU
Louisville,Notre Dame,3,2021-02-23,4.5,1.0,0.5382,Louisville
Arizona St.,Washington,8,2021-02-23,9.5,1.0,0.5339,Arizona St.
Missouri,Mississippi,4,2021-02-23,4.0,1.0,0.5306,Missouri
Northern Illinois,Buffalo,-13,2021-02-23,-12.5,1.0,0.5222,Northern Illinois
Kansas St.,Oklahoma,-12,2021-02-23,-11.0,1.0,0.5123,Kansas St.
Villanova,St. John's,11,2021-02-23,11.0,0.0,0.5103,St. John's
Eastern Michigan,Bowling Green,-7,2021-02-23,-8.0,1.0,0.5055,Eastern Michigan
Campbell,High Point,4,2021-02-23,4.0,1.0,0.5024,Campbell
