home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
Hofstra,Drexel,2,2021-02-07,3.5,0.0,0.7832,Drexel
Loyola MD,Lafayette,-1,2021-02-07,2.0,0.0,0.7067,Lafayette
Nevada,Boise St.,-3,2021-02-07,-5.0,1.0,0.6935,Nevada
Fairfield,Quinnipiac,-2,2021-02-07,-3.5,1.0,0.6745,Fairfield
Loyola Chicago,Evansville,20,2021-02-07,18.5,0.0,0.6632,Evansville
Valparaiso,Drake,-12,2021-02-07,-12.5,1.0,0.652,Valparaiso
Charleston,Towson,4,2021-02-07,4.0,0.0,0.6464,Towson
Bradley,Southern Illinois,7,2021-02-07,8.0,1.0,0.6419,Bradley
Villanova,Georgetown,14,2021-02-07,13.5,0.0,0.6296,Georgetown
Illinois St.,Missouri St.,-5,2021-02-07,-6.0,1.0,0.6156,Illinois St.
Hampton,High Point,1,2021-02-07,1.0,0.0,0.6125,High Point
Wichita St.,Temple,8,2021-02-07,8.5,1.0,0.5694,Wichita St.
Tulane,Cincinnati,-5,2021-02-07,-5.0,1.0,0.5637,Tulane
Norfolk St.,Coppin St.,8,2021-02-07,6.5,1.0,0.5506,Norfolk St.
Northern Iowa,Indiana St.,1,2021-02-07,2.0,0.0,0.5333,Indiana St.
Stony Brook,UMBC,-1,2021-02-07,-1.5,0.0,0.5191,UMBC
Stanford,California,12,2021-02-07,10.5,0.0,0.5116,California
Indiana,Iowa,-3,2021-02-07,-4.0,1.0,0.5115,Indiana
