home,away,predict_kp,date,draft_kings,home_cover,percent_chance,bet
Pacific,BYU,-6,2021-02-18,-5.0,1.0,0.7249,Pacific
Murray St.,Eastern Illinois,14,2021-02-18,15.5,1.0,0.7157,Murray St.
San Francisco,Loyola Marymount,4,2021-02-18,6.0,0.0,0.6321,Loyola Marymount
Bradley,Illinois St.,7,2021-02-18,1.5,1.0,0.6256,Bradley
Southern Utah,Sacramento St.,5,2021-02-18,6.5,0.0,0.6133,Sacramento St.
Austin Peay,SIU Edwardsville,9,2021-02-18,12.5,1.0,0.6055,Austin Peay
Weber St.,Northern Arizona,12,2021-02-18,13.5,0.0,0.6054,Northern Arizona
Tennessee St.,Tennessee Tech,2,2021-02-18,2.5,0.0,0.6003,Tennessee Tech
UCLA,Arizona,2,2021-02-18,2.0,0.0,0.5983,Arizona
Santa Clara,San Diego,6,2021-02-18,6.5,0.0,0.5927,San Diego
Portland St.,Idaho,13,2021-02-18,12.0,0.0,0.5919,Idaho
Eastern Washington,Montana,7,2021-02-18,8.0,0.0,0.5839,Montana
Wichita St.,Houston,-8,2021-02-18,-7.5,0.0,0.5728,Houston
Penn St.,Ohio St.,-5,2021-02-18,-4.5,0.0,0.5683,Ohio St.
Washington,Stanford,-8,2021-02-18,-9.5,0.0,0.5472,Stanford
Gonzaga,Saint Mary's,20,2021-02-18,20.0,0.0,0.5463,Saint Mary's
Tennessee Martin,Eastern Kentucky,-13,2021-02-18,-11.5,0.0,0.5322,Eastern Kentucky
Washington St.,California,4,2021-02-18,2.5,1.0,0.5294,Washington St.
Belmont,Jacksonville St.,11,2021-02-18,12.5,1.0,0.5263,Belmont
Oregon St.,Utah,-3,2021-02-18,-2.5,0.0,0.5251,Utah
Elon,William & Mary,2,2021-02-18,2.0,1.0,0.5205,Elon
Oregon,Colorado,-1,2021-02-18,3.0,0.0,0.5191,Colorado
Wisconsin,Iowa,-1,2021-02-18,1.5,1.0,0.5122,Wisconsin
Fresno St.,San Diego St.,-13,2021-02-18,-14.0,1.0,0.509,Fresno St.
