home,away,line,draft_kings,diff
Green Bay,Oakland,2.0,-2.0,4.0
Davidson,Dayton,3.0,7.0,4.0
Michigan St.,Purdue,1.0,4.5,3.5
Bellarmine,Lipscomb,-1.0,2.5,3.5
South Dakota St.,Western Illinois,22.0,18.5,3.5
Cal St. Fullerton,Long Beach St.,-2.0,1.5,3.5
Quinnipiac,Manhattan,6.0,2.5,3.5
Appalachian St.,Georgia Southern,5.0,2.0,3.0
North Alabama,Stetson,0.0,3.0,3.0
Troy,Georgia St.,-12.0,-9.5,2.5
Toledo,Ohio,6.0,3.5,2.5
Tarleton St.,Grand Canyon,-12.0,-9.5,2.5
Wright St.,Youngstown St.,10.0,12.5,2.5
Liberty,Kennesaw St.,24.0,21.5,2.5
Utah Valley,Cal Baptist,1.0,3.0,2.0
UTEP,Rice,6.0,8.0,2.0
UTSA,North Texas,-5.0,-6.5,1.5
Oral Roberts,North Dakota,12.0,10.5,1.5
Jacksonville,North Florida,0.0,1.5,1.5
Cleveland St.,Northern Kentucky,3.0,1.5,1.5
UMKC,South Dakota,-3.0,-1.5,1.5
Coastal Carolina,South Alabama,4.0,5.0,1.0
New Mexico,Utah St.,-14.0,-15.0,1.0
Old Dominion,Florida Atlantic,9.0,8.0,1.0
Western Kentucky,Louisiana Tech,6.0,7.0,1.0
Merrimack,Sacred Heart,4.0,4.5,0.5
UC Riverside,Hawaii,6.0,6.5,0.5
Boise St.,Air Force,18.0,18.5,0.5
Cal St. Bakersfield,Cal Poly,13.0,12.5,0.5
Milwaukee,IUPUI,5.0,5.5,0.5
