home,away,line,draft_kings,diff
Syracuse,Pittsburgh,8.0,11.5,3.5
Wofford,UNC Greensboro,3.0,-0.5,3.5
Southeastern Louisiana,Sam Houston St.,-2.0,-5.0,3.0
LSU,Georgia,12.0,9.0,3.0
Tennessee,Arkansas,6.0,8.5,2.5
Houston Baptist,Abilene Christian,-14.0,-16.0,2.0
Chattanooga,Samford,8.0,6.0,2.0
Xavier,St. John's,8.0,6.5,1.5
Michigan,Minnesota,6.0,7.5,1.5
Louisville,Virginia Tech,3.0,4.5,1.5
Duke,Boston College,14.0,12.5,1.5
Boise St.,Air Force,17.0,18.5,1.5
Richmond,Rhode Island,5.0,4.0,1.0
Baylor,Oklahoma,13.0,12.0,1.0
Virginia,Wake Forest,15.0,14.0,1.0
New Mexico,Utah St.,-12.0,-13.0,1.0
South Carolina,Texas A&M,4.0,3.5,0.5
South Florida,Tulsa,-1.0,-0.5,0.5
Nicholls St.,Lamar,8.0,7.5,0.5
Central Arkansas,New Orleans,8.0,7.5,0.5
Northwestern St.,Incarnate Word,8.0,7.5,0.5
Butler,Georgetown,5.0,4.5,0.5
Houston,Wichita St.,12.0,11.5,0.5
George Mason,VCU,-6.0,-6.5,0.5
