home,away,line,draft_kings,diff
Georgetown,Villanova,-15.0,-11.5,3.5
Charleston,South Carolina St.,23.0,19.5,3.5
West Virginia,North Texas,15.0,12.0,3.0
Iowa,Iowa St.,11.0,13.5,2.5
Canisius,Marist,6.0,3.5,2.5
North Dakota,South Dakota St.,-13.0,-10.5,2.5
Creighton,Nebraska,15.0,13.0,2.0
Fairfield,Iona,-2.0,-4.0,2.0
Davidson,Georgia Southern,15.0,13.5,1.5
UCLA,Marquette,3.0,4.5,1.5
UNC Asheville,High Point,5.0,4.0,1.0
Delaware,George Washington,2.0,1.0,1.0
Grand Canyon,Nevada,-2.0,-1.0,1.0
North Dakota St.,South Dakota,5.0,4.0,1.0
Kansas St.,Milwaukee,11.0,10.5,0.5
Southern Illinois,Murray St.,-7.0,-6.5,0.5
Charlotte,Appalachian St.,3.0,3.5,0.5
