home,away,line,draft_kings,diff
Liberty,Kennesaw St.,22,17.5,4.5
South Dakota St.,Western Illinois,20,16,4
Houston,Tulane,22,18,4
Green Bay,Oakland,2,-1.5,3.5
Vanderbilt,Mississippi St.,-7,-3.5,3.5
Stanford,Washington St.,11,7.5,3.5
Cal St. Fullerton,Long Beach St.,-2,1.5,3.5
Quinnipiac,Manhattan,6,2.5,3.5
Tarleton St.,Grand Canyon,-11,-8,3
TCU,Baylor,-15,-12,3
Appalachian St.,Georgia Southern,5,2,3
Fairfield,Siena,-12,-9,3
Arizona,UCLA,0,3,3
Utah,Oregon,-5,-2,3
Binghamton,Vermont,-14,-11,3
UNC Greensboro,Wofford,2,5,3
Charleston,Drexel,-3,-0.5,2.5
Bucknell,Lafayette,0,2.5,2.5
Evansville,Illinois St.,2,4.5,2.5
Northeastern,Hofstra,1,-1.5,2.5
Portland,Gonzaga,-30,-32.5,2.5
Wright St.,Youngstown St.,8,10.5,2.5
West Virginia,Texas,-1,1.5,2.5
VCU,Rhode Island,4,6,2
Kent St.,Western Michigan,9,11,2
Jacksonville,North Florida,0,2,2
UMKC,South Dakota,-3,-1,2
Northern Colorado,Montana St.,0,2,2
East Carolina,South Florida,-1,1,2
Eastern Michigan,Akron,-4,-6,2
Western Kentucky,Louisiana Tech,5,7,2
Bellarmine,Lipscomb,-1,1,2
Buffalo,Ball St.,5,6.5,1.5
Central Arkansas,Sam Houston St.,3,1.5,1.5
Colorado St.,UNLV,6,7.5,1.5
Norfolk St.,Morgan St.,6,4.5,1.5
Arizona St.,USC,-3,-1.5,1.5
New Orleans,Incarnate Word,5,3.5,1.5
Lehigh,Navy,-5,-3.5,1.5
Southern Utah,Idaho,15,13.5,1.5
California,Washington,1,2.5,1.5
Eastern Kentucky,Tennessee Tech,11,10,1
Central Michigan,Bowling Green,-5,-6,1
UTEP,Rice,7,8,1
Miami OH,Northern Illinois,8,7,1
Kansas,Oklahoma,6,7,1
Duquesne,Fordham,13,14,1
Oral Roberts,North Dakota,10,9,1
Cal St. Bakersfield,Cal Poly,14,13,1
UMass Lowell,Hartford,3,2,1
Auburn,Alabama,-4,-5,1
Lamar,Houston Baptist,6,7,1
Arkansas Pine Bluff,Alabama St.,6,5,1
Jackson St.,Alcorn St.,7,8,1
Kansas St.,Oklahoma St.,-9,-8,1
Eastern Illinois,Austin Peay,2,1,1
Morehead St.,Jacksonville St.,-1,-2,1
Holy Cross,Army,-7,-6,1
Iowa St.,Texas Tech,-7,-7.5,0.5
North Alabama,Stetson,-1,-0.5,0.5
Texas A&M,Tennessee,-11,-10.5,0.5
Duke,Wake Forest,14,14.5,0.5
Creighton,St. John's,14,13.5,0.5
George Mason,Richmond,-7,-6.5,0.5
Florida,Kentucky,5,4.5,0.5
New Hampshire,UMBC,0,-0.5,0.5
William & Mary,Delaware,1,1.5,0.5
UTSA,North Texas,-6,-6.5,0.5
Old Dominion,Florida Atlantic,8,7.5,0.5
San Diego St.,Nevada,12,11.5,0.5
Syracuse,Georgetown,11,10.5,0.5
Boston University,Colgate,-4,-3.5,0.5
Valparaiso,Missouri St.,-2,-2.5,0.5
Arkansas,Georgia,8,8.5,0.5
Boston College,Virginia,-9,-8.5,0.5
Northern Arizona,Idaho St.,-1,-1.5,0.5
UC Riverside,Hawaii,5,5,0
Longwood,Campbell,-2,-2,0
Utah Valley,Cal Baptist,4,4,0
Charleston Southern,Radford,-1,-1,0
Milwaukee,IUPUI,7,7,0
Nicholls St.,Southeastern Louisiana,10,10,0
Coastal Carolina,South Alabama,5,5,0
Saint Mary's,Santa Clara,9,9,0
Cleveland St.,Northern Kentucky,4,4,0
McNeese St.,Northwestern St.,1,1,0
The Citadel,Chattanooga,-7,-7,0
