home,away,line,draft_kings,diff
Kent St.,Toledo,-5.0,2.0,7.0
Gardner Webb,Campbell,2.0,5.5,3.5
Fordham,Dayton,-16.0,-12.5,3.5
Alabama,Florida,-0.0,3.0,3.0
Duquesne,Davidson,-2.0,1.0,3.0
Holy Cross,Boston University,-11.0,-13.5,2.5
Texas,Iowa St.,14.0,12.0,2.0
Ohio,Northern Illinois,17.0,15.0,2.0
Radford,Hampton,6.0,4.5,1.5
Coppin St.,Delaware St.,8.0,9.5,1.5
Miami FL,North Carolina,-3.0,-2.0,1.0
Charleston Southern,Winthrop,-14.0,-13.0,1.0
USC Upstate,Longwood,3.0,2.5,0.5
Texas Tech,Kansas St.,16.0,15.5,0.5
Kentucky,Vanderbilt,11.0,11.5,0.5
TCU,Kansas,-6.0,-6.0,0.0
Bowling Green,Central Michigan,9.0,9.0,0.0
UCF,Memphis,-1.0,-1.0,0.0
Mississippi St.,Missouri,-2.0,-2.0,0.0
