home,away,line,draft_kings,diff
Gonzaga,Northwestern St.,34.0,40.5,6.5
SIU Edwardsville,Eastern Illinois,-9.0,-3.5,5.5
Evansville,Belmont,-13.0,-9.5,3.5
Butler,Southern Illinois,12.0,8.5,3.5
Charleston Southern,Hampton,8.0,5.0,3.0
Virginia Tech,Longwood,27.0,24.0,3.0
BYU,Texas Southern,15.0,17.5,2.5
Austin Peay,Murray St.,-6.0,-3.5,2.5
Clemson,Morehead St.,26.0,24.0,2.0
Memphis,Tulsa,7.0,9.0,2.0
Wagner,Sacred Heart,4.0,5.5,1.5
Washington St.,Prairie View A&M,13.0,12.0,1.0
Campbell,UNC Wilmington,-1.0,-2.0,1.0
Rice,New Orleans,6.0,7.0,1.0
Boise St.,New Mexico,11.0,10.5,0.5
Mississippi St.,Mississippi Valley St.,37.0,36.5,0.5
Kansas St.,Jacksonville,11.0,11.5,0.5
Northern Arizona,Texas St.,-10.0,-9.5,0.5
Georgia St.,Charleston,9.0,9.5,0.5
UMass Lowell,Vermont,-10.0,-9.5,0.5
George Mason,VMI,11.0,10.5,0.5
Texas A&M,Wofford,6.0,6.5,0.5
UT Rio Grande Valley,Sam Houston St.,5.0,5.0,0.0
Furman,South Carolina St.,33.0,33.0,0.0
