home,away,line,draft_kings,diff
BYU,Utah,-5.0,2.0,7.0
Eastern Illinois,Western Illinois,18.0,12.5,5.5
Auburn,Memphis,-1.0,-6.5,5.5
IUPUI,Tennessee St.,7.0,2.0,5.0
Saint Louis,Evansville,27.0,22.5,4.5
Ball St.,Illinois St.,9.0,5.0,4.0
Miami FL,Florida Gulf Coast,22.0,18.5,3.5
North Dakota,North Dakota St.,-2.0,-5.5,3.5
Arkansas,Central Arkansas,20.0,23.5,3.5
Drexel,La Salle,6.0,3.0,3.0
Southern Miss,South Alabama,-7.0,-4.0,3.0
Georgia,Samford,15.0,18.0,3.0
VCU,Old Dominion,4.0,7.0,3.0
Washington,Oregon,-11.0,-8.0,3.0
Oklahoma,Florida A&M,29.0,26.5,2.5
Wichita St.,Oklahoma St.,-6.0,-3.5,2.5
Canisius,Marist,7.0,4.5,2.5
Western Michigan,Detroit,-1.0,1.0,2.0
Alabama,Clemson,-0.0,2.0,2.0
Arizona,UTEP,19.0,17.0,2.0
Kentucky,Notre Dame,6.0,7.5,1.5
Louisiana,Louisiana Tech,-3.0,-4.5,1.5
Fairfield,Iona,-8.0,-6.5,1.5
UNC Asheville,High Point,6.0,4.5,1.5
Lipscomb,Belmont,-5.0,-6.5,1.5
North Carolina,North Carolina Central,27.0,25.5,1.5
Cal St. Bakersfield,Idaho,13.0,11.5,1.5
Boston College,Syracuse,-4.0,-3.0,1.0
Texas A&M,TCU,0.0,-1.0,1.0
Missouri,Illinois,-2.0,-3.0,1.0
North Carolina A&T,Western Carolina,-8.0,-7.0,1.0
South Florida,Wofford,3.0,4.0,1.0
Central Michigan,Valparaiso,-2.0,-3.0,1.0
South Dakota,South Dakota St.,-12.0,-11.5,0.5
Louisiana Monroe,Stephen F. Austin,-5.0,-5.5,0.5
Bryant,Stony Brook,6.0,5.5,0.5
Purdue,Indiana St.,14.0,14.5,0.5
USC Upstate,Winthrop,-10.0,-10.5,0.5
Florida St.,Florida,1.0,1.5,0.5
Dayton,Mississippi St.,4.0,4.0,0.0
Tennessee,Cincinnati,7.0,7.0,0.0
Denver,Dixie St.,3.0,3.0,0.0
Loyola Marymount,UC Santa Barbara,1.0,1.0,0.0
Utah Valley,Wyoming,-7.0,-7.0,0.0
