home,away,line,draft_kings,diff
Oakland,Wright St.,-11.0,-6.5,4.5
Kennesaw St.,Jacksonville,-6.0,-1.5,4.5
Georgia Southern,South Alabama,-1.0,3.5,4.5
Louisiana Monroe,Arkansas St.,-1.0,2.5,3.5
Northern Kentucky,Purdue Fort Wayne,4.0,7.0,3.0
Louisiana Tech,Marshall,-2.0,1.0,3.0
Lipscomb,Liberty,-9.0,-7.0,2.0
Southern Miss,UTEP,-7.0,-5.0,2.0
FIU,Old Dominion,-3.0,-1.5,1.5
Coastal Carolina,Georgia St.,-5.0,-3.5,1.5
Rice,UTSA,-4.0,-2.5,1.5
Louisiana,Texas St.,1.0,2.5,1.5
Charlotte,Western Kentucky,-8.0,-6.5,1.5
Youngstown St.,Green Bay,7.0,7.5,0.5
Akron,Kent St.,3.0,3.5,0.5
Marist,Niagara,-1.0,-1.5,0.5
Appalachian St.,Troy,8.0,7.5,0.5
Robert Morris,Milwaukee,2.0,2.5,0.5
IUPUI,Cleveland St.,-3.0,-3.0,0.0
