home,away,line,draft_kings,diff
Arkansas,Oral Roberts,16.0,19.0,3.0
Drake,Chicago St.,29.0,31.5,2.5
Purdue Fort Wayne,Cleveland St.,2.0,-0.5,2.5
Georgia Tech,Delaware St.,29.0,31.5,2.5
Manhattan,Marist,-3.0,-1.0,2.0
Detroit,Wright St.,-8.0,-6.0,2.0
Tennessee Martin,Western Illinois,6.0,4.0,2.0
Washington,Colorado,-8.0,-10.0,2.0
St. John's,Georgetown,2.0,4.0,2.0
Hartford,Maine,11.0,9.0,2.0
Xavier,Marquette,1.0,2.5,1.5
Portland St.,Weber St.,-3.0,-4.5,1.5
Northern Kentucky,Youngstown St.,2.0,3.5,1.5
Iowa St.,Jackson St.,21.0,19.5,1.5
Texas,Oklahoma St.,8.0,6.5,1.5
Albany,UMBC,-5.0,-4.0,1.0
Binghamton,Stony Brook,-6.0,-5.0,1.0
Nevada,Air Force,12.0,11.0,1.0
Northwestern,Michigan St.,-6.0,-7.0,1.0
Houston,Alcorn St.,34.0,34.5,0.5
Minnesota,Saint Louis,-2.0,-2.5,0.5
Grand Canyon,San Francisco,-6.0,-5.5,0.5
Connecticut,Creighton,-3.0,-3.5,0.5
Green Bay,Milwaukee,1.0,1.0,0.0
Marshall,Robert Morris,15.0,15.0,0.0
