home,away,line,draft_kings,diff
Indiana St.,Loyola Chicago,-11.0,-7.0,4.0
Nebraska,Indiana,-10.0,-6.5,3.5
Fairfield,Siena,-13.0,-9.5,3.5
Binghamton,Vermont,-15.0,-12.0,3.0
Evansville,Illinois St.,3.0,5.5,2.5
Norfolk St.,Morgan St.,5.0,3.0,2.0
Lafayette,Bucknell,8.0,6.5,1.5
Xavier,Providence,2.0,3.5,1.5
Iowa,Minnesota,9.0,10.5,1.5
Charleston,Drexel,-3.0,-2.0,1.0
Navy,Lehigh,9.0,8.0,1.0
Northern Iowa,Bradley,1.0,2.0,1.0
UMass Lowell,Hartford,4.0,3.5,0.5
Army,Holy Cross,12.0,11.5,0.5
Illinois,Maryland,9.0,9.5,0.5
Longwood,Campbell,-2.0,-1.5,0.5
Valparaiso,Missouri St.,-4.0,-3.5,0.5
Boston University,Colgate,-4.0,-3.5,0.5
Wichita St.,Cincinnati,2.0,2.5,0.5
Loyola Marymount,San Francisco,-4.0,-3.5,0.5
Florida A&M,South Carolina St.,17.0,16.5,0.5
New Hampshire,UMBC,-3.0,-3.0,0.0
Charleston Southern,Radford,-3.0,-3.0,0.0
Virginia Tech,Notre Dame,7.0,7.0,0.0
