home,away,line,draft_kings,diff
Howard,Hampton,8.0,1.5,6.5
Tennessee St.,Belmont,-12.0,-7.0,5.0
Utah,Idaho,26.0,22.5,3.5
Loyola Chicago,Richmond,1.0,-2.5,3.5
Washington St.,Montana St.,3.0,6.5,3.5
West Virginia,Iowa St.,12.0,15.5,3.5
Gardner Webb,VMI,2.0,4.5,2.5
Rhode Island,Davidson,2.0,4.5,2.5
Northern Illinois,Chicago St.,16.0,17.5,1.5
Tennessee,Tennessee Tech,30.0,28.5,1.5
Tulsa,Northwestern St.,14.0,15.5,1.5
Nevada,Air Force,11.0,12.5,1.5
Norfolk St.,UNC Wilmington,0.0,1.5,1.5
Niagara,Fairfield,6.0,4.5,1.5
San Jose St.,Santa Clara,-9.0,-8.0,1.0
Presbyterian,South Carolina St.,10.0,9.0,1.0
South Dakota,Drake,-5.0,-6.0,1.0
Western Michigan,Central Michigan,-0.0,-0.5,0.5
Georgia Tech,Florida A&M,20.0,19.5,0.5
Southern Illinois,North Dakota,8.0,8.5,0.5
San Diego St.,BYU,8.0,7.5,0.5
Charleston,Western Carolina,2.0,2.5,0.5
Northern Arizona,Eastern Washington,-11.0,-11.0,0.0
Morehead St.,SIU Edwardsville,6.0,6.0,0.0
Portland St.,Weber St.,2.0,2.0,0.0
