home,away,line,draft_kings,diff
Miami FL,Pittsburgh,6.0,-2.0,8.0
Bryant,Wagner,6.0,11.5,5.5
Purdue,Ohio St.,-1.0,4.0,5.0
Arizona St.,UTEP,18.0,13.5,4.5
Tulane,Memphis,-14.0,-10.5,3.5
LSU,New Orleans,29.0,25.5,3.5
Cal Poly,San Diego,-8.0,-6.0,2.0
Oklahoma,Oral Roberts,18.0,16.0,2.0
Denver,Northern Colorado,-5.0,-7.0,2.0
Oregon St.,UTSA,6.0,8.0,2.0
Notre Dame,Duke,-6.0,-4.0,2.0
Belmont,Kennesaw St.,26.0,24.5,1.5
Georgia St.,Mercer,6.0,4.5,1.5
Mississippi St.,Central Arkansas,15.0,16.5,1.5
Marshall,Toledo,5.0,6.5,1.5
Oklahoma St.,TCU,4.0,5.0,1.0
Jacksonville St.,Tennessee Tech,6.0,7.0,1.0
Cincinnati,South Florida,7.0,8.0,1.0
Hampton,William & Mary,-5.0,-4.0,1.0
Texas,Sam Houston St.,29.0,28.0,1.0
Washington,Montana,8.0,7.5,0.5
Elon,Campbell,4.0,4.5,0.5
Arizona,Cal Baptist,21.0,20.5,0.5
Villanova,Butler,13.0,12.5,0.5
Troy,Samford,-1.0,-1.0,0.0
Vanderbilt,Richmond,-7.0,-7.0,0.0
Syracuse,Northeastern,18.0,18.0,0.0
SMU,East Carolina,12.0,12.0,0.0
