home,away,line,draft_kings,diff
Evansville,Northern Iowa,-10.0,-6.0,4.0
Minnesota,Ohio St.,-3.0,1.0,4.0
Colgate,Army,11.0,7.5,3.5
Western Illinois,North Dakota St.,-11.0,-7.5,3.5
Georgia Tech,Wake Forest,7.0,9.5,2.5
Vermont,Albany,14.0,11.5,2.5
Bucknell,Navy,-4.0,-1.5,2.5
Delaware,Charleston,-0.0,-2.0,2.0
Maine,New Hampshire,-7.0,-5.5,1.5
Lafayette,Lehigh,6.0,4.5,1.5
SMU,Houston,-4.0,-2.5,1.5
Northeastern,Elon,5.0,6.5,1.5
Nebraska Omaha,Oral Roberts,-5.0,-3.5,1.5
George Washington,Duquesne,-9.0,-7.5,1.5
Hartford,Binghamton,9.0,8.0,1.0
South Dakota,Denver,12.0,12.5,0.5
Drake,Southern Illinois,11.0,10.5,0.5
Missouri St.,Indiana St.,5.0,5.0,0.0
South Carolina St.,North Carolina A&T,-10.0,-10.0,0.0
Michigan,Northwestern,8.0,8.0,0.0
Hofstra,William & Mary,11.0,11.0,0.0
