home,away,line,draft_kings,diff
Gonzaga,Northwestern St.,35.0,39.0,4.0
Albany,Niagara,-3.0,1.0,4.0
Eastern Kentucky,High Point,3.0,6.5,3.5
Virginia,William & Mary,26.0,22.5,3.5
Liberty,Alcorn St.,22.0,25.0,3.0
Tennessee St.,Chattanooga,-8.0,-5.0,3.0
Kennesaw St.,Mercer,-17.0,-14.5,2.5
Toledo,Northern Illinois,18.0,15.5,2.5
Wagner,Sacred Heart,8.0,5.5,2.5
East Carolina,Tulane,8.0,5.5,2.5
Houston,Temple,19.0,16.5,2.5
Pittsburgh,Louisville,-5.0,-3.0,2.0
The Citadel,Presbyterian,6.0,4.0,2.0
TCU,North Dakota St.,14.0,12.0,2.0
Wisconsin,Nebraska,19.0,17.0,2.0
UMass Lowell,Vermont,-7.0,-9.0,2.0
Maryland,La Salle,17.0,15.0,2.0
UTSA,Lamar,10.0,8.0,2.0
California,Seattle,14.0,12.5,1.5
Indiana St.,Southeast Missouri St.,15.0,13.5,1.5
San Diego St.,Saint Mary's,4.0,2.5,1.5
Oregon St.,Portland St.,16.0,14.5,1.5
Davidson,Vanderbilt,9.0,7.5,1.5
Georgia,Northeastern,8.0,9.5,1.5
Arizona,Montana,15.0,13.5,1.5
Louisiana Monroe,Louisiana Tech,-10.0,-11.5,1.5
South Florida,Wichita St.,1.0,2.5,1.5
George Washington,Charlotte,-3.0,-1.5,1.5
Missouri,Bradley,12.0,10.5,1.5
UCF,Cincinnati,-1.0,-2.5,1.5
Iowa,Purdue,6.0,7.0,1.0
Northern Colorado,Idaho St.,9.0,10.0,1.0
Richmond,Hofstra,13.0,14.0,1.0
Drake,North Dakota,14.0,15.0,1.0
Charleston Southern,Hampton,5.0,6.0,1.0
Western Kentucky,Tennessee Tech,23.0,22.0,1.0
Boston College,Maine,24.0,23.0,1.0
Oklahoma,Texas Tech,-2.0,-2.5,0.5
Arkansas,Abilene Christian,13.0,13.5,0.5
Auburn,Appalachian St.,14.0,14.5,0.5
Kansas,West Virginia,1.0,1.5,0.5
Grand Canyon,Colorado,-12.0,-12.5,0.5
Denver,Northern Arizona,3.0,3.5,0.5
Florida Gulf Coast,Georgia Southern,-0.0,-0.5,0.5
VCU,James Madison,20.0,20.5,0.5
Western Michigan,Ball St.,-5.0,-5.0,0.0
N.C. State,North Carolina,-1.0,-1.0,0.0
North Carolina A&T,UNC Greensboro,-12.0,-12.0,0.0
Portland,Montana St.,-3.0,-3.0,0.0
Akron,Ohio,-2.0,-2.0,0.0
