home,away,line,draft_kings,diff
Southern Illinois,Evansville,12.0,8.0,4.0
Vanderbilt,Alcorn St.,19.0,22.0,3.0
Loyola Chicago,Illinois St.,18.0,15.0,3.0
Stony Brook,UMass Lowell,-2.0,1.0,3.0
Northern Iowa,Missouri St.,8.0,6.0,2.0
Detroit,Oakland,5.0,3.0,2.0
Providence,DePaul,5.0,6.5,1.5
Indiana St.,Drake,-4.0,-2.5,1.5
Purdue Fort Wayne,Robert Morris,0.0,-1.5,1.5
Wright St.,Green Bay,16.0,17.0,1.0
UMBC,Binghamton,15.0,14.5,0.5
New Hampshire,Hartford,4.0,3.5,0.5
UC Irvine,UC Santa Barbara,-2.0,-2.0,0.0
Cleveland St.,Youngstown St.,1.0,1.0,0.0
