home,away,line,draft_kings,diff
San Jose St.,Boise St.,-18.0,-26.5,8.5
Georgia Southern,South Alabama,-5.0,2.0,7.0
Evansville,Northern Iowa,-12.0,-6.0,6.0
Eastern Illinois,Tennessee Tech,12.0,7.0,5.0
Washington St.,Arizona,-12.0,-7.5,4.5
Tulane,East Carolina,-5.0,-0.5,4.5
Western Michigan,Toledo,-12.0,-8.0,4.0
Oklahoma,West Virginia,-2.0,2.0,4.0
Western Illinois,North Dakota St.,-10.0,-6.5,3.5
Oakland,Wright St.,-13.0,-9.5,3.5
Cincinnati,Tulsa,2.0,5.5,3.5
Boston College,Louisville,-8.0,-5.0,3.0
North Carolina,Notre Dame,7.0,10.0,3.0
Arkansas,Missouri,4.0,7.0,3.0
Delaware,Charleston,-1.0,1.5,2.5
Texas A&M,Auburn,-1.0,1.5,2.5
Loyola Chicago,North Texas,9.0,6.5,2.5
Northern Kentucky,Purdue Fort Wayne,5.0,7.5,2.5
Vermont,Albany,16.0,13.5,2.5
Northern Illinois,Bowling Green,-11.0,-8.5,2.5
Lehigh,Lafayette,-3.0,-0.5,2.5
Georgetown,Marquette,-7.0,-4.5,2.5
Kansas St.,TCU,-7.0,-4.5,2.5
San Diego St.,Colorado St.,10.0,8.0,2.0
Dayton,George Mason,9.0,7.0,2.0
Texas Tech,Oklahoma St.,6.0,8.0,2.0
Louisiana,Texas St.,1.0,3.0,2.0
Northeastern,Elon,3.0,5.0,2.0
Illinois,Purdue,6.0,8.0,2.0
Abilene Christian,Lamar,15.0,13.0,2.0
UCLA,Colorado,0.0,2.0,2.0
Maine,New Hampshire,-9.0,-7.0,2.0
Stephen F. Austin,New Orleans,11.0,9.0,2.0
South Carolina St.,North Carolina A&T,-11.0,-9.0,2.0
Charlotte,Western Kentucky,-8.0,-6.0,2.0
Florida,LSU,0.0,1.5,1.5
Lipscomb,Liberty,-7.0,-5.5,1.5
Iowa St.,Baylor,-17.0,-15.5,1.5
Providence,Creighton,-5.0,-3.5,1.5
Arkansas Pine Bluff,Mississippi Valley St.,10.0,11.5,1.5
Tennessee,Alabama,8.0,9.5,1.5
Louisiana Monroe,Arkansas St.,1.0,2.5,1.5
Oregon St.,California,1.0,2.5,1.5
St. John's,DePaul,3.0,4.5,1.5
Appalachian St.,Troy,5.0,6.5,1.5
Miami FL,Clemson,-5.0,-3.5,1.5
Weber St.,Utah Valley,4.0,5.5,1.5
South Florida,UCF,0.0,1.5,1.5
Navy,Bucknell,6.0,4.5,1.5
Rice,UTSA,-3.0,-1.5,1.5
Coastal Carolina,Georgia St.,-3.0,-2.0,1.0
Houston Baptist,Northwestern St.,-5.0,-4.0,1.0
Kansas,Texas,3.0,4.0,1.0
Idaho,Northern Arizona,-4.0,-3.0,1.0
Tennessee Martin,Belmont,-17.0,-16.0,1.0
Drexel,UNC Wilmington,4.0,3.0,1.0
Marist,Niagara,-0.0,1.0,1.0
Nebraska Omaha,Oral Roberts,-3.0,-2.0,1.0
Wofford,Samford,11.0,10.0,1.0
USC,Utah,4.0,5.0,1.0
Southeast Missouri St.,Tennessee St.,1.0,2.0,1.0
Hofstra,William & Mary,11.0,10.0,1.0
George Washington,Duquesne,-9.0,-8.0,1.0
Air Force,Utah St.,-14.0,-14.5,0.5
Nicholls St.,Sam Houston St.,5.0,4.5,0.5
FIU,Old Dominion,-1.0,-1.5,0.5
Ball St.,Ohio,-1.0,-0.5,0.5
Southern Miss,UTEP,-5.0,-5.5,0.5
Gonzaga,San Francisco,19.0,19.5,0.5
Montana,Northern Colorado,7.0,7.5,0.5
La Salle,Fordham,7.0,6.5,0.5
Nebraska,Michigan St.,-8.0,-8.5,0.5
Oregon,Stanford,5.0,5.5,0.5
Colgate,Army,8.0,7.5,0.5
Hartford,Binghamton,7.0,7.5,0.5
VMI,Chattanooga,-4.0,-3.5,0.5
IUPUI,Cleveland St.,-3.0,-2.5,0.5
South Dakota,Denver,9.0,9.5,0.5
Fresno St.,Wyoming,0.0,-0.5,0.5
Mississippi St.,Kentucky,-1.0,-1.5,0.5
Louisiana Tech,Marshall,-1.0,-0.5,0.5
Furman,Mercer,11.0,10.5,0.5
Robert Morris,Milwaukee,2.0,1.5,0.5
Murray St.,Morehead St.,13.0,13.5,0.5
Youngstown St.,Green Bay,7.0,7.0,0.0
New Mexico,Nevada,-6.0,-6.0,0.0
Austin Peay,Eastern Kentucky,5.0,5.0,0.0
Missouri St.,Indiana St.,4.0,4.0,0.0
McNeese St.,Central Arkansas,-3.0,-3.0,0.0
Richmond,St. Bonaventure,5.0,5.0,0.0
South Carolina,Florida A&M,19.0,19.0,0.0
