home,away,line,draft_kings,diff
Vanderbilt,Florida,-11.0,-6.5,4.5
Temple,SMU,-11.0,-7.0,4.0
Eastern Kentucky,Eastern Illinois,-0.0,3.5,3.5
Seattle,Portland,1.0,4.5,3.5
Winthrop,Campbell,14.0,17.0,3.0
Samford,VMI,-1.0,1.5,2.5
Ohio St.,Nebraska,15.0,12.5,2.5
Presbyterian,Radford,-6.0,-4.0,2.0
Georgia Tech,North Carolina,-5.0,-3.0,2.0
Georgia,Mississippi St.,-0.0,2.0,2.0
Dayton,La Salle,14.0,12.0,2.0
Providence,Butler,3.0,5.0,2.0
Tennessee St.,Austin Peay,-8.0,-6.0,2.0
Indiana,Penn St.,4.0,5.5,1.5
Colorado St.,Fresno St.,8.0,9.5,1.5
TCU,Prairie View A&M,22.0,20.5,1.5
Auburn,Arkansas,-2.0,-3.5,1.5
Davidson,Richmond,1.0,-0.5,1.5
High Point,USC Upstate,4.0,5.0,1.0
UCF,Tulane,11.0,10.0,1.0
Rhode Island,St. Bonaventure,1.0,2.0,1.0
Notre Dame,Virginia,-7.0,-6.0,1.0
Ohio,Bowling Green,4.0,5.0,1.0
Belmont,Murray St.,2.0,3.0,1.0
N.C. State,Boston College,10.0,9.0,1.0
The Citadel,UNC Greensboro,-12.0,-13.0,1.0
Tennessee Tech,Southeast Missouri St.,-0.0,-0.5,0.5
Baylor,Alcorn St.,42.0,42.5,0.5
Saint Mary's,Sacramento St.,14.0,14.5,0.5
Connecticut,DePaul,8.0,8.5,0.5
Missouri,Tennessee,-3.0,-3.5,0.5
Fordham,George Washington,4.0,3.5,0.5
Chattanooga,Furman,-8.0,-7.5,0.5
Saint Louis,Duquesne,9.0,9.0,0.0
