home,away,line,draft_kings,diff
Indiana,Maryland,1.0,4.5,3.5
Holy Cross,Boston University,-12.0,-9.5,2.5
Fresno St.,Wyoming,0.0,2.5,2.5
Gardner Webb,Campbell,4.0,5.5,1.5
Coppin St.,Delaware St.,8.0,9.5,1.5
Alcorn St.,Prairie View A&M,-4.0,-5.5,1.5
Radford,Hampton,5.0,6.0,1.0
Montana,Northern Colorado,6.0,5.0,1.0
Drake,Southern Illinois,12.0,11.0,1.0
Charleston Southern,Winthrop,-13.0,-14.0,1.0
San Diego St.,Colorado St.,8.0,7.5,0.5
Alabama St.,Jackson St.,-5.0,-5.5,0.5
Oregon St.,Stanford,-7.0,-6.5,0.5
Oklahoma St.,West Virginia,-2.0,-2.0,0.0
USC Upstate,Longwood,3.0,3.0,0.0
