home,away,line,draft_kings,diff
Gonzaga,Northern Arizona,37.0,40.5,3.5
Arizona,Colorado,-1.0,2.5,3.5
Cal St. Northridge,New Mexico St.,-12.0,-8.5,3.5
Southern Illinois,Evansville,12.0,9.0,3.0
Loyola Chicago,Illinois St.,20.0,17.0,3.0
Minnesota,Michigan St.,-0.0,-2.5,2.5
Colorado St.,Fresno St.,6.0,8.5,2.5
Indiana St.,Drake,-6.0,-4.0,2.0
Stony Brook,UMass Lowell,1.0,3.0,2.0
UMBC,Binghamton,14.0,12.5,1.5
Wisconsin,Maryland,9.0,9.5,0.5
Northern Iowa,Missouri St.,4.0,3.5,0.5
UC Irvine,UC Santa Barbara,1.0,1.0,0.0
New Hampshire,Hartford,4.0,4.0,0.0
