home_team,away_team,home_score,away_score
Tennessee,Appalachian State,79,38
Wisconsin,Loyola (IL),77,63
Illinois,Minnesota,92,65
Florida State,Georgia Tech,74,61
Virginia Tech,Clemson,66,60
North Texas,Arkansas-Pine Bluff,81,56
McNeese State,Arlington Baptist,114,50
Oral Roberts,Bacone,96,65
UT-Martin,Bethel (TN),95,60
Miami (OH),Buffalo,62,90
VMI,Campbellsville,106,72
Georgia Southern,Carver College,92,27
Davidson,Charlotte,52,63
Illinois State,Chicago State,91,62
Wofford,Coastal Carolina,88,77
Portland,College of Idaho,88,74
Saint Mary's,Eastern Washington,80,75
Austin Peay,Florida A&M,70,76
Stetson,Florida Atlantic,78,69
Santa Clara,Fresno Pacific,88,65
Alabama,Furman,83,80
ETSU,Gardner-Webb,65,60
Monmouth,Hofstra,88,96
Rice,Houston Baptist,90,79
Saint Louis,Indiana State,78,59
Louisiana Tech,Jackson State,85,58
Iowa State,Kansas State,65,74
Radford,Longwood,62,53
Louisiana,New Orleans,73,63
New Mexico,Our Lady of the Lake,104,65
Stony Brook,Point Park,83,39
Northwestern,Quincy,100,48
Liberty,South Carolina State,82,52
UNC Greensboro,USC Upstate,65,57
Evansville,Southeast Missouri State,66,63
Texas A&M,Southeastern Louisiana,69,52
Lamar,Southern Miss,63,66
Akron,St. Bonaventure,74,81
Central Connecticut,St. Francis (NY),86,91
Cal State Northridge,Stanford,71,82
Texas State,Texas A&M-Corpus Christi,51,46
Auburn,Texas Southern,80,63
Murray State,Transylvania,90,49
Lipscomb,Trevecca Nazarene,61,45
Utah,Utah Valley,75,67
VCU,Western Carolina,93,68
Tulsa,Wichita State,65,69
