home_team,away_team,home_score,away_score
Iowa,Minnesota,86,71
Illinois,Maryland,63,66
Virginia Tech,Notre Dame,77,63
Northern Iowa,Bradley,78,72
Lafayette,Bucknell,87,76
Longwood,Campbell,78,69
James Madison,Chowan,100,76
Wichita State,Cincinnati,82,76
Boston University,Colgate,45,89
College of Charleston,Drexel,73,68
Winthrop,Gardner-Webb,91,83
UMass-Lowell,Hartford,58,75
Army,Holy Cross,61,70
Evansville,Illinois State,68,73
Nebraska,Indiana,76,84
Navy,Lehigh,73,58
Indiana State,Loyola (IL),76,71
NJIT,Maine,41,45
Monmouth,Marist,72,62
New Hampshire,UMBC,66,68
Valparaiso,Missouri State,68,78
Norfolk State,Morgan State,89,85
Hampton,UNC Asheville,77,85
Xavier,Providence,74,73
Charleston Southern,Radford,48,68
Loyola Marymount,San Francisco,68,60
Fresno State,San Jose State,80,65
Fairfield,Siena,68,75
Florida A&M,South Carolina State,70,68
Binghamton,Vermont,44,84
