home_team,away_team,home_score,away_score
Baylor,Oklahoma,76,61
Creighton,Seton Hall,89,53
Tennessee,Arkansas,79,74
Michigan,Minnesota,82,57
Houston,Wichita State,70,63
Louisville,Virginia Tech,73,71
Duke,Boston College,83,82
Virginia,Wake Forest,70,61
Houston Baptist,Abilene Christian,63,66
Boise State,Air Force,78,59
Ole Miss,Auburn,72,61
Butler,Georgetown,63,55
LSU,Georgia,94,92
Northwestern State,Incarnate Word,67,75
Nicholls State,Lamar,76,69
Central Arkansas,New Orleans,83,79
Wofford,UNC Greensboro,75,84
Syracuse,Pitt,60,63
Richmond,Rhode Island,80,73
St. Bonaventure,St. Joseph's,83,57
Southeastern Louisiana,Sam Houston State,52,70
Chattanooga,Samford,73,68
Xavier,St. John's (NY),69,61
South Carolina,Texas A&M,78,54
South Florida,Tulsa,51,61
New Mexico,Utah State,45,77
George Mason,VCU,61,66
